Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,844",+/-74,(X),(X),969,+/-55,(X),(X),875,+/-52,(X),(X)
Less than high school graduate,434,+/-85,23.5%,+/-4.6,255,+/-74,26.3%,+/-7.8,179,+/-69,20.5%,+/-7.9
High school graduate (includes equivalency),656,+/-113,35.6%,+/-5.8,388,+/-107,40.0%,+/-10.5,268,+/-70,30.6%,+/-8.4
Some college or associate's degree,658,+/-132,35.7%,+/-6.9,294,+/-91,30.3%,+/-9.3,364,+/-110,41.6%,+/-11.3
Bachelor's degree or higher,96,+/-53,5.2%,+/-2.9,32,+/-30,3.3%,+/-3.1,64,+/-44,7.3%,+/-5.2
Population 25 years and over,"16,749",+/-71,(X),(X),"8,149",+/-78,(X),(X),"8,600",+/-61,(X),(X)
Less than 9th grade,610,+/-140,3.6%,+/-0.8,328,+/-118,4.0%,+/-1.4,282,+/-66,3.3%,+/-0.8
"9th to 12th grade, no diploma","1,131",+/-166,6.8%,+/-1.0,647,+/-147,7.9%,+/-1.8,484,+/-97,5.6%,+/-1.1
High school graduate (includes equivalency),"7,237",+/-392,43.2%,+/-2.3,"3,574",+/-238,43.9%,+/-3.0,"3,663",+/-267,42.6%,+/-3.1
"Some college, no degree","3,451",+/-347,20.6%,+/-2.0,"1,674",+/-223,20.5%,+/-2.7,"1,777",+/-226,20.7%,+/-2.6
Associate's degree,"1,693",+/-222,10.1%,+/-1.3,766,+/-152,9.4%,+/-1.9,927,+/-172,10.8%,+/-2.0
Bachelor's degree,"1,730",+/-249,10.3%,+/-1.5,793,+/-157,9.7%,+/-1.9,937,+/-145,10.9%,+/-1.7
Graduate or professional degree,897,+/-160,5.4%,+/-1.0,367,+/-109,4.5%,+/-1.3,530,+/-110,6.2%,+/-1.3
Percent high school graduate or higher,(X),(X),89.6%,+/-1.2,(X),(X),88.0%,+/-2.0,(X),(X),91.1%,+/-1.3
Percent bachelor's degree or higher,(X),(X),15.7%,+/-1.8,(X),(X),14.2%,+/-2.5,(X),(X),17.1%,+/-1.9
Population 25 to 34 years,"2,520",+/-75,(X),(X),"1,251",+/-39,(X),(X),"1,269",+/-58,(X),(X)
High school graduate or higher,"2,133",+/-84,84.6%,+/-3.6,"1,077",+/-69,86.1%,+/-5.4,"1,056",+/-57,83.2%,+/-4.9
Bachelor's degree or higher,368,+/-112,14.6%,+/-4.5,118,+/-57,9.4%,+/-4.6,250,+/-71,19.7%,+/-5.8
Population 35 to 44 years,"2,810",+/-74,(X),(X),"1,462",+/-46,(X),(X),"1,348",+/-54,(X),(X)
High school graduate or higher,"2,594",+/-86,92.3%,+/-2.6,"1,332",+/-68,91.1%,+/-4.3,"1,262",+/-51,93.6%,+/-3.0
Bachelor's degree or higher,671,+/-155,23.9%,+/-5.5,303,+/-95,20.7%,+/-6.6,368,+/-88,27.3%,+/-6.5
Population 45 to 64 years,"6,913",+/-86,(X),(X),"3,424",+/-78,(X),(X),"3,489",+/-59,(X),(X)
High school graduate or higher,"6,373",+/-137,92.2%,+/-2.0,"3,088",+/-93,90.2%,+/-2.8,"3,285",+/-101,94.2%,+/-2.3
Bachelor's degree or higher,"1,054",+/-146,15.2%,+/-2.1,486,+/-103,14.2%,+/-3.0,568,+/-98,16.3%,+/-2.8
Population 65 years and over,"4,506",+/-42,(X),(X),"2,012",+/-8,(X),(X),"2,494",+/-41,(X),(X)
High school graduate or higher,"3,908",+/-130,86.7%,+/-2.6,"1,677",+/-93,83.3%,+/-4.5,"2,231",+/-80,89.5%,+/-2.7
Bachelor's degree or higher,534,+/-130,11.9%,+/-2.9,253,+/-83,12.6%,+/-4.1,281,+/-87,11.3%,+/-3.5
