RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,939",+/-108,(X),(X),"7,741",+/-80,(X),(X),"8,198",+/-48,(X),(X)
High school graduate or higher,"14,530",+/-172,91.2%,+/-1.1,"6,953",+/-141,89.8%,+/-1.8,"7,577",+/-104,92.4%,+/-1.3
Bachelor's degree or higher,"2,576",+/-303,16.2%,+/-1.9,"1,156",+/-201,14.9%,+/-2.6,"1,420",+/-160,17.3%,+/-1.9
"White alone, not Hispanic or Latino","15,595",+/-21,(X),(X),"7,517",+/-21,(X),(X),"8,078",+/-21,(X),(X)
High school graduate or higher,"14,384",+/-169,92.2%,+/-1.1,"6,858",+/-135,91.2%,+/-1.8,"7,526",+/-101,93.2%,+/-1.2
Bachelor's degree or higher,"2,570",+/-302,16.5%,+/-1.9,"1,150",+/-201,15.3%,+/-2.7,"1,420",+/-160,17.6%,+/-2.0
Black alone,38,+/-34,(X),(X),38,+/-34,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,38,+/-34,100.0%,+/-46.2,38,+/-34,100.0%,+/-46.2,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-46.2,0,+/-21,0.0%,+/-46.2,0,+/-21,-,**
American Indian or Alaska Native alone,30,+/-28,(X),(X),0,+/-21,(X),(X),30,+/-28,(X),(X)
High school graduate or higher,27,+/-27,90.0%,+/-17.1,0,+/-21,-,**,27,+/-27,90.0%,+/-17.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-52.0,0,+/-21,-,**,0,+/-21,0.0%,+/-52.0
Asian alone,55,+/-20,(X),(X),3,+/-5,(X),(X),52,+/-19,(X),(X)
High school graduate or higher,48,+/-18,87.3%,+/-15.3,3,+/-5,100.0%,+/-100.0,45,+/-18,86.5%,+/-16.8
Bachelor's degree or higher,11,+/-13,20.0%,+/-23.2,0,+/-21,0.0%,+/-100.0,11,+/-13,21.2%,+/-23.8
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,515,+/-125,(X),(X),274,+/-89,(X),(X),241,+/-58,(X),(X)
High school graduate or higher,241,+/-108,46.8%,+/-19.4,135,+/-75,49.3%,+/-23.7,106,+/-57,44.0%,+/-22.0
Bachelor's degree or higher,22,+/-24,4.3%,+/-4.7,0,+/-21,0.0%,+/-10.4,22,+/-24,9.1%,+/-9.9
Two or more races,172,+/-44,(X),(X),93,+/-47,(X),(X),79,+/-44,(X),(X)
High school graduate or higher,124,+/-37,72.1%,+/-14.9,45,+/-26,48.4%,+/-16.5,79,+/-44,100.0%,+/-30.6
Bachelor's degree or higher,18,+/-20,10.5%,+/-12.6,4,+/-6,4.3%,+/-7.3,14,+/-20,17.7%,+/-27.9
Hispanic or Latino Origin,890,+/-57,(X),(X),522,+/-48,(X),(X),368,+/-44,(X),(X)
High school graduate or higher,399,+/-115,44.8%,+/-12.3,238,+/-73,45.6%,+/-14.3,161,+/-65,43.8%,+/-15.4
Bachelor's degree or higher,36,+/-27,4.0%,+/-3.0,10,+/-11,1.9%,+/-2.1,26,+/-24,7.1%,+/-6.4
