RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"16,095",+/-162,(X),(X),"7,828",+/-107,(X),(X),"8,267",+/-81,(X),(X)
High school graduate or higher,"14,579",+/-244,90.6%,+/-1.4,"7,009",+/-180,89.5%,+/-2.0,"7,570",+/-125,91.6%,+/-1.6
Bachelor's degree or higher,"2,537",+/-244,15.8%,+/-1.5,"1,063",+/-153,13.6%,+/-2.0,"1,474",+/-180,17.8%,+/-2.2
"White alone, not Hispanic or Latino","15,660",+/-41,(X),(X),"7,540",+/-20,(X),(X),"8,120",+/-21,(X),(X)
High school graduate or higher,"14,389",+/-216,91.9%,+/-1.3,"6,873",+/-158,91.2%,+/-2.0,"7,516",+/-113,92.6%,+/-1.4
Bachelor's degree or higher,"2,529",+/-243,16.1%,+/-1.6,"1,055",+/-154,14.0%,+/-2.0,"1,474",+/-180,18.2%,+/-2.2
Black alone,37,+/-37,(X),(X),37,+/-37,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,37,+/-37,100.0%,+/-46.8,37,+/-37,100.0%,+/-46.8,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,0.0%,+/-46.8,0,+/-21,0.0%,+/-46.8,0,+/-21,-,**
American Indian or Alaska Native alone,9,+/-14,(X),(X),0,+/-21,(X),(X),9,+/-14,(X),(X)
High school graduate or higher,8,+/-13,88.9%,+/-31.1,0,+/-21,-,**,8,+/-13,88.9%,+/-31.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-95.0,0,+/-21,-,**,0,+/-21,0.0%,+/-95.0
Asian alone,53,+/-24,(X),(X),0,+/-21,(X),(X),53,+/-24,(X),(X)
High school graduate or higher,49,+/-24,92.5%,+/-10.5,0,+/-21,-,**,49,+/-24,92.5%,+/-10.5
Bachelor's degree or higher,14,+/-15,26.4%,+/-25.9,0,+/-21,-,**,14,+/-15,26.4%,+/-25.9
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,416,+/-149,(X),(X),226,+/-107,(X),(X),190,+/-63,(X),(X)
High school graduate or higher,217,+/-126,52.2%,+/-25.1,109,+/-80,48.2%,+/-28.5,108,+/-70,56.8%,+/-27.6
Bachelor's degree or higher,27,+/-41,6.5%,+/-9.6,13,+/-20,5.8%,+/-9.2,14,+/-21,7.4%,+/-10.5
Two or more races,182,+/-50,(X),(X),87,+/-42,(X),(X),95,+/-46,(X),(X)
High school graduate or higher,146,+/-50,80.2%,+/-15.4,54,+/-29,62.1%,+/-24.2,92,+/-45,96.8%,+/-5.4
Bachelor's degree or higher,31,+/-29,17.0%,+/-15.1,17,+/-21,19.5%,+/-21.8,14,+/-17,14.7%,+/-16.1
Hispanic or Latino Origin,853,+/-70,(X),(X),525,+/-71,(X),(X),328,+/-60,(X),(X)
High school graduate or higher,388,+/-130,45.5%,+/-13.6,235,+/-82,44.8%,+/-14.9,153,+/-75,46.6%,+/-18.7
Bachelor's degree or higher,16,+/-18,1.9%,+/-2.1,11,+/-15,2.1%,+/-3.0,5,+/-9,1.5%,+/-2.6
