Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,825",+/-84,(X),(X),943,+/-59,(X),(X),882,+/-49,(X),(X)
Less than high school graduate,388,+/-109,21.3%,+/-5.8,222,+/-80,23.5%,+/-8.3,166,+/-75,18.8%,+/-8.4
High school graduate (includes equivalency),737,+/-122,40.4%,+/-6.3,438,+/-110,46.4%,+/-11.0,299,+/-77,33.9%,+/-9.1
Some college or associate's degree,603,+/-113,33.0%,+/-6.3,248,+/-66,26.3%,+/-7.1,355,+/-99,40.2%,+/-10.3
Bachelor's degree or higher,97,+/-48,5.3%,+/-2.6,35,+/-31,3.7%,+/-3.3,62,+/-36,7.0%,+/-4.2
Population 25 years and over,"16,792",+/-87,(X),(X),"8,178",+/-86,(X),(X),"8,614",+/-76,(X),(X)
Less than 9th grade,573,+/-162,3.4%,+/-1.0,305,+/-138,3.7%,+/-1.7,268,+/-79,3.1%,+/-0.9
"9th to 12th grade, no diploma","1,183",+/-200,7.0%,+/-1.2,664,+/-155,8.1%,+/-1.9,519,+/-102,6.0%,+/-1.2
High school graduate (includes equivalency),"7,443",+/-404,44.3%,+/-2.4,"3,691",+/-268,45.1%,+/-3.2,"3,752",+/-258,43.6%,+/-2.9
"Some college, no degree","3,354",+/-290,20.0%,+/-1.7,"1,624",+/-200,19.9%,+/-2.4,"1,730",+/-197,20.1%,+/-2.3
Associate's degree,"1,630",+/-218,9.7%,+/-1.3,801,+/-156,9.8%,+/-1.9,829,+/-140,9.6%,+/-1.6
Bachelor's degree,"1,732",+/-210,10.3%,+/-1.3,723,+/-129,8.8%,+/-1.6,"1,009",+/-174,11.7%,+/-2.1
Graduate or professional degree,877,+/-163,5.2%,+/-1.0,370,+/-95,4.5%,+/-1.2,507,+/-117,5.9%,+/-1.3
Percent high school graduate or higher,(X),(X),89.5%,+/-1.4,(X),(X),88.2%,+/-2.2,(X),(X),90.9%,+/-1.5
Percent bachelor's degree or higher,(X),(X),15.5%,+/-1.5,(X),(X),13.4%,+/-1.9,(X),(X),17.6%,+/-2.1
Population 25 to 34 years,"2,569",+/-112,(X),(X),"1,291",+/-77,(X),(X),"1,278",+/-74,(X),(X)
High school graduate or higher,"2,141",+/-105,83.3%,+/-4.8,"1,097",+/-67,85.0%,+/-6.0,"1,044",+/-66,81.7%,+/-6.2
Bachelor's degree or higher,402,+/-97,15.6%,+/-4.0,100,+/-43,7.7%,+/-3.5,302,+/-76,23.6%,+/-6.1
Population 35 to 44 years,"2,877",+/-91,(X),(X),"1,488",+/-73,(X),(X),"1,389",+/-68,(X),(X)
High school graduate or higher,"2,694",+/-103,93.6%,+/-2.7,"1,360",+/-79,91.4%,+/-4.8,"1,334",+/-79,96.0%,+/-3.0
Bachelor's degree or higher,572,+/-121,19.9%,+/-4.1,222,+/-75,14.9%,+/-5.1,350,+/-82,25.2%,+/-6.1
Population 45 to 64 years,"6,943",+/-84,(X),(X),"3,431",+/-71,(X),(X),"3,512",+/-68,(X),(X)
High school graduate or higher,"6,409",+/-142,92.3%,+/-2.1,"3,097",+/-103,90.3%,+/-3.3,"3,312",+/-83,94.3%,+/-1.8
Bachelor's degree or higher,"1,070",+/-162,15.4%,+/-2.3,485,+/-103,14.1%,+/-3.0,585,+/-104,16.7%,+/-2.9
Population 65 years and over,"4,403",+/-30,(X),(X),"1,968",+/-22,(X),(X),"2,435",+/-18,(X),(X)
High school graduate or higher,"3,792",+/-123,86.1%,+/-2.8,"1,655",+/-88,84.1%,+/-4.5,"2,137",+/-88,87.8%,+/-3.5
Bachelor's degree or higher,565,+/-117,12.8%,+/-2.7,286,+/-74,14.5%,+/-3.7,279,+/-87,11.5%,+/-3.6
