County,Percent
Adams,15.6
Allen,27.4
Bartholomew,29.7
Benton,17.1
Blackford,11.0
Boone,44.5
Brown,23.5
Carroll,17.4
Cass,13.9
Clark,20.2
Clay,16.9
Clinton,14.9
Crawford,9.8
Daviess,14.0
Dearborn,20.0
Decatur,18.2
DeKalb,17.4
Delaware,23.3
Dubois,19.7
Elkhart,18.3
Fayette,10.7
Floyd,26.9
Fountain,14.5
Franklin,19.1
Fulton,13.7
Gibson,15.6
Grant,16.7
Greene,14.3
Hamilton,56.3
Hancock,29.0
Harrison,16.9
Hendricks,34.7
Henry,15.7
Howard,19.5
Huntington,18.9
Jackson,16.2
Jasper,16.5
Jay,10.9
Jefferson,17.0
Jennings,9.6
Johnson,29.5
Knox,15.2
Kosciusko,21.2
LaGrange,11.2
Lake,20.9
LaPorte,17.6
Lawrence,14.3
Madison,17.4
Marion,29.0
Marshall,18.5
Martin,11.4
Miami,11.9
Monroe,45.1
Montgomery,18.1
Morgan,15.5
Newton,10.5
Noble,14.1
Ohio,13.8
Orange,11.9
Owen,12.0
Parke,11.8
Perry,13.4
Pike,12.6
Porter,26.1
Posey,20.6
Pulaski,10.7
Putnam,15.0
Randolph,13.1
Ripley,11.3
Rush,14.0
Scott,13.0
Shelby,16.6
Spencer,15.3
St. Joseph,28.2
Starke,11.6
Steuben,19.9
Sullivan,12.7
Switzerland,8.3
Tippecanoe,35.3
Tipton,21.1
Union,18.6
Vanderburgh,24.9
Vermillion,13.0
Vigo,23.2
Wabash,18.3
Warren,19.6
Warrick,28.0
Washington,12.7
Wayne,17.1
Wells,17.4
White,15.7
Whitley,18.3
