Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,060",+/-89,(X),(X),"1,105",+/-71,(X),(X),955,+/-57,(X),(X)
Less than high school graduate,370,+/-113,18.0%,+/-5.2,234,+/-106,21.2%,+/-8.7,136,+/-61,14.2%,+/-6.4
High school graduate (includes equivalency),743,+/-153,36.1%,+/-7.8,488,+/-121,44.2%,+/-11.7,255,+/-91,26.7%,+/-9.9
Some college or associate's degree,788,+/-148,38.3%,+/-6.8,341,+/-105,30.9%,+/-9.3,447,+/-106,46.8%,+/-9.9
Bachelor's degree or higher,159,+/-80,7.7%,+/-3.8,42,+/-43,3.8%,+/-4.0,117,+/-70,12.3%,+/-7.2
Population 25 years and over,"17,683",+/-113,(X),(X),"8,722",+/-104,(X),(X),"8,961",+/-81,(X),(X)
Less than 9th grade,290,+/-90,1.6%,+/-0.5,134,+/-63,1.5%,+/-0.7,156,+/-62,1.7%,+/-0.7
"9th to 12th grade, no diploma",715,+/-166,4.0%,+/-0.9,340,+/-117,3.9%,+/-1.3,375,+/-100,4.2%,+/-1.1
High school graduate (includes equivalency),"6,865",+/-428,38.8%,+/-2.3,"3,520",+/-283,40.4%,+/-3.2,"3,345",+/-249,37.3%,+/-2.7
"Some college, no degree","4,250",+/-300,24.0%,+/-1.7,"2,196",+/-245,25.2%,+/-2.7,"2,054",+/-202,22.9%,+/-2.2
Associate's degree,"1,927",+/-265,10.9%,+/-1.5,897,+/-203,10.3%,+/-2.3,"1,030",+/-182,11.5%,+/-2.0
Bachelor's degree,"2,438",+/-331,13.8%,+/-1.9,"1,157",+/-201,13.3%,+/-2.3,"1,281",+/-199,14.3%,+/-2.3
Graduate or professional degree,"1,198",+/-208,6.8%,+/-1.2,478,+/-118,5.5%,+/-1.4,720,+/-127,8.0%,+/-1.4
Percent high school graduate or higher,(X),(X),94.3%,+/-1.1,(X),(X),94.6%,+/-1.5,(X),(X),94.1%,+/-1.3
Percent bachelor's degree or higher,(X),(X),20.6%,+/-2.2,(X),(X),18.7%,+/-2.7,(X),(X),22.3%,+/-2.6
Population 25 to 34 years,"2,785",+/-82,(X),(X),"1,435",+/-67,(X),(X),"1,350",+/-33,(X),(X)
High school graduate or higher,"2,661",+/-107,95.5%,+/-2.7,"1,374",+/-81,95.7%,+/-3.8,"1,287",+/-52,95.3%,+/-3.3
Bachelor's degree or higher,731,+/-156,26.2%,+/-5.6,307,+/-95,21.4%,+/-6.7,424,+/-94,31.4%,+/-7.0
Population 35 to 44 years,"2,977",+/-60,(X),(X),"1,441",+/-18,(X),(X),"1,536",+/-56,(X),(X)
High school graduate or higher,"2,873",+/-91,96.5%,+/-2.2,"1,379",+/-59,95.7%,+/-4.0,"1,494",+/-62,97.3%,+/-2.1
Bachelor's degree or higher,609,+/-118,20.5%,+/-4.0,210,+/-77,14.6%,+/-5.3,399,+/-76,26.0%,+/-5.1
Population 45 to 64 years,"7,736",+/-81,(X),(X),"3,896",+/-53,(X),(X),"3,840",+/-62,(X),(X)
High school graduate or higher,"7,377",+/-130,95.4%,+/-1.4,"3,719",+/-96,95.5%,+/-2.0,"3,658",+/-83,95.3%,+/-1.6
Bachelor's degree or higher,"1,621",+/-285,21.0%,+/-3.7,714,+/-139,18.3%,+/-3.6,907,+/-179,23.6%,+/-4.7
Population 65 years and over,"4,185",+/-91,(X),(X),"1,950",+/-90,(X),(X),"2,235",+/-11,(X),(X)
High school graduate or higher,"3,767",+/-150,90.0%,+/-2.8,"1,776",+/-116,91.1%,+/-3.5,"1,991",+/-79,89.1%,+/-3.5
Bachelor's degree or higher,675,+/-180,16.1%,+/-4.1,404,+/-123,20.7%,+/-5.9,271,+/-90,12.1%,+/-4.0
