RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,443",+/-90,(X),(X),"8,589",+/-86,(X),(X),"8,854",+/-33,(X),(X)
High school graduate or higher,"16,350",+/-184,93.7%,+/-1.0,"8,110",+/-147,94.4%,+/-1.5,"8,240",+/-113,93.1%,+/-1.3
Bachelor's degree or higher,"3,607",+/-368,20.7%,+/-2.1,"1,682",+/-239,19.6%,+/-2.8,"1,925",+/-238,21.7%,+/-2.7
"White alone, not Hispanic or Latino","17,318",+/-21,(X),(X),"8,488",+/-21,(X),(X),"8,830",+/-21,(X),(X)
High school graduate or higher,"16,243",+/-184,93.8%,+/-1.1,"8,009",+/-130,94.4%,+/-1.5,"8,234",+/-113,93.3%,+/-1.3
Bachelor's degree or higher,"3,545",+/-363,20.5%,+/-2.1,"1,620",+/-235,19.1%,+/-2.8,"1,925",+/-238,21.8%,+/-2.7
Black alone,215,+/-66,(X),(X),121,+/-64,(X),(X),94,+/-66,(X),(X)
High school graduate or higher,186,+/-68,86.5%,+/-15.1,92,+/-60,76.0%,+/-24.5,94,+/-66,100.0%,+/-26.8
Bachelor's degree or higher,8,+/-15,3.7%,+/-6.3,0,+/-21,0.0%,+/-21.7,8,+/-15,8.5%,+/-15.8
American Indian or Alaska Native alone,5,+/-6,(X),(X),5,+/-6,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,5,+/-6,100.0%,+/-100.0,5,+/-6,100.0%,+/-100.0,0,+/-21,-,**
Bachelor's degree or higher,2,+/-4,40.0%,+/-59.1,2,+/-4,40.0%,+/-59.1,0,+/-21,-,**
Asian alone,54,+/-34,(X),(X),9,+/-13,(X),(X),45,+/-24,(X),(X)
High school graduate or higher,43,+/-23,79.6%,+/-19.8,9,+/-13,100.0%,+/-95.0,34,+/-18,75.6%,+/-27.8
Bachelor's degree or higher,9,+/-13,16.7%,+/-17.1,9,+/-13,100.0%,+/-95.0,0,+/-21,0.0%,+/-42.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,28,+/-29,(X),(X),14,+/-20,(X),(X),14,+/-23,(X),(X)
High school graduate or higher,28,+/-29,100.0%,+/-53.8,14,+/-20,100.0%,+/-76.1,14,+/-23,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-53.8,0,+/-21,0.0%,+/-76.1,0,+/-21,0.0%,+/-76.1
Two or more races,84,+/-91,(X),(X),12,+/-17,(X),(X),72,+/-87,(X),(X)
High school graduate or higher,84,+/-91,100.0%,+/-29.2,12,+/-17,100.0%,+/-82.2,72,+/-87,100.0%,+/-32.7
Bachelor's degree or higher,63,+/-88,75.0%,+/-42.4,0,+/-21,0.0%,+/-82.3,63,+/-88,87.5%,+/-35.3
Hispanic or Latino Origin,216,+/-66,(X),(X),115,+/-81,(X),(X),101,+/-84,(X),(X)
High school graduate or higher,198,+/-71,91.7%,+/-14.3,115,+/-81,100.0%,+/-22.7,83,+/-82,82.2%,+/-33.4
Bachelor's degree or higher,125,+/-94,57.9%,+/-35.5,62,+/-73,53.9%,+/-48.4,63,+/-88,62.4%,+/-53.9
