Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,105",+/-88,(X),(X),"1,142",+/-73,(X),(X),963,+/-55,(X),(X)
Less than high school graduate,483,+/-134,22.9%,+/-6.1,334,+/-115,29.2%,+/-9.2,149,+/-71,15.5%,+/-7.3
High school graduate (includes equivalency),731,+/-153,34.7%,+/-7.5,396,+/-105,34.7%,+/-9.4,335,+/-108,34.8%,+/-11.7
Some college or associate's degree,782,+/-180,37.1%,+/-8.4,378,+/-110,33.1%,+/-9.8,404,+/-122,42.0%,+/-11.6
Bachelor's degree or higher,109,+/-84,5.2%,+/-4.0,34,+/-35,3.0%,+/-3.1,75,+/-67,7.8%,+/-7.0
Population 25 years and over,"17,633",+/-131,(X),(X),"8,618",+/-108,(X),(X),"9,015",+/-114,(X),(X)
Less than 9th grade,320,+/-102,1.8%,+/-0.6,153,+/-69,1.8%,+/-0.8,167,+/-69,1.9%,+/-0.8
"9th to 12th grade, no diploma",842,+/-149,4.8%,+/-0.8,447,+/-121,5.2%,+/-1.4,395,+/-110,4.4%,+/-1.2
High school graduate (includes equivalency),"6,970",+/-355,39.5%,+/-2.0,"3,578",+/-250,41.5%,+/-3.0,"3,392",+/-253,37.6%,+/-2.8
"Some college, no degree","4,075",+/-338,23.1%,+/-1.9,"2,030",+/-209,23.6%,+/-2.3,"2,045",+/-242,22.7%,+/-2.6
Associate's degree,"1,794",+/-231,10.2%,+/-1.3,733,+/-140,8.5%,+/-1.6,"1,061",+/-177,11.8%,+/-2.0
Bachelor's degree,"2,479",+/-287,14.1%,+/-1.6,"1,211",+/-179,14.1%,+/-2.1,"1,268",+/-189,14.1%,+/-2.1
Graduate or professional degree,"1,153",+/-187,6.5%,+/-1.1,466,+/-110,5.4%,+/-1.3,687,+/-131,7.6%,+/-1.5
Percent high school graduate or higher,(X),(X),93.4%,+/-1.1,(X),(X),93.0%,+/-1.7,(X),(X),93.8%,+/-1.5
Percent bachelor's degree or higher,(X),(X),20.6%,+/-1.8,(X),(X),19.5%,+/-2.1,(X),(X),21.7%,+/-2.5
Population 25 to 34 years,"2,707",+/-75,(X),(X),"1,379",+/-68,(X),(X),"1,328",+/-26,(X),(X)
High school graduate or higher,"2,558",+/-104,94.5%,+/-2.6,"1,285",+/-97,93.2%,+/-4.7,"1,273",+/-48,95.9%,+/-3.0
Bachelor's degree or higher,726,+/-137,26.8%,+/-5.0,312,+/-87,22.6%,+/-6.3,414,+/-100,31.2%,+/-7.5
Population 35 to 44 years,"3,032",+/-93,(X),(X),"1,436",+/-13,(X),(X),"1,596",+/-91,(X),(X)
High school graduate or higher,"2,941",+/-111,97.0%,+/-1.7,"1,382",+/-44,96.2%,+/-3.1,"1,559",+/-94,97.7%,+/-1.8
Bachelor's degree or higher,745,+/-150,24.6%,+/-5.1,296,+/-81,20.6%,+/-5.7,449,+/-97,28.1%,+/-6.5
Population 45 to 64 years,"7,869",+/-101,(X),(X),"3,966",+/-63,(X),(X),"3,903",+/-78,(X),(X)
High school graduate or higher,"7,404",+/-155,94.1%,+/-1.6,"3,715",+/-113,93.7%,+/-2.3,"3,689",+/-116,94.5%,+/-1.9
Bachelor's degree or higher,"1,618",+/-249,20.6%,+/-3.1,740,+/-137,18.7%,+/-3.4,878,+/-159,22.5%,+/-4.1
Population 65 years and over,"4,025",+/-68,(X),(X),"1,837",+/-68,(X),(X),"2,188",+/-8,(X),(X)
High school graduate or higher,"3,568",+/-129,88.6%,+/-2.8,"1,636",+/-96,89.1%,+/-3.9,"1,932",+/-80,88.3%,+/-3.7
Bachelor's degree or higher,543,+/-127,13.5%,+/-3.1,329,+/-90,17.9%,+/-4.7,214,+/-66,9.8%,+/-3.0
