Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"667,112","+/-1,160",(X),(X),"341,411",+/-873,(X),(X),"325,701",+/-687,(X),(X)
Less than high school graduate,"107,104","+/-2,559",16.1%,+/-0.4,"61,661","+/-1,736",18.1%,+/-0.5,"45,443","+/-1,647",14.0%,+/-0.5
High school graduate (includes equivalency),"209,423","+/-2,761",31.4%,+/-0.4,"115,913","+/-1,885",34.0%,+/-0.6,"93,510","+/-1,922",28.7%,+/-0.6
Some college or associate's degree,"287,109","+/-3,332",43.0%,+/-0.5,"136,135","+/-1,936",39.9%,+/-0.5,"150,974","+/-2,572",46.4%,+/-0.8
Bachelor's degree or higher,"63,476","+/-1,765",9.5%,+/-0.3,"27,702","+/-1,128",8.1%,+/-0.3,"35,774","+/-1,305",11.0%,+/-0.4
Population 25 years and over,"4,369,451","+/-1,374",(X),(X),"2,109,878","+/-1,144",(X),(X),"2,259,573",+/-982,(X),(X)
Less than 9th grade,"167,020","+/-3,191",3.8%,+/-0.1,"86,995","+/-2,025",4.1%,+/-0.1,"80,025","+/-1,953",3.5%,+/-0.1
"9th to 12th grade, no diploma","343,773","+/-4,561",7.9%,+/-0.1,"173,648","+/-2,948",8.2%,+/-0.1,"170,125","+/-2,966",7.5%,+/-0.1
High school graduate (includes equivalency),"1,474,872","+/-7,627",33.8%,+/-0.2,"734,584","+/-5,359",34.8%,+/-0.3,"740,288","+/-4,700",32.8%,+/-0.2
"Some college, no degree","904,964","+/-6,198",20.7%,+/-0.1,"431,864","+/-4,271",20.5%,+/-0.2,"473,100","+/-3,881",20.9%,+/-0.2
Associate's degree,"372,514","+/-4,176",8.5%,+/-0.1,"159,140","+/-2,388",7.5%,+/-0.1,"213,374","+/-3,187",9.4%,+/-0.1
Bachelor's degree,"704,841","+/-7,318",16.1%,+/-0.2,"333,773","+/-4,329",15.8%,+/-0.2,"371,068","+/-4,476",16.4%,+/-0.2
Graduate or professional degree,"401,467","+/-5,344",9.2%,+/-0.1,"189,874","+/-3,155",9.0%,+/-0.1,"211,593","+/-3,364",9.4%,+/-0.1
Percent high school graduate or higher,(X),(X),88.3%,+/-0.1,(X),(X),87.6%,+/-0.2,(X),(X),88.9%,+/-0.2
Percent bachelor's degree or higher,(X),(X),25.3%,+/-0.2,(X),(X),24.8%,+/-0.3,(X),(X),25.8%,+/-0.2
Population 25 to 34 years,"849,743","+/-1,308",(X),(X),"425,941",+/-883,(X),(X),"423,802",+/-916,(X),(X)
High school graduate or higher,"756,182","+/-2,488",89.0%,+/-0.3,"373,882","+/-1,616",87.8%,+/-0.3,"382,300","+/-1,873",90.2%,+/-0.4
Bachelor's degree or higher,"255,136","+/-4,091",30.0%,+/-0.5,"113,238","+/-2,353",26.6%,+/-0.5,"141,898","+/-2,677",33.5%,+/-0.6
Population 35 to 44 years,"821,580","+/-1,198",(X),(X),"410,558",+/-895,(X),(X),"411,022",+/-830,(X),(X)
High school graduate or higher,"735,394","+/-2,350",89.5%,+/-0.3,"362,788","+/-1,622",88.4%,+/-0.3,"372,606","+/-1,606",90.7%,+/-0.3
Bachelor's degree or higher,"239,441","+/-3,630",29.1%,+/-0.4,"106,724","+/-2,020",26.0%,+/-0.5,"132,717","+/-2,440",32.3%,+/-0.6
Population 45 to 64 years,"1,729,560","+/-1,335",(X),(X),"850,514","+/-1,079",(X),(X),"879,046",+/-827,(X),(X)
High school graduate or higher,"1,555,442","+/-3,441",89.9%,+/-0.2,"755,571","+/-2,501",88.8%,+/-0.3,"799,871","+/-2,014",91.0%,+/-0.2
Bachelor's degree or higher,"423,521","+/-4,543",24.5%,+/-0.3,"203,114","+/-2,609",23.9%,+/-0.3,"220,407","+/-2,899",25.1%,+/-0.3
Population 65 years and over,"968,568",+/-743,(X),(X),"422,865",+/-576,(X),(X),"545,703",+/-529,(X),(X)
High school graduate or higher,"811,640","+/-2,339",83.8%,+/-0.2,"356,994","+/-1,483",84.4%,+/-0.3,"454,646","+/-1,521",83.3%,+/-0.3
Bachelor's degree or higher,"188,210","+/-2,221",19.4%,+/-0.2,"100,571","+/-1,726",23.8%,+/-0.4,"87,639","+/-1,348",16.1%,+/-0.2
