RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"3,748,089","+/-2,387",(X),(X),"1,814,151","+/-1,675",(X),(X),"1,933,938","+/-1,183",(X),(X)
High school graduate or higher,"3,328,456","+/-5,426",88.8%,+/-0.1,"1,603,186","+/-3,438",88.4%,+/-0.2,"1,725,270","+/-3,443",89.2%,+/-0.2
Bachelor's degree or higher,"920,182","+/-7,465",24.6%,+/-0.2,"442,940","+/-4,254",24.4%,+/-0.2,"477,242","+/-4,307",24.7%,+/-0.2
"White alone, not Hispanic or Latino","3,628,363",+/-508,(X),(X),"1,750,866",+/-314,(X),(X),"1,877,497",+/-310,(X),(X)
High school graduate or higher,"3,250,342","+/-4,282",89.6%,+/-0.1,"1,562,680","+/-2,924",89.3%,+/-0.2,"1,687,662","+/-2,850",89.9%,+/-0.2
Bachelor's degree or higher,"902,689","+/-7,010",24.9%,+/-0.2,"434,571","+/-4,090",24.8%,+/-0.2,"468,118","+/-4,088",24.9%,+/-0.2
Black alone,"357,095","+/-1,194",(X),(X),"164,267",+/-853,(X),(X),"192,828",+/-851,(X),(X)
High school graduate or higher,"303,084","+/-1,824",84.9%,+/-0.4,"136,294","+/-1,311",83.0%,+/-0.6,"166,790","+/-1,327",86.5%,+/-0.5
Bachelor's degree or higher,"57,510","+/-1,762",16.1%,+/-0.5,"24,048","+/-1,034",14.6%,+/-0.6,"33,462","+/-1,215",17.4%,+/-0.6
American Indian or Alaska Native alone,"10,177",+/-692,(X),(X),"5,092",+/-429,(X),(X),"5,085",+/-422,(X),(X)
High school graduate or higher,"7,867",+/-558,77.3%,+/-3.5,"3,961",+/-374,77.8%,+/-4.0,"3,906",+/-365,76.8%,+/-4.4
Bachelor's degree or higher,"1,241",+/-209,12.2%,+/-1.9,626,+/-133,12.3%,+/-2.6,615,+/-150,12.1%,+/-2.7
Asian alone,"73,037",+/-884,(X),(X),"34,080",+/-576,(X),(X),"38,957",+/-594,(X),(X)
High school graduate or higher,"63,364","+/-1,058",86.8%,+/-1.0,"30,285",+/-659,88.9%,+/-1.2,"33,079",+/-758,84.9%,+/-1.5
Bachelor's degree or higher,"42,170","+/-1,075",57.7%,+/-1.5,"21,713",+/-706,63.7%,+/-2.0,"20,457",+/-747,52.5%,+/-1.8
Native Hawaiian and Other Pacific Islander alone,"1,197",+/-233,(X),(X),601,+/-157,(X),(X),596,+/-153,(X),(X)
High school graduate or higher,"1,012",+/-201,84.5%,+/-7.8,500,+/-142,83.2%,+/-11.9,512,+/-141,85.9%,+/-11.2
Bachelor's degree or higher,261,+/-88,21.8%,+/-6.7,154,+/-68,25.6%,+/-9.7,107,+/-54,18.0%,+/-8.6
Some other race alone,"78,607","+/-2,793",(X),(X),"41,950","+/-1,828",(X),(X),"36,657","+/-1,294",(X),(X)
High school graduate or higher,"46,477","+/-1,881",59.1%,+/-1.7,"24,365","+/-1,362",58.1%,+/-2.2,"22,112",+/-911,60.3%,+/-2.0
Bachelor's degree or higher,"7,295",+/-869,9.3%,+/-1.1,"3,528",+/-648,8.4%,+/-1.4,"3,767",+/-461,10.3%,+/-1.3
Two or more races,"48,071","+/-1,916",(X),(X),"23,551","+/-1,130",(X),(X),"24,520","+/-1,142",(X),(X)
High school graduate or higher,"41,159","+/-1,742",85.6%,+/-1.1,"19,792","+/-1,051",84.0%,+/-1.7,"21,367","+/-1,071",87.1%,+/-1.3
Bachelor's degree or higher,"11,597",+/-777,24.1%,+/-1.2,"5,099",+/-484,21.7%,+/-1.6,"6,498",+/-523,26.5%,+/-1.8
Hispanic or Latino Origin,"207,901",+/-679,(X),(X),"109,851",+/-658,(X),(X),"98,050",+/-417,(X),(X)
High school graduate or higher,"130,775","+/-2,096",62.9%,+/-1.0,"67,711","+/-1,455",61.6%,+/-1.2,"63,064","+/-1,144",64.3%,+/-1.2
Bachelor's degree or higher,"25,365","+/-1,146",12.2%,+/-0.5,"11,953",+/-801,10.9%,+/-0.7,"13,412",+/-765,13.7%,+/-0.8
