Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"667,899",+/-984,(X),(X),"341,530",+/-812,(X),(X),"326,369",+/-696,(X),(X)
Less than high school graduate,"110,629","+/-2,050",16.6%,+/-0.3,"63,477","+/-1,600",18.6%,+/-0.5,"47,152","+/-1,218",14.4%,+/-0.4
High school graduate (includes equivalency),"205,082","+/-2,699",30.7%,+/-0.4,"114,202","+/-2,298",33.4%,+/-0.7,"90,880","+/-1,624",27.8%,+/-0.5
Some college or associate's degree,"291,054","+/-3,168",43.6%,+/-0.5,"137,672","+/-2,372",40.3%,+/-0.7,"153,382","+/-2,170",47.0%,+/-0.7
Bachelor's degree or higher,"61,134","+/-1,934",9.2%,+/-0.3,"26,179","+/-1,234",7.7%,+/-0.4,"34,955","+/-1,341",10.7%,+/-0.4
Population 25 years and over,"4,339,687","+/-1,309",(X),(X),"2,095,203","+/-1,038",(X),(X),"2,244,484",+/-892,(X),(X)
Less than 9th grade,"169,321","+/-3,021",3.9%,+/-0.1,"87,971","+/-2,013",4.2%,+/-0.1,"81,350","+/-1,861",3.6%,+/-0.1
"9th to 12th grade, no diploma","348,137","+/-4,808",8.0%,+/-0.1,"174,398","+/-3,148",8.3%,+/-0.1,"173,739","+/-2,896",7.7%,+/-0.1
High school graduate (includes equivalency),"1,486,051","+/-8,047",34.2%,+/-0.2,"737,797","+/-5,232",35.2%,+/-0.3,"748,254","+/-4,541",33.3%,+/-0.2
"Some college, no degree","903,839","+/-4,791",20.8%,+/-0.1,"431,739","+/-3,728",20.6%,+/-0.2,"472,100","+/-3,516",21.0%,+/-0.2
Associate's degree,"364,277","+/-3,987",8.4%,+/-0.1,"155,024","+/-2,527",7.4%,+/-0.1,"209,253","+/-2,654",9.3%,+/-0.1
Bachelor's degree,"681,986","+/-7,057",15.7%,+/-0.2,"324,545","+/-4,262",15.5%,+/-0.2,"357,441","+/-4,746",15.9%,+/-0.2
Graduate or professional degree,"386,076","+/-4,433",8.9%,+/-0.1,"183,729","+/-2,979",8.8%,+/-0.1,"202,347","+/-2,912",9.0%,+/-0.1
Percent high school graduate or higher,(X),(X),88.1%,+/-0.1,(X),(X),87.5%,+/-0.2,(X),(X),88.6%,+/-0.2
Percent bachelor's degree or higher,(X),(X),24.6%,+/-0.2,(X),(X),24.3%,+/-0.3,(X),(X),24.9%,+/-0.2
Population 25 to 34 years,"845,708","+/-1,160",(X),(X),"424,217",+/-966,(X),(X),"421,491",+/-748,(X),(X)
High school graduate or higher,"749,969","+/-2,721",88.7%,+/-0.3,"370,982","+/-2,149",87.5%,+/-0.5,"378,987","+/-1,522",89.9%,+/-0.3
Bachelor's degree or higher,"247,305","+/-3,525",29.2%,+/-0.4,"109,189","+/-2,171",25.7%,+/-0.5,"138,116","+/-2,406",32.8%,+/-0.6
Population 35 to 44 years,"822,044","+/-1,117",(X),(X),"411,047",+/-809,(X),(X),"410,997",+/-792,(X),(X)
High school graduate or higher,"737,306","+/-2,140",89.7%,+/-0.2,"364,133","+/-1,607",88.6%,+/-0.4,"373,173","+/-1,505",90.8%,+/-0.3
Bachelor's degree or higher,"234,101","+/-3,795",28.5%,+/-0.4,"105,808","+/-2,163",25.7%,+/-0.5,"128,293","+/-2,263",31.2%,+/-0.5
Population 45 to 64 years,"1,731,612","+/-1,256",(X),(X),"850,935",+/-850,(X),(X),"880,677",+/-874,(X),(X)
High school graduate or higher,"1,555,454","+/-3,170",89.8%,+/-0.2,"755,373","+/-1,992",88.8%,+/-0.2,"800,081","+/-2,018",90.8%,+/-0.2
Bachelor's degree or higher,"412,763","+/-4,246",23.8%,+/-0.2,"199,666","+/-2,593",23.5%,+/-0.3,"213,097","+/-2,771",24.2%,+/-0.3
Population 65 years and over,"940,323",+/-708,(X),(X),"409,004",+/-494,(X),(X),"531,319",+/-548,(X),(X)
High school graduate or higher,"779,500","+/-2,241",82.9%,+/-0.2,"342,346","+/-1,420",83.7%,+/-0.3,"437,154","+/-1,721",82.3%,+/-0.3
Bachelor's degree or higher,"173,893","+/-2,399",18.5%,+/-0.3,"93,611","+/-1,672",22.9%,+/-0.4,"80,282","+/-1,449",15.1%,+/-0.3
