RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"3,779,785","+/-2,246",(X),(X),"1,830,478","+/-1,294",(X),(X),"1,949,307","+/-1,305",(X),(X)
High school graduate or higher,"3,373,565","+/-5,339",89.3%,+/-0.1,"1,622,981","+/-3,283",88.7%,+/-0.2,"1,750,584","+/-3,371",89.8%,+/-0.2
Bachelor's degree or higher,"974,835","+/-8,663",25.8%,+/-0.2,"463,803","+/-4,855",25.3%,+/-0.3,"511,032","+/-4,784",26.2%,+/-0.2
"White alone, not Hispanic or Latino","3,646,048",+/-523,(X),(X),"1,760,727",+/-308,(X),(X),"1,885,321",+/-299,(X),(X)
High school graduate or higher,"3,285,438","+/-4,450",90.1%,+/-0.1,"1,578,447","+/-2,990",89.6%,+/-0.2,"1,706,991","+/-2,786",90.5%,+/-0.1
Bachelor's degree or higher,"954,967","+/-8,244",26.2%,+/-0.2,"454,276","+/-4,680",25.8%,+/-0.3,"500,691","+/-4,579",26.6%,+/-0.2
Black alone,"367,908","+/-1,288",(X),(X),"169,300",+/-788,(X),(X),"198,608",+/-924,(X),(X)
High school graduate or higher,"314,413","+/-1,827",85.5%,+/-0.4,"142,183","+/-1,182",84.0%,+/-0.6,"172,230","+/-1,443",86.7%,+/-0.6
Bachelor's degree or higher,"62,620","+/-1,725",17.0%,+/-0.5,"25,602","+/-1,076",15.1%,+/-0.6,"37,018","+/-1,288",18.6%,+/-0.7
American Indian or Alaska Native alone,"10,705",+/-602,(X),(X),"5,708",+/-468,(X),(X),"4,997",+/-447,(X),(X)
High school graduate or higher,"8,472",+/-582,79.1%,+/-2.8,"4,393",+/-422,77.0%,+/-4.1,"4,079",+/-411,81.6%,+/-3.2
Bachelor's degree or higher,"1,588",+/-238,14.8%,+/-2.0,907,+/-188,15.9%,+/-3.1,681,+/-148,13.6%,+/-2.5
Asian alone,"82,138",+/-881,(X),(X),"38,624",+/-575,(X),(X),"43,514",+/-621,(X),(X)
High school graduate or higher,"69,920","+/-1,175",85.1%,+/-1.1,"33,722",+/-750,87.3%,+/-1.3,"36,198",+/-760,83.2%,+/-1.3
Bachelor's degree or higher,"46,832","+/-1,299",57.0%,+/-1.5,"24,327",+/-846,63.0%,+/-1.9,"22,505",+/-854,51.7%,+/-1.9
Native Hawaiian and Other Pacific Islander alone,"1,563",+/-271,(X),(X),732,+/-212,(X),(X),831,+/-164,(X),(X)
High school graduate or higher,"1,400",+/-257,89.6%,+/-5.7,651,+/-210,88.9%,+/-10.5,749,+/-154,90.1%,+/-7.2
Bachelor's degree or higher,361,+/-133,23.1%,+/-8.1,180,+/-75,24.6%,+/-9.7,181,+/-92,21.8%,+/-10.2
Some other race alone,"76,065","+/-2,282",(X),(X),"40,712","+/-1,252",(X),(X),"35,353","+/-1,346",(X),(X)
High school graduate or higher,"46,482","+/-1,951",61.1%,+/-1.8,"24,608","+/-1,222",60.4%,+/-2.2,"21,874","+/-1,089",61.9%,+/-2.1
Bachelor's degree or higher,"7,344",+/-751,9.7%,+/-0.9,"3,619",+/-443,8.9%,+/-1.0,"3,725",+/-535,10.5%,+/-1.4
Two or more races,"51,287","+/-1,734",(X),(X),"24,324",+/-998,(X),(X),"26,963","+/-1,144",(X),(X)
High school graduate or higher,"44,406","+/-1,638",86.6%,+/-1.0,"20,697",+/-985,85.1%,+/-1.5,"23,709","+/-1,062",87.9%,+/-1.3
Bachelor's degree or higher,"12,728",+/-745,24.8%,+/-1.3,"5,209",+/-528,21.4%,+/-2.1,"7,519",+/-545,27.9%,+/-1.8
Hispanic or Latino Origin,"220,338",+/-618,(X),(X),"115,656",+/-530,(X),(X),"104,682",+/-451,(X),(X)
High school graduate or higher,"142,134","+/-2,075",64.5%,+/-0.9,"72,786","+/-1,427",62.9%,+/-1.2,"69,348","+/-1,250",66.2%,+/-1.2
Bachelor's degree or higher,"28,386","+/-1,585",12.9%,+/-0.7,"13,713",+/-973,11.9%,+/-0.8,"14,673",+/-943,14.0%,+/-0.9
