Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,350",+/-48,(X),(X),625,+/-35,(X),(X),725,+/-35,(X),(X)
Less than high school graduate,359,+/-95,26.6%,+/-6.8,182,+/-59,29.1%,+/-8.6,177,+/-70,24.4%,+/-9.4
High school graduate (includes equivalency),449,+/-84,33.3%,+/-6.0,281,+/-57,45.0%,+/-9.3,168,+/-58,23.2%,+/-7.9
Some college or associate's degree,416,+/-80,30.8%,+/-6.0,147,+/-51,23.5%,+/-8.4,269,+/-66,37.1%,+/-9.0
Bachelor's degree or higher,126,+/-67,9.3%,+/-5.0,15,+/-16,2.4%,+/-2.6,111,+/-65,15.3%,+/-9.0
Population 25 years and over,"12,051",+/-114,(X),(X),"5,675",+/-127,(X),(X),"6,376",+/-93,(X),(X)
Less than 9th grade,593,+/-127,4.9%,+/-1.1,291,+/-79,5.1%,+/-1.4,302,+/-92,4.7%,+/-1.4
"9th to 12th grade, no diploma","1,159",+/-212,9.6%,+/-1.8,554,+/-146,9.8%,+/-2.6,605,+/-132,9.5%,+/-2.1
High school graduate (includes equivalency),"5,144",+/-394,42.7%,+/-3.1,"2,609",+/-288,46.0%,+/-4.5,"2,535",+/-256,39.8%,+/-3.9
"Some college, no degree","2,535",+/-221,21.0%,+/-1.8,"1,026",+/-166,18.1%,+/-2.9,"1,509",+/-161,23.7%,+/-2.5
Associate's degree,"1,103",+/-242,9.2%,+/-2.0,460,+/-129,8.1%,+/-2.3,643,+/-170,10.1%,+/-2.6
Bachelor's degree,"1,056",+/-192,8.8%,+/-1.6,568,+/-139,10.0%,+/-2.4,488,+/-117,7.7%,+/-1.8
Graduate or professional degree,461,+/-108,3.8%,+/-0.9,167,+/-60,2.9%,+/-1.1,294,+/-83,4.6%,+/-1.3
Percent high school graduate or higher,(X),(X),85.5%,+/-2.1,(X),(X),85.1%,+/-3.1,(X),(X),85.8%,+/-2.4
Percent bachelor's degree or higher,(X),(X),12.6%,+/-1.8,(X),(X),13.0%,+/-2.5,(X),(X),12.3%,+/-2.0
Population 25 to 34 years,"2,111",+/-49,(X),(X),897,+/-24,(X),(X),"1,214",+/-48,(X),(X)
High school graduate or higher,"1,762",+/-131,83.5%,+/-5.7,728,+/-69,81.2%,+/-7.2,"1,034",+/-85,85.2%,+/-6.2
Bachelor's degree or higher,231,+/-77,10.9%,+/-3.6,120,+/-55,13.4%,+/-6.0,111,+/-40,9.1%,+/-3.2
Population 35 to 44 years,"2,099",+/-136,(X),(X),"1,010",+/-131,(X),(X),"1,089",+/-58,(X),(X)
High school graduate or higher,"1,802",+/-171,85.9%,+/-4.6,900,+/-152,89.1%,+/-6.1,902,+/-84,82.8%,+/-6.4
Bachelor's degree or higher,307,+/-110,14.6%,+/-5.3,173,+/-81,17.1%,+/-7.7,134,+/-59,12.3%,+/-5.6
Population 45 to 64 years,"4,801",+/-69,(X),(X),"2,300",+/-24,(X),(X),"2,501",+/-66,(X),(X)
High school graduate or higher,"4,119",+/-172,85.8%,+/-3.1,"1,972",+/-102,85.7%,+/-4.2,"2,147",+/-136,85.8%,+/-4.6
Bachelor's degree or higher,614,+/-155,12.8%,+/-3.2,277,+/-91,12.0%,+/-4.0,337,+/-97,13.5%,+/-3.8
Population 65 years and over,"3,040",+/-28,(X),(X),"1,468",+/-24,(X),(X),"1,572",+/-15,(X),(X)
High school graduate or higher,"2,616",+/-124,86.1%,+/-3.7,"1,230",+/-90,83.8%,+/-5.5,"1,386",+/-68,88.2%,+/-4.2
Bachelor's degree or higher,365,+/-105,12.0%,+/-3.4,165,+/-66,11.2%,+/-4.4,200,+/-72,12.7%,+/-4.6
