RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,556",+/-31,(X),(X),"5,403",+/-33,(X),(X),"6,153",+/-31,(X),(X)
High school graduate or higher,"9,877",+/-249,85.5%,+/-2.2,"4,639",+/-141,85.9%,+/-2.6,"5,238",+/-177,85.1%,+/-2.9
Bachelor's degree or higher,"1,595",+/-268,13.8%,+/-2.3,788,+/-165,14.6%,+/-3.0,807,+/-168,13.1%,+/-2.7
"White alone, not Hispanic or Latino","11,461",+/-18,(X),(X),"5,349",+/-18,(X),(X),"6,112",+/-18,(X),(X)
High school graduate or higher,"9,788",+/-251,85.4%,+/-2.2,"4,585",+/-138,85.7%,+/-2.6,"5,203",+/-176,85.1%,+/-2.9
Bachelor's degree or higher,"1,571",+/-271,13.7%,+/-2.4,774,+/-166,14.5%,+/-3.1,797,+/-168,13.0%,+/-2.7
Black alone,292,+/-61,(X),(X),21,+/-30,(X),(X),271,+/-61,(X),(X)
High school graduate or higher,217,+/-57,74.3%,+/-12.1,21,+/-30,100.0%,+/-62.2,196,+/-59,72.3%,+/-13.2
Bachelor's degree or higher,18,+/-20,6.2%,+/-6.8,0,+/-18,0.0%,+/-62.2,18,+/-20,6.6%,+/-7.4
American Indian or Alaska Native alone,31,+/-27,(X),(X),0,+/-18,(X),(X),31,+/-27,(X),(X)
High school graduate or higher,31,+/-27,100.0%,+/-51.2,0,+/-18,-,**,31,+/-27,100.0%,+/-51.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-51.2,0,+/-18,-,**,0,+/-18,0.0%,+/-51.2
Asian alone,14,+/-16,(X),(X),0,+/-18,(X),(X),14,+/-16,(X),(X)
High school graduate or higher,14,+/-16,100.0%,+/-76.1,0,+/-18,-,**,14,+/-16,100.0%,+/-76.1
Bachelor's degree or higher,2,+/-4,14.3%,+/-34.2,0,+/-18,-,**,2,+/-4,14.3%,+/-34.2
Native Hawaiian and Other Pacific Islander alone,46,+/-55,(X),(X),46,+/-55,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,46,+/-55,100.0%,+/-42.0,46,+/-55,100.0%,+/-42.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-42.0,0,+/-18,0.0%,+/-42.0,0,+/-18,-,**
Some other race alone,23,+/-22,(X),(X),22,+/-21,(X),(X),1,+/-2,(X),(X)
High school graduate or higher,21,+/-20,91.3%,+/-14.4,20,+/-20,90.9%,+/-15.1,1,+/-2,100.0%,+/-100.0
Bachelor's degree or higher,10,+/-12,43.5%,+/-42.5,9,+/-11,40.9%,+/-43.2,1,+/-2,100.0%,+/-100.0
Two or more races,104,+/-35,(X),(X),49,+/-21,(X),(X),55,+/-25,(X),(X)
High school graduate or higher,101,+/-35,97.1%,+/-5.0,46,+/-21,93.9%,+/-10.8,55,+/-25,100.0%,+/-38.4
Bachelor's degree or higher,0,+/-18,0.0%,+/-24.7,0,+/-18,0.0%,+/-40.7,0,+/-18,0.0%,+/-38.4
Hispanic or Latino Origin,127,+/-23,(X),(X),85,+/-34,(X),(X),42,+/-31,(X),(X)
High school graduate or higher,119,+/-23,93.7%,+/-9.2,83,+/-33,97.6%,+/-4.0,36,+/-29,85.7%,+/-27.0
Bachelor's degree or higher,34,+/-31,26.8%,+/-24.0,23,+/-23,27.1%,+/-22.8,11,+/-23,26.2%,+/-56.2
