RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"11,524",+/-46,(X),(X),"5,406",+/-41,(X),(X),"6,118",+/-35,(X),(X)
High school graduate or higher,"9,854",+/-239,85.5%,+/-2.1,"4,558",+/-161,84.3%,+/-2.9,"5,296",+/-173,86.6%,+/-2.7
Bachelor's degree or higher,"1,382",+/-201,12.0%,+/-1.7,715,+/-151,13.2%,+/-2.8,667,+/-113,10.9%,+/-1.9
"White alone, not Hispanic or Latino","11,411",+/-18,(X),(X),"5,346",+/-18,(X),(X),"6,065",+/-18,(X),(X)
High school graduate or higher,"9,741",+/-242,85.4%,+/-2.1,"4,498",+/-158,84.1%,+/-3.0,"5,243",+/-166,86.4%,+/-2.7
Bachelor's degree or higher,"1,348",+/-204,11.8%,+/-1.8,692,+/-156,12.9%,+/-2.9,656,+/-109,10.8%,+/-1.8
Black alone,269,+/-80,(X),(X),10,+/-19,(X),(X),259,+/-82,(X),(X)
High school graduate or higher,194,+/-75,72.1%,+/-16.7,10,+/-19,100.0%,+/-90.1,184,+/-72,71.0%,+/-16.6
Bachelor's degree or higher,21,+/-23,7.8%,+/-8.2,0,+/-18,0.0%,+/-90.1,21,+/-23,8.1%,+/-8.6
American Indian or Alaska Native alone,59,+/-80,(X),(X),46,+/-73,(X),(X),13,+/-22,(X),(X)
High school graduate or higher,59,+/-80,100.0%,+/-37.0,46,+/-73,100.0%,+/-42.0,13,+/-22,100.0%,+/-79.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-37.0,0,+/-18,0.0%,+/-42.0,0,+/-18,0.0%,+/-79.0
Asian alone,14,+/-18,(X),(X),0,+/-18,(X),(X),14,+/-18,(X),(X)
High school graduate or higher,14,+/-18,100.0%,+/-76.1,0,+/-18,-,**,14,+/-18,100.0%,+/-76.1
Bachelor's degree or higher,2,+/-4,14.3%,+/-39.2,0,+/-18,-,**,2,+/-4,14.3%,+/-39.2
Native Hawaiian and Other Pacific Islander alone,36,+/-58,(X),(X),36,+/-58,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,36,+/-58,100.0%,+/-47.5,36,+/-58,100.0%,+/-47.5,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-47.5,0,+/-18,0.0%,+/-47.5,0,+/-18,-,**
Some other race alone,32,+/-31,(X),(X),31,+/-30,(X),(X),1,+/-3,(X),(X)
High school graduate or higher,30,+/-29,93.8%,+/-10.0,29,+/-28,93.5%,+/-10.5,1,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,12,+/-19,37.5%,+/-52.4,11,+/-18,35.5%,+/-52.3,1,+/-3,100.0%,+/-100.0
Two or more races,90,+/-54,(X),(X),33,+/-28,(X),(X),57,+/-33,(X),(X)
High school graduate or higher,90,+/-54,100.0%,+/-27.7,33,+/-28,100.0%,+/-49.6,57,+/-33,100.0%,+/-37.7
Bachelor's degree or higher,0,+/-18,0.0%,+/-27.7,0,+/-18,0.0%,+/-49.6,0,+/-18,0.0%,+/-37.7
Hispanic or Latino Origin,155,+/-47,(X),(X),101,+/-47,(X),(X),54,+/-34,(X),(X)
High school graduate or higher,153,+/-47,98.7%,+/-2.5,99,+/-47,98.0%,+/-3.8,54,+/-34,100.0%,+/-38.8
Bachelor's degree or higher,46,+/-44,29.7%,+/-26.0,34,+/-39,33.7%,+/-31.5,12,+/-23,22.2%,+/-46.7
