Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,376",+/-42,(X),(X),653,+/-33,(X),(X),723,+/-30,(X),(X)
Less than high school graduate,377,+/-103,27.4%,+/-7.3,177,+/-67,27.1%,+/-9.8,200,+/-69,27.7%,+/-9.5
High school graduate (includes equivalency),387,+/-85,28.1%,+/-6.3,236,+/-65,36.1%,+/-10.1,151,+/-65,20.9%,+/-9.0
Some college or associate's degree,494,+/-105,35.9%,+/-7.5,222,+/-72,34.0%,+/-11.0,272,+/-81,37.6%,+/-11.1
Bachelor's degree or higher,118,+/-69,8.6%,+/-5.0,18,+/-21,2.8%,+/-3.2,100,+/-64,13.8%,+/-8.8
Population 25 years and over,"12,024",+/-54,(X),(X),"5,562",+/-87,(X),(X),"6,462",+/-80,(X),(X)
Less than 9th grade,571,+/-145,4.7%,+/-1.2,329,+/-109,5.9%,+/-2.0,242,+/-70,3.7%,+/-1.1
"9th to 12th grade, no diploma","1,176",+/-186,9.8%,+/-1.6,521,+/-129,9.4%,+/-2.3,655,+/-146,10.1%,+/-2.3
High school graduate (includes equivalency),"5,092",+/-344,42.3%,+/-2.9,"2,537",+/-210,45.6%,+/-3.8,"2,555",+/-252,39.5%,+/-3.9
"Some college, no degree","2,592",+/-271,21.6%,+/-2.3,996,+/-176,17.9%,+/-3.1,"1,596",+/-225,24.7%,+/-3.4
Associate's degree,"1,176",+/-198,9.8%,+/-1.6,453,+/-125,8.1%,+/-2.2,723,+/-127,11.2%,+/-1.9
Bachelor's degree,981,+/-179,8.2%,+/-1.5,557,+/-142,10.0%,+/-2.5,424,+/-104,6.6%,+/-1.6
Graduate or professional degree,436,+/-98,3.6%,+/-0.8,169,+/-56,3.0%,+/-1.0,267,+/-76,4.1%,+/-1.2
Percent high school graduate or higher,(X),(X),85.5%,+/-2.0,(X),(X),84.7%,+/-2.8,(X),(X),86.1%,+/-2.6
Percent bachelor's degree or higher,(X),(X),11.8%,+/-1.7,(X),(X),13.1%,+/-2.7,(X),(X),10.7%,+/-1.9
Population 25 to 34 years,"2,170",+/-72,(X),(X),875,+/-25,(X),(X),"1,295",+/-66,(X),(X)
High school graduate or higher,"1,871",+/-139,86.2%,+/-5.1,755,+/-60,86.3%,+/-6.4,"1,116",+/-107,86.2%,+/-6.1
Bachelor's degree or higher,298,+/-102,13.7%,+/-4.7,178,+/-86,20.3%,+/-9.8,120,+/-46,9.3%,+/-3.6
Population 35 to 44 years,"2,077",+/-93,(X),(X),942,+/-72,(X),(X),"1,135",+/-55,(X),(X)
High school graduate or higher,"1,809",+/-113,87.1%,+/-3.5,848,+/-81,90.0%,+/-5.2,961,+/-70,84.7%,+/-4.6
Bachelor's degree or higher,280,+/-97,13.5%,+/-4.7,150,+/-69,15.9%,+/-7.2,130,+/-58,11.5%,+/-5.2
Population 45 to 64 years,"4,862",+/-88,(X),(X),"2,340",+/-74,(X),(X),"2,522",+/-45,(X),(X)
High school graduate or higher,"4,136",+/-182,85.1%,+/-3.3,"1,946",+/-133,83.2%,+/-4.9,"2,190",+/-123,86.8%,+/-4.5
Bachelor's degree or higher,533,+/-113,11.0%,+/-2.3,250,+/-75,10.7%,+/-3.2,283,+/-72,11.2%,+/-2.9
Population 65 years and over,"2,915",+/-27,(X),(X),"1,405",+/-13,(X),(X),"1,510",+/-23,(X),(X)
High school graduate or higher,"2,461",+/-122,84.4%,+/-4.0,"1,163",+/-75,82.8%,+/-5.2,"1,298",+/-78,86.0%,+/-4.9
Bachelor's degree or higher,306,+/-102,10.5%,+/-3.5,148,+/-56,10.5%,+/-4.0,158,+/-71,10.5%,+/-4.7
