Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,372,+/-16,(X),(X),187,+/-16,(X),(X),185,+/-16,(X),(X)
Less than high school graduate,41,+/-29,11.0%,+/-7.9,37,+/-28,19.8%,+/-15.1,4,+/-6,2.2%,+/-3.4
High school graduate (includes equivalency),192,+/-48,51.6%,+/-12.8,77,+/-37,41.2%,+/-20.0,115,+/-37,62.2%,+/-20.1
Some college or associate's degree,118,+/-55,31.7%,+/-14.7,60,+/-38,32.1%,+/-20.6,58,+/-38,31.4%,+/-20.6
Bachelor's degree or higher,21,+/-25,5.6%,+/-6.7,13,+/-20,7.0%,+/-10.5,8,+/-14,4.3%,+/-7.4
Population 25 years and over,"4,388",+/-12,(X),(X),"2,176",+/-24,(X),(X),"2,212",+/-23,(X),(X)
Less than 9th grade,157,+/-55,3.6%,+/-1.3,97,+/-53,4.5%,+/-2.4,60,+/-36,2.7%,+/-1.7
"9th to 12th grade, no diploma",357,+/-112,8.1%,+/-2.6,167,+/-68,7.7%,+/-3.1,190,+/-65,8.6%,+/-2.9
High school graduate (includes equivalency),"1,939",+/-162,44.2%,+/-3.7,919,+/-129,42.2%,+/-5.9,"1,020",+/-107,46.1%,+/-4.9
"Some college, no degree",837,+/-160,19.1%,+/-3.6,408,+/-100,18.8%,+/-4.6,429,+/-109,19.4%,+/-4.9
Associate's degree,477,+/-129,10.9%,+/-2.9,263,+/-88,12.1%,+/-4.1,214,+/-75,9.7%,+/-3.4
Bachelor's degree,384,+/-99,8.8%,+/-2.3,215,+/-74,9.9%,+/-3.4,169,+/-62,7.6%,+/-2.8
Graduate or professional degree,237,+/-92,5.4%,+/-2.1,107,+/-50,4.9%,+/-2.3,130,+/-58,5.9%,+/-2.6
Percent high school graduate or higher,(X),(X),88.3%,+/-3.1,(X),(X),87.9%,+/-4.5,(X),(X),88.7%,+/-2.8
Percent bachelor's degree or higher,(X),(X),14.2%,+/-3.0,(X),(X),14.8%,+/-3.9,(X),(X),13.5%,+/-3.9
Population 25 to 34 years,633,+/-16,(X),(X),337,+/-15,(X),(X),296,+/-13,(X),(X)
High school graduate or higher,610,+/-34,96.4%,+/-3.9,324,+/-25,96.1%,+/-5.2,286,+/-24,96.6%,+/-5.6
Bachelor's degree or higher,95,+/-48,15.0%,+/-7.5,35,+/-30,10.4%,+/-9.0,60,+/-30,20.3%,+/-9.7
Population 35 to 44 years,683,+/-26,(X),(X),339,+/-16,(X),(X),344,+/-18,(X),(X)
High school graduate or higher,670,+/-32,98.1%,+/-2.2,326,+/-23,96.2%,+/-4.5,344,+/-18,100.0%,+/-8.3
Bachelor's degree or higher,139,+/-55,20.4%,+/-8.0,71,+/-36,20.9%,+/-10.7,68,+/-35,19.8%,+/-10.2
Population 45 to 64 years,"1,885",+/-19,(X),(X),963,+/-17,(X),(X),922,+/-21,(X),(X)
High school graduate or higher,"1,647",+/-108,87.4%,+/-5.6,827,+/-83,85.9%,+/-8.1,820,+/-48,88.9%,+/-4.7
Bachelor's degree or higher,228,+/-83,12.1%,+/-4.4,115,+/-49,11.9%,+/-5.0,113,+/-59,12.3%,+/-6.4
Population 65 years and over,"1,187",+/-13,(X),(X),537,+/-9,(X),(X),650,+/-12,(X),(X)
High school graduate or higher,947,+/-73,79.8%,+/-6.2,435,+/-56,81.0%,+/-10.7,512,+/-41,78.8%,+/-6.3
Bachelor's degree or higher,159,+/-69,13.4%,+/-5.8,101,+/-51,18.8%,+/-9.5,58,+/-37,8.9%,+/-5.6
