RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"4,301",+/-16,(X),(X),"2,134",+/-16,(X),(X),"2,167",+/-16,(X),(X)
High school graduate or higher,"3,805",+/-106,88.5%,+/-2.5,"1,902",+/-64,89.1%,+/-3.0,"1,903",+/-64,87.8%,+/-2.9
Bachelor's degree or higher,599,+/-148,13.9%,+/-3.4,325,+/-94,15.2%,+/-4.4,274,+/-79,12.6%,+/-3.7
"White alone, not Hispanic or Latino","4,301",+/-16,(X),(X),"2,134",+/-16,(X),(X),"2,167",+/-16,(X),(X)
High school graduate or higher,"3,805",+/-106,88.5%,+/-2.5,"1,902",+/-64,89.1%,+/-3.0,"1,903",+/-64,87.8%,+/-2.9
Bachelor's degree or higher,599,+/-148,13.9%,+/-3.4,325,+/-94,15.2%,+/-4.4,274,+/-79,12.6%,+/-3.7
Black alone,52,+/-32,(X),(X),45,+/-31,(X),(X),7,+/-15,(X),(X)
High school graduate or higher,48,+/-26,92.3%,+/-10.7,41,+/-26,91.1%,+/-12.7,7,+/-15,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-39.5,0,+/-16,0.0%,+/-42.5,0,+/-16,0.0%,+/-100.0
American Indian or Alaska Native alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Asian alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Native Hawaiian and Other Pacific Islander alone,0,+/-16,(X),(X),0,+/-16,(X),(X),0,+/-16,(X),(X)
High school graduate or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Bachelor's degree or higher,0,+/-16,-,**,0,+/-16,-,**,0,+/-16,-,**
Some other race alone,24,+/-39,(X),(X),12,+/-20,(X),(X),12,+/-21,(X),(X)
High school graduate or higher,24,+/-39,100.0%,+/-58.2,12,+/-20,100.0%,+/-82.2,12,+/-21,100.0%,+/-82.2
Bachelor's degree or higher,8,+/-16,33.3%,+/-26.4,0,+/-16,0.0%,+/-82.3,8,+/-16,66.7%,+/-53.6
Two or more races,7,+/-16,(X),(X),0,+/-16,(X),(X),7,+/-16,(X),(X)
High school graduate or higher,7,+/-16,100.0%,+/-100.0,0,+/-16,-,**,7,+/-16,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-16,0.0%,+/-100.0,0,+/-16,-,**,0,+/-16,0.0%,+/-100.0
Hispanic or Latino Origin,24,+/-39,(X),(X),12,+/-20,(X),(X),12,+/-21,(X),(X)
High school graduate or higher,24,+/-39,100.0%,+/-58.2,12,+/-20,100.0%,+/-82.2,12,+/-21,100.0%,+/-82.2
Bachelor's degree or higher,8,+/-16,33.3%,+/-26.4,0,+/-16,0.0%,+/-82.3,8,+/-16,66.7%,+/-53.6
