RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"26,849",+/-69,(X),(X),"13,179",+/-62,(X),(X),"13,670",+/-30,(X),(X)
High school graduate or higher,"23,766",+/-450,88.5%,+/-1.6,"11,563",+/-307,87.7%,+/-2.3,"12,203",+/-284,89.3%,+/-2.1
Bachelor's degree or higher,"4,484",+/-420,16.7%,+/-1.6,"1,812",+/-236,13.7%,+/-1.8,"2,672",+/-340,19.5%,+/-2.5
"White alone, not Hispanic or Latino","26,642",+/-24,(X),(X),"13,073",+/-24,(X),(X),"13,569",+/-24,(X),(X)
High school graduate or higher,"23,597",+/-441,88.6%,+/-1.7,"11,461",+/-300,87.7%,+/-2.3,"12,136",+/-283,89.4%,+/-2.1
Bachelor's degree or higher,"4,433",+/-422,16.6%,+/-1.6,"1,787",+/-231,13.7%,+/-1.8,"2,646",+/-342,19.5%,+/-2.5
Black alone,21,+/-20,(X),(X),15,+/-16,(X),(X),6,+/-10,(X),(X)
High school graduate or higher,18,+/-19,85.7%,+/-26.8,12,+/-15,80.0%,+/-41.7,6,+/-10,100.0%,+/-100.0
Bachelor's degree or higher,6,+/-10,28.6%,+/-38.3,0,+/-24,0.0%,+/-73.6,6,+/-10,100.0%,+/-100.0
American Indian or Alaska Native alone,181,+/-152,(X),(X),158,+/-125,(X),(X),23,+/-31,(X),(X)
High school graduate or higher,157,+/-126,86.7%,+/-9.2,157,+/-126,99.4%,+/-2.5,0,+/-24,0.0%,+/-59.4
Bachelor's degree or higher,76,+/-78,42.0%,+/-21.0,76,+/-78,48.1%,+/-24.2,0,+/-24,0.0%,+/-59.4
Asian alone,216,+/-95,(X),(X),81,+/-71,(X),(X),135,+/-72,(X),(X)
High school graduate or higher,216,+/-95,100.0%,+/-12.9,81,+/-71,100.0%,+/-30.0,135,+/-72,100.0%,+/-19.8
Bachelor's degree or higher,60,+/-47,27.8%,+/-24.7,23,+/-28,28.4%,+/-45.5,37,+/-42,27.4%,+/-32.4
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,22,+/-27,(X),(X),8,+/-15,(X),(X),14,+/-18,(X),(X)
High school graduate or higher,22,+/-27,100.0%,+/-60.7,8,+/-15,100.0%,+/-100.0,14,+/-18,100.0%,+/-76.1
Bachelor's degree or higher,6,+/-10,27.3%,+/-23.8,0,+/-24,0.0%,+/-100.0,6,+/-10,42.9%,+/-57.1
Two or more races,168,+/-103,(X),(X),104,+/-73,(X),(X),64,+/-60,(X),(X)
High school graduate or higher,166,+/-101,98.8%,+/-3.0,104,+/-73,100.0%,+/-24.7,62,+/-58,96.9%,+/-9.4
Bachelor's degree or higher,9,+/-12,5.4%,+/-7.3,9,+/-12,8.7%,+/-12.3,0,+/-24,0.0%,+/-35.3
Hispanic or Latino Origin,244,+/-74,(X),(X),123,+/-64,(X),(X),121,+/-36,(X),(X)
High school graduate or higher,206,+/-83,84.4%,+/-10.9,119,+/-64,96.7%,+/-5.8,87,+/-49,71.9%,+/-21.9
Bachelor's degree or higher,63,+/-44,25.8%,+/-15.3,25,+/-31,20.3%,+/-21.3,38,+/-30,31.4%,+/-20.7
