RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"26,724",+/-66,(X),(X),"13,108",+/-58,(X),(X),"13,616",+/-32,(X),(X)
High school graduate or higher,"23,436",+/-421,87.7%,+/-1.5,"11,411",+/-278,87.1%,+/-2.1,"12,025",+/-292,88.3%,+/-2.1
Bachelor's degree or higher,"4,274",+/-406,16.0%,+/-1.5,"1,833",+/-256,14.0%,+/-1.9,"2,441",+/-288,17.9%,+/-2.1
"White alone, not Hispanic or Latino","26,521",+/-24,(X),(X),"13,009",+/-24,(X),(X),"13,512",+/-24,(X),(X)
High school graduate or higher,"23,283",+/-408,87.8%,+/-1.5,"11,315",+/-274,87.0%,+/-2.1,"11,968",+/-279,88.6%,+/-2.1
Bachelor's degree or higher,"4,233",+/-395,16.0%,+/-1.5,"1,812",+/-248,13.9%,+/-1.9,"2,421",+/-284,17.9%,+/-2.1
Black alone,132,+/-74,(X),(X),92,+/-71,(X),(X),40,+/-32,(X),(X)
High school graduate or higher,127,+/-74,96.2%,+/-6.1,89,+/-70,96.7%,+/-6.4,38,+/-32,95.0%,+/-16.4
Bachelor's degree or higher,9,+/-13,6.8%,+/-10.1,0,+/-24,0.0%,+/-27.2,9,+/-13,22.5%,+/-36.1
American Indian or Alaska Native alone,70,+/-71,(X),(X),50,+/-46,(X),(X),20,+/-28,(X),(X)
High school graduate or higher,49,+/-46,70.0%,+/-19.7,49,+/-46,98.0%,+/-6.7,0,+/-24,0.0%,+/-63.7
Bachelor's degree or higher,30,+/-27,42.9%,+/-28.6,30,+/-27,60.0%,+/-23.7,0,+/-24,0.0%,+/-63.7
Asian alone,119,+/-26,(X),(X),57,+/-31,(X),(X),62,+/-30,(X),(X)
High school graduate or higher,119,+/-26,100.0%,+/-22.0,57,+/-31,100.0%,+/-37.7,62,+/-30,100.0%,+/-36.0
Bachelor's degree or higher,13,+/-22,10.9%,+/-19.0,0,+/-24,0.0%,+/-37.7,13,+/-22,21.0%,+/-32.9
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,10,+/-19,(X),(X),0,+/-24,(X),(X),10,+/-19,(X),(X)
High school graduate or higher,10,+/-19,100.0%,+/-90.1,0,+/-24,-,**,10,+/-19,100.0%,+/-90.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-90.1,0,+/-24,-,**,0,+/-24,0.0%,+/-90.1
Two or more races,112,+/-47,(X),(X),61,+/-43,(X),(X),51,+/-32,(X),(X)
High school graduate or higher,109,+/-46,97.3%,+/-4.7,61,+/-43,100.0%,+/-36.3,48,+/-32,94.1%,+/-12.2
Bachelor's degree or higher,17,+/-20,15.2%,+/-18.3,3,+/-4,4.9%,+/-7.0,14,+/-21,27.5%,+/-38.0
Hispanic or Latino Origin,235,+/-78,(X),(X),112,+/-64,(X),(X),123,+/-47,(X),(X)
High school graduate or higher,185,+/-89,78.7%,+/-12.7,109,+/-63,97.3%,+/-5.5,76,+/-58,61.8%,+/-24.6
Bachelor's degree or higher,50,+/-46,21.3%,+/-16.3,21,+/-26,18.8%,+/-19.3,29,+/-32,23.6%,+/-20.6
