Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,082",+/-127,(X),(X),"1,628",+/-120,(X),(X),"1,454",+/-56,(X),(X)
Less than high school graduate,532,+/-140,17.3%,+/-4.5,233,+/-100,14.3%,+/-6.2,299,+/-104,20.6%,+/-6.9
High school graduate (includes equivalency),"1,510",+/-208,49.0%,+/-5.9,942,+/-176,57.9%,+/-8.5,568,+/-145,39.1%,+/-9.8
Some college or associate's degree,801,+/-160,26.0%,+/-5.3,379,+/-122,23.3%,+/-7.6,422,+/-124,29.0%,+/-8.7
Bachelor's degree or higher,239,+/-104,7.8%,+/-3.4,74,+/-52,4.5%,+/-3.3,165,+/-88,11.3%,+/-6.1
Population 25 years and over,"27,167",+/-121,(X),(X),"13,368",+/-110,(X),(X),"13,799",+/-72,(X),(X)
Less than 9th grade,938,+/-217,3.5%,+/-0.8,489,+/-163,3.7%,+/-1.2,449,+/-115,3.3%,+/-0.8
"9th to 12th grade, no diploma","2,379",+/-353,8.8%,+/-1.3,"1,212",+/-212,9.1%,+/-1.6,"1,167",+/-268,8.5%,+/-1.9
High school graduate (includes equivalency),"11,384",+/-587,41.9%,+/-2.1,"6,180",+/-380,46.2%,+/-2.8,"5,204",+/-363,37.7%,+/-2.6
"Some college, no degree","5,878",+/-602,21.6%,+/-2.2,"2,698",+/-382,20.2%,+/-2.9,"3,180",+/-363,23.0%,+/-2.6
Associate's degree,"2,245",+/-344,8.3%,+/-1.3,923,+/-244,6.9%,+/-1.8,"1,322",+/-232,9.6%,+/-1.7
Bachelor's degree,"2,813",+/-344,10.4%,+/-1.3,"1,174",+/-200,8.8%,+/-1.5,"1,639",+/-259,11.9%,+/-1.9
Graduate or professional degree,"1,530",+/-263,5.6%,+/-1.0,692,+/-167,5.2%,+/-1.3,838,+/-180,6.1%,+/-1.3
Percent high school graduate or higher,(X),(X),87.8%,+/-1.5,(X),(X),87.3%,+/-2.1,(X),(X),88.3%,+/-2.1
Percent bachelor's degree or higher,(X),(X),16.0%,+/-1.5,(X),(X),14.0%,+/-1.9,(X),(X),18.0%,+/-2.1
Population 25 to 34 years,"4,521",+/-49,(X),(X),"2,308",+/-43,(X),(X),"2,213",+/-22,(X),(X)
High school graduate or higher,"4,050",+/-215,89.6%,+/-4.6,"2,115",+/-129,91.6%,+/-5.1,"1,935",+/-151,87.4%,+/-7.0
Bachelor's degree or higher,917,+/-241,20.3%,+/-5.3,307,+/-131,13.3%,+/-5.6,610,+/-181,27.6%,+/-8.2
Population 35 to 44 years,"4,907",+/-86,(X),(X),"2,480",+/-68,(X),(X),"2,427",+/-48,(X),(X)
High school graduate or higher,"4,602",+/-169,93.8%,+/-2.6,"2,288",+/-137,92.3%,+/-4.3,"2,314",+/-91,95.3%,+/-2.7
Bachelor's degree or higher,"1,115",+/-176,22.7%,+/-3.5,500,+/-127,20.2%,+/-5.1,615,+/-134,25.3%,+/-5.5
Population 45 to 64 years,"11,651",+/-91,(X),(X),"5,816",+/-76,(X),(X),"5,835",+/-41,(X),(X)
High school graduate or higher,"10,275",+/-279,88.2%,+/-2.2,"4,957",+/-204,85.2%,+/-3.2,"5,318",+/-171,91.1%,+/-2.8
Bachelor's degree or higher,"1,739",+/-267,14.9%,+/-2.3,712,+/-180,12.2%,+/-3.1,"1,027",+/-184,17.6%,+/-3.2
Population 65 years and over,"6,088",+/-57,(X),(X),"2,764",+/-25,(X),(X),"3,324",+/-53,(X),(X)
High school graduate or higher,"4,923",+/-220,80.9%,+/-3.6,"2,307",+/-135,83.5%,+/-4.9,"2,616",+/-142,78.7%,+/-4.3
Bachelor's degree or higher,572,+/-154,9.4%,+/-2.5,347,+/-106,12.6%,+/-3.9,225,+/-88,6.8%,+/-2.6
