RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"24,872",+/-177,(X),(X),"12,129",+/-121,(X),(X),"12,743",+/-90,(X),(X)
High school graduate or higher,"22,054",+/-429,88.7%,+/-1.7,"10,749",+/-288,88.6%,+/-2.2,"11,305",+/-242,88.7%,+/-1.9
Bachelor's degree or higher,"3,949",+/-343,15.9%,+/-1.4,"2,082",+/-261,17.2%,+/-2.2,"1,867",+/-230,14.7%,+/-1.8
"White alone, not Hispanic or Latino","24,162",+/-4,(X),(X),"11,723",+/-24,(X),(X),"12,439",+/-4,(X),(X)
High school graduate or higher,"21,544",+/-368,89.2%,+/-1.5,"10,430",+/-238,89.0%,+/-2.0,"11,114",+/-225,89.3%,+/-1.8
Bachelor's degree or higher,"3,887",+/-347,16.1%,+/-1.4,"2,054",+/-256,17.5%,+/-2.2,"1,833",+/-231,14.7%,+/-1.9
Black alone,186,+/-40,(X),(X),116,+/-52,(X),(X),70,+/-35,(X),(X)
High school graduate or higher,153,+/-43,82.3%,+/-13.8,88,+/-52,75.9%,+/-21.0,65,+/-35,92.9%,+/-12.8
Bachelor's degree or higher,7,+/-12,3.8%,+/-6.6,7,+/-12,6.0%,+/-10.6,0,+/-24,0.0%,+/-33.3
American Indian or Alaska Native alone,86,+/-25,(X),(X),25,+/-15,(X),(X),61,+/-28,(X),(X)
High school graduate or higher,65,+/-28,75.6%,+/-20.3,6,+/-12,24.0%,+/-49.7,59,+/-28,96.7%,+/-6.6
Bachelor's degree or higher,0,+/-24,0.0%,+/-28.7,0,+/-24,0.0%,+/-57.0,0,+/-24,0.0%,+/-36.3
Asian alone,113,+/-69,(X),(X),57,+/-45,(X),(X),56,+/-31,(X),(X)
High school graduate or higher,99,+/-59,87.6%,+/-24.0,43,+/-31,75.4%,+/-40.4,56,+/-31,100.0%,+/-38.1
Bachelor's degree or higher,78,+/-65,69.0%,+/-26.1,24,+/-37,42.1%,+/-43.6,54,+/-30,96.4%,+/-8.8
Native Hawaiian and Other Pacific Islander alone,4,+/-8,(X),(X),2,+/-7,(X),(X),2,+/-3,(X),(X)
High school graduate or higher,3,+/-5,75.0%,+/-67.8,1,+/-3,50.0%,+/-50.0,2,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0,0,+/-24,0.0%,+/-100.0
Some other race alone,65,+/-68,(X),(X),12,+/-26,(X),(X),53,+/-49,(X),(X)
High school graduate or higher,54,+/-67,83.1%,+/-28.2,12,+/-26,100.0%,+/-82.2,42,+/-48,79.2%,+/-30.6
Bachelor's degree or higher,23,+/-37,35.4%,+/-48.1,0,+/-24,0.0%,+/-82.3,23,+/-37,43.4%,+/-49.0
Two or more races,139,+/-77,(X),(X),108,+/-70,(X),(X),31,+/-29,(X),(X)
High school graduate or higher,84,+/-58,60.4%,+/-30.4,54,+/-43,50.0%,+/-33.8,30,+/-28,96.8%,+/-8.4
Bachelor's degree or higher,16,+/-19,11.5%,+/-13.6,1,+/-2,0.9%,+/-2.2,15,+/-19,48.4%,+/-42.0
Hispanic or Latino Origin,819,+/-123,(X),(X),462,+/-98,(X),(X),357,+/-61,(X),(X)
High school graduate or higher,576,+/-178,70.3%,+/-21.4,343,+/-139,74.2%,+/-25.9,233,+/-71,65.3%,+/-20.0
Bachelor's degree or higher,85,+/-55,10.4%,+/-6.7,28,+/-33,6.1%,+/-7.0,57,+/-53,16.0%,+/-14.7
