RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,472",+/-67,(X),(X),"6,608",+/-47,(X),(X),"6,864",+/-35,(X),(X)
High school graduate or higher,"11,853",+/-238,88.0%,+/-1.7,"5,788",+/-152,87.6%,+/-2.1,"6,065",+/-136,88.4%,+/-2.0
Bachelor's degree or higher,"2,305",+/-237,17.1%,+/-1.8,"1,007",+/-142,15.2%,+/-2.2,"1,298",+/-159,18.9%,+/-2.3
"White alone, not Hispanic or Latino","13,200",+/-28,(X),(X),"6,492",+/-28,(X),(X),"6,708",+/-21,(X),(X)
High school graduate or higher,"11,706",+/-230,88.7%,+/-1.7,"5,703",+/-148,87.8%,+/-2.2,"6,003",+/-129,89.5%,+/-1.9
Bachelor's degree or higher,"2,304",+/-237,17.5%,+/-1.8,"1,007",+/-142,15.5%,+/-2.2,"1,297",+/-159,19.3%,+/-2.4
Black alone,62,+/-38,(X),(X),28,+/-21,(X),(X),34,+/-28,(X),(X)
High school graduate or higher,49,+/-40,79.0%,+/-31.7,19,+/-23,67.9%,+/-58.3,30,+/-27,88.2%,+/-25.7
Bachelor's degree or higher,40,+/-39,64.5%,+/-32.4,10,+/-16,35.7%,+/-45.3,30,+/-27,88.2%,+/-25.7
American Indian or Alaska Native alone,47,+/-45,(X),(X),15,+/-16,(X),(X),32,+/-42,(X),(X)
High school graduate or higher,35,+/-40,74.5%,+/-40.0,8,+/-11,53.3%,+/-52.1,27,+/-40,84.4%,+/-40.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-41.6,0,+/-21,0.0%,+/-73.6,0,+/-21,0.0%,+/-50.4
Asian alone,18,+/-28,(X),(X),0,+/-21,(X),(X),18,+/-28,(X),(X)
High school graduate or higher,18,+/-28,100.0%,+/-67.2,0,+/-21,-,**,18,+/-28,100.0%,+/-67.2
Bachelor's degree or higher,18,+/-28,100.0%,+/-67.2,0,+/-21,-,**,18,+/-28,100.0%,+/-67.2
Native Hawaiian and Other Pacific Islander alone,3,+/-5,(X),(X),0,+/-21,(X),(X),3,+/-5,(X),(X)
High school graduate or higher,3,+/-5,100.0%,+/-100.0,0,+/-21,-,**,3,+/-5,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,-,**,0,+/-21,0.0%,+/-100.0
Some other race alone,123,+/-59,(X),(X),92,+/-55,(X),(X),31,+/-15,(X),(X)
High school graduate or higher,104,+/-55,84.6%,+/-15.1,92,+/-55,100.0%,+/-27.2,12,+/-14,38.7%,+/-48.8
Bachelor's degree or higher,28,+/-21,22.8%,+/-17.0,28,+/-21,30.4%,+/-26.7,0,+/-21,0.0%,+/-51.2
Two or more races,116,+/-56,(X),(X),24,+/-28,(X),(X),92,+/-53,(X),(X)
High school graduate or higher,112,+/-56,96.6%,+/-6.0,24,+/-28,100.0%,+/-58.2,88,+/-52,95.7%,+/-8.0
Bachelor's degree or higher,21,+/-28,18.1%,+/-23.4,0,+/-21,0.0%,+/-58.2,21,+/-28,22.8%,+/-28.1
Hispanic or Latino Origin,421,+/-43,(X),(X),193,+/-44,(X),(X),228,+/-8,(X),(X)
High school graduate or higher,261,+/-78,62.0%,+/-13.9,155,+/-45,80.3%,+/-13.9,106,+/-46,46.5%,+/-20.5
Bachelor's degree or higher,26,+/-21,6.2%,+/-5.0,25,+/-21,13.0%,+/-11.2,1,+/-3,0.4%,+/-1.2
