RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,494",+/-82,(X),(X),"6,620",+/-61,(X),(X),"6,874",+/-45,(X),(X)
High school graduate or higher,"11,880",+/-225,88.0%,+/-1.5,"5,782",+/-141,87.3%,+/-2.0,"6,098",+/-136,88.7%,+/-1.9
Bachelor's degree or higher,"2,268",+/-228,16.8%,+/-1.7,"1,010",+/-140,15.3%,+/-2.1,"1,258",+/-133,18.3%,+/-1.9
"White alone, not Hispanic or Latino","13,186",+/-32,(X),(X),"6,480",+/-32,(X),(X),"6,706",+/-18,(X),(X)
High school graduate or higher,"11,747",+/-213,89.1%,+/-1.6,"5,704",+/-129,88.0%,+/-1.9,"6,043",+/-131,90.1%,+/-2.0
Bachelor's degree or higher,"2,268",+/-228,17.2%,+/-1.7,"1,010",+/-140,15.6%,+/-2.2,"1,258",+/-133,18.8%,+/-2.0
Black alone,45,+/-35,(X),(X),19,+/-20,(X),(X),26,+/-22,(X),(X)
High school graduate or higher,37,+/-34,82.2%,+/-22.4,19,+/-20,100.0%,+/-65.4,18,+/-21,69.2%,+/-36.9
Bachelor's degree or higher,26,+/-32,57.8%,+/-40.4,8,+/-13,42.1%,+/-57.9,18,+/-21,69.2%,+/-36.9
American Indian or Alaska Native alone,21,+/-29,(X),(X),15,+/-20,(X),(X),6,+/-10,(X),(X)
High school graduate or higher,8,+/-13,38.1%,+/-51.5,8,+/-13,53.3%,+/-53.3,0,+/-18,0.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-62.2,0,+/-18,0.0%,+/-73.6,0,+/-18,0.0%,+/-100.0
Asian alone,29,+/-28,(X),(X),0,+/-18,(X),(X),29,+/-28,(X),(X)
High school graduate or higher,16,+/-22,55.2%,+/-54.1,0,+/-18,-,**,16,+/-22,55.2%,+/-54.1
Bachelor's degree or higher,16,+/-22,55.2%,+/-54.1,0,+/-18,-,**,16,+/-22,55.2%,+/-54.1
Native Hawaiian and Other Pacific Islander alone,3,+/-6,(X),(X),0,+/-18,(X),(X),3,+/-6,(X),(X)
High school graduate or higher,3,+/-6,100.0%,+/-100.0,0,+/-18,-,**,3,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-18,0.0%,+/-100.0,0,+/-18,-,**,0,+/-18,0.0%,+/-100.0
Some other race alone,49,+/-46,(X),(X),44,+/-45,(X),(X),5,+/-7,(X),(X)
High school graduate or higher,49,+/-46,100.0%,+/-40.7,44,+/-45,100.0%,+/-43.0,5,+/-7,100.0%,+/-100.0
Bachelor's degree or higher,8,+/-10,16.3%,+/-26.4,8,+/-10,18.2%,+/-30.5,0,+/-18,0.0%,+/-100.0
Two or more races,107,+/-47,(X),(X),38,+/-31,(X),(X),69,+/-36,(X),(X)
High school graduate or higher,103,+/-46,96.3%,+/-5.4,38,+/-31,100.0%,+/-46.2,65,+/-36,94.2%,+/-8.5
Bachelor's degree or higher,24,+/-34,22.4%,+/-33.3,0,+/-18,0.0%,+/-46.2,24,+/-34,34.8%,+/-43.2
Hispanic or Latino Origin,375,+/-66,(X),(X),168,+/-49,(X),(X),207,+/-40,(X),(X)
High school graduate or higher,170,+/-67,45.3%,+/-16.3,99,+/-47,58.9%,+/-25.2,71,+/-38,34.3%,+/-17.3
Bachelor's degree or higher,5,+/-9,1.3%,+/-2.4,5,+/-9,3.0%,+/-5.5,0,+/-18,0.0%,+/-13.5
