Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,508",+/-44,(X),(X),817,+/-44,(X),(X),691,+/-21,(X),(X)
Less than high school graduate,324,+/-85,21.5%,+/-5.4,216,+/-75,26.4%,+/-8.6,108,+/-37,15.6%,+/-5.3
High school graduate (includes equivalency),601,+/-131,39.9%,+/-8.8,366,+/-87,44.8%,+/-10.4,235,+/-109,34.0%,+/-15.8
Some college or associate's degree,504,+/-119,33.4%,+/-7.9,214,+/-69,26.2%,+/-8.9,290,+/-98,42.0%,+/-14.1
Bachelor's degree or higher,79,+/-43,5.2%,+/-2.9,21,+/-18,2.6%,+/-2.2,58,+/-39,8.4%,+/-5.6
Population 25 years and over,"13,841",+/-44,(X),(X),"6,767",+/-58,(X),(X),"7,074",+/-37,(X),(X)
Less than 9th grade,476,+/-103,3.4%,+/-0.7,219,+/-69,3.2%,+/-1.0,257,+/-72,3.6%,+/-1.0
"9th to 12th grade, no diploma","1,191",+/-199,8.6%,+/-1.4,617,+/-130,9.1%,+/-1.9,574,+/-120,8.1%,+/-1.7
High school graduate (includes equivalency),"5,645",+/-340,40.8%,+/-2.5,"2,854",+/-223,42.2%,+/-3.3,"2,791",+/-208,39.5%,+/-2.9
"Some college, no degree","2,924",+/-275,21.1%,+/-2.0,"1,483",+/-178,21.9%,+/-2.6,"1,441",+/-175,20.4%,+/-2.5
Associate's degree,"1,193",+/-173,8.6%,+/-1.2,549,+/-109,8.1%,+/-1.6,644,+/-121,9.1%,+/-1.7
Bachelor's degree,"1,595",+/-194,11.5%,+/-1.4,625,+/-102,9.2%,+/-1.5,970,+/-155,13.7%,+/-2.2
Graduate or professional degree,817,+/-152,5.9%,+/-1.1,420,+/-99,6.2%,+/-1.5,397,+/-102,5.6%,+/-1.4
Percent high school graduate or higher,(X),(X),88.0%,+/-1.7,(X),(X),87.6%,+/-2.1,(X),(X),88.3%,+/-2.0
Percent bachelor's degree or higher,(X),(X),17.4%,+/-1.8,(X),(X),15.4%,+/-2.1,(X),(X),19.3%,+/-2.3
Population 25 to 34 years,"2,039",+/-49,(X),(X),"1,013",+/-42,(X),(X),"1,026",+/-37,(X),(X)
High school graduate or higher,"1,796",+/-90,88.1%,+/-4.2,913,+/-60,90.1%,+/-4.9,883,+/-63,86.1%,+/-6.5
Bachelor's degree or higher,370,+/-88,18.1%,+/-4.4,117,+/-42,11.5%,+/-4.1,253,+/-66,24.7%,+/-6.5
Population 35 to 44 years,"2,534",+/-67,(X),(X),"1,280",+/-44,(X),(X),"1,254",+/-49,(X),(X)
High school graduate or higher,"2,324",+/-97,91.7%,+/-3.3,"1,183",+/-67,92.4%,+/-4.8,"1,141",+/-55,91.0%,+/-4.1
Bachelor's degree or higher,467,+/-104,18.4%,+/-4.1,131,+/-48,10.2%,+/-3.8,336,+/-90,26.8%,+/-6.9
Population 45 to 64 years,"5,715",+/-70,(X),(X),"2,878",+/-32,(X),(X),"2,837",+/-58,(X),(X)
High school graduate or higher,"5,022",+/-133,87.9%,+/-2.1,"2,438",+/-96,84.7%,+/-3.2,"2,584",+/-84,91.1%,+/-2.3
Bachelor's degree or higher,"1,058",+/-170,18.5%,+/-3.0,519,+/-106,18.0%,+/-3.7,539,+/-102,19.0%,+/-3.6
Population 65 years and over,"3,553",+/-53,(X),(X),"1,596",+/-22,(X),(X),"1,957",+/-40,(X),(X)
High school graduate or higher,"3,032",+/-139,85.3%,+/-3.7,"1,397",+/-72,87.5%,+/-4.3,"1,635",+/-95,83.5%,+/-4.7
Bachelor's degree or higher,517,+/-107,14.6%,+/-3.0,278,+/-77,17.4%,+/-4.8,239,+/-71,12.2%,+/-3.6
