Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,542",+/-66,(X),(X),822,+/-48,(X),(X),720,+/-40,(X),(X)
Less than high school graduate,325,+/-106,21.1%,+/-6.5,192,+/-90,23.4%,+/-10.7,133,+/-56,18.5%,+/-7.2
High school graduate (includes equivalency),755,+/-139,49.0%,+/-9.1,467,+/-87,56.8%,+/-10.5,288,+/-120,40.0%,+/-16.4
Some college or associate's degree,386,+/-115,25.0%,+/-7.6,152,+/-48,18.5%,+/-6.0,234,+/-108,32.5%,+/-15.6
Bachelor's degree or higher,76,+/-50,4.9%,+/-3.2,11,+/-13,1.3%,+/-1.5,65,+/-44,9.0%,+/-6.2
Population 25 years and over,"13,748",+/-75,(X),(X),"6,736",+/-60,(X),(X),"7,012",+/-47,(X),(X)
Less than 9th grade,583,+/-129,4.2%,+/-0.9,315,+/-90,4.7%,+/-1.3,268,+/-88,3.8%,+/-1.3
"9th to 12th grade, no diploma","1,069",+/-161,7.8%,+/-1.2,530,+/-109,7.9%,+/-1.6,539,+/-112,7.7%,+/-1.6
High school graduate (includes equivalency),"5,680",+/-331,41.3%,+/-2.4,"2,897",+/-228,43.0%,+/-3.3,"2,783",+/-202,39.7%,+/-2.9
"Some college, no degree","2,849",+/-220,20.7%,+/-1.6,"1,365",+/-164,20.3%,+/-2.5,"1,484",+/-145,21.2%,+/-2.1
Associate's degree,"1,225",+/-174,8.9%,+/-1.3,603,+/-111,9.0%,+/-1.7,622,+/-127,8.9%,+/-1.8
Bachelor's degree,"1,564",+/-188,11.4%,+/-1.4,623,+/-124,9.2%,+/-1.8,941,+/-126,13.4%,+/-1.8
Graduate or professional degree,778,+/-139,5.7%,+/-1.0,403,+/-91,6.0%,+/-1.4,375,+/-96,5.3%,+/-1.4
Percent high school graduate or higher,(X),(X),88.0%,+/-1.6,(X),(X),87.5%,+/-1.9,(X),(X),88.5%,+/-1.9
Percent bachelor's degree or higher,(X),(X),17.0%,+/-1.7,(X),(X),15.2%,+/-2.1,(X),(X),18.8%,+/-2.0
Population 25 to 34 years,"2,055",+/-84,(X),(X),"1,022",+/-54,(X),(X),"1,033",+/-48,(X),(X)
High school graduate or higher,"1,756",+/-86,85.5%,+/-4.4,873,+/-58,85.4%,+/-5.6,883,+/-57,85.5%,+/-6.1
Bachelor's degree or higher,303,+/-70,14.7%,+/-3.4,98,+/-45,9.6%,+/-4.3,205,+/-50,19.8%,+/-5.0
Population 35 to 44 years,"2,501",+/-64,(X),(X),"1,260",+/-42,(X),(X),"1,241",+/-48,(X),(X)
High school graduate or higher,"2,331",+/-90,93.2%,+/-2.8,"1,188",+/-59,94.3%,+/-4.0,"1,143",+/-61,92.1%,+/-3.5
Bachelor's degree or higher,521,+/-114,20.8%,+/-4.5,168,+/-57,13.3%,+/-4.5,353,+/-92,28.4%,+/-7.3
Population 45 to 64 years,"5,723",+/-56,(X),(X),"2,908",+/-33,(X),(X),"2,815",+/-41,(X),(X)
High school graduate or higher,"5,212",+/-107,91.1%,+/-1.8,"2,591",+/-81,89.1%,+/-2.7,"2,621",+/-73,93.1%,+/-2.5
Bachelor's degree or higher,"1,053",+/-152,18.4%,+/-2.7,523,+/-100,18.0%,+/-3.5,530,+/-94,18.8%,+/-3.3
Population 65 years and over,"3,469",+/-40,(X),(X),"1,546",+/-14,(X),(X),"1,923",+/-34,(X),(X)
High school graduate or higher,"2,797",+/-155,80.6%,+/-4.4,"1,239",+/-88,80.1%,+/-5.7,"1,558",+/-96,81.0%,+/-4.9
Bachelor's degree or higher,465,+/-110,13.4%,+/-3.1,237,+/-67,15.3%,+/-4.3,228,+/-77,11.9%,+/-3.9
