Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,213",+/-70,(X),(X),"2,180",+/-45,(X),(X),"2,033",+/-52,(X),(X)
Less than high school graduate,772,+/-208,18.3%,+/-5.0,533,+/-172,24.4%,+/-7.8,239,+/-101,11.8%,+/-5.0
High school graduate (includes equivalency),"1,475",+/-217,35.0%,+/-5.1,924,+/-171,42.4%,+/-7.9,551,+/-146,27.1%,+/-7.3
Some college or associate's degree,"1,583",+/-261,37.6%,+/-6.1,606,+/-142,27.8%,+/-6.4,977,+/-201,48.1%,+/-9.7
Bachelor's degree or higher,383,+/-116,9.1%,+/-2.7,117,+/-59,5.4%,+/-2.7,266,+/-92,13.1%,+/-4.5
Population 25 years and over,"39,913",+/-71,(X),(X),"19,222",+/-123,(X),(X),"20,691",+/-135,(X),(X)
Less than 9th grade,852,+/-215,2.1%,+/-0.5,515,+/-154,2.7%,+/-0.8,337,+/-128,1.6%,+/-0.6
"9th to 12th grade, no diploma","1,807",+/-283,4.5%,+/-0.7,851,+/-166,4.4%,+/-0.9,956,+/-207,4.6%,+/-1.0
High school graduate (includes equivalency),"10,652",+/-580,26.7%,+/-1.5,"5,227",+/-360,27.2%,+/-1.8,"5,425",+/-396,26.2%,+/-1.9
"Some college, no degree","6,348",+/-513,15.9%,+/-1.3,"2,920",+/-329,15.2%,+/-1.7,"3,428",+/-348,16.6%,+/-1.7
Associate's degree,"3,202",+/-382,8.0%,+/-1.0,"1,205",+/-176,6.3%,+/-0.9,"1,997",+/-304,9.7%,+/-1.5
Bachelor's degree,"10,178",+/-640,25.5%,+/-1.6,"4,969",+/-425,25.9%,+/-2.2,"5,209",+/-395,25.2%,+/-1.9
Graduate or professional degree,"6,874",+/-529,17.2%,+/-1.3,"3,535",+/-338,18.4%,+/-1.8,"3,339",+/-353,16.1%,+/-1.7
Percent high school graduate or higher,(X),(X),93.3%,+/-0.9,(X),(X),92.9%,+/-1.2,(X),(X),93.8%,+/-1.1
Percent bachelor's degree or higher,(X),(X),42.7%,+/-1.7,(X),(X),44.2%,+/-2.4,(X),(X),41.3%,+/-2.1
Population 25 to 34 years,"6,798",+/-215,(X),(X),"3,291",+/-129,(X),(X),"3,507",+/-146,(X),(X)
High school graduate or higher,"6,262",+/-258,92.1%,+/-2.6,"2,931",+/-153,89.1%,+/-4.2,"3,331",+/-180,95.0%,+/-3.2
Bachelor's degree or higher,"3,466",+/-283,51.0%,+/-4.5,"1,615",+/-186,49.1%,+/-6.1,"1,851",+/-207,52.8%,+/-6.0
Population 35 to 44 years,"8,451",+/-170,(X),(X),"4,131",+/-120,(X),(X),"4,320",+/-124,(X),(X)
High school graduate or higher,"8,099",+/-196,95.8%,+/-1.6,"3,871",+/-146,93.7%,+/-3.0,"4,228",+/-136,97.9%,+/-1.6
Bachelor's degree or higher,"4,223",+/-323,50.0%,+/-3.9,"1,962",+/-222,47.5%,+/-5.2,"2,261",+/-230,52.3%,+/-5.3
Population 45 to 64 years,"17,072",+/-199,(X),(X),"8,438",+/-143,(X),(X),"8,634",+/-129,(X),(X)
High school graduate or higher,"16,346",+/-271,95.7%,+/-1.1,"8,075",+/-185,95.7%,+/-1.5,"8,271",+/-178,95.8%,+/-1.4
Bachelor's degree or higher,"7,331",+/-413,42.9%,+/-2.3,"3,712",+/-291,44.0%,+/-3.5,"3,619",+/-237,41.9%,+/-2.7
Population 65 years and over,"7,592",+/-83,(X),(X),"3,362",+/-88,(X),(X),"4,230",+/-64,(X),(X)
High school graduate or higher,"6,547",+/-226,86.2%,+/-2.7,"2,979",+/-156,88.6%,+/-3.4,"3,568",+/-164,84.3%,+/-3.7
Bachelor's degree or higher,"2,032",+/-247,26.8%,+/-3.2,"1,215",+/-177,36.1%,+/-4.9,817,+/-162,19.3%,+/-3.8
