RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"39,043",+/-141,(X),(X),"18,894",+/-94,(X),(X),"20,149",+/-101,(X),(X)
High school graduate or higher,"36,671",+/-385,93.9%,+/-0.9,"17,561",+/-277,92.9%,+/-1.5,"19,110",+/-224,94.8%,+/-0.9
Bachelor's degree or higher,"18,224",+/-670,46.7%,+/-1.7,"8,970",+/-473,47.5%,+/-2.5,"9,254",+/-421,45.9%,+/-2.1
"White alone, not Hispanic or Latino","38,309",+/-39,(X),(X),"18,455",+/-27,(X),(X),"19,854",+/-25,(X),(X)
High school graduate or higher,"36,070",+/-359,94.2%,+/-0.9,"17,222",+/-267,93.3%,+/-1.4,"18,848",+/-188,94.9%,+/-0.9
Bachelor's degree or higher,"17,914",+/-640,46.8%,+/-1.7,"8,760",+/-456,47.5%,+/-2.5,"9,154",+/-415,46.1%,+/-2.1
Black alone,598,+/-118,(X),(X),292,+/-88,(X),(X),306,+/-58,(X),(X)
High school graduate or higher,558,+/-126,93.3%,+/-7.6,292,+/-88,100.0%,+/-9.8,266,+/-64,86.9%,+/-14.3
Bachelor's degree or higher,308,+/-128,51.5%,+/-19.2,163,+/-84,55.8%,+/-24.7,145,+/-56,47.4%,+/-20.8
American Indian or Alaska Native alone,115,+/-95,(X),(X),39,+/-53,(X),(X),76,+/-93,(X),(X)
High school graduate or higher,115,+/-95,100.0%,+/-22.7,39,+/-53,100.0%,+/-45.6,76,+/-93,100.0%,+/-31.4
Bachelor's degree or higher,37,+/-49,32.2%,+/-40.4,23,+/-45,59.0%,+/-59.0,14,+/-22,18.4%,+/-33.0
Asian alone,"1,056",+/-71,(X),(X),437,+/-58,(X),(X),619,+/-56,(X),(X)
High school graduate or higher,959,+/-87,90.8%,+/-5.9,422,+/-51,96.6%,+/-5.5,537,+/-72,86.8%,+/-8.9
Bachelor's degree or higher,763,+/-142,72.3%,+/-11.7,325,+/-72,74.4%,+/-11.8,438,+/-92,70.8%,+/-13.5
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,139,+/-92,(X),(X),63,+/-70,(X),(X),76,+/-58,(X),(X)
High school graduate or higher,95,+/-79,68.3%,+/-28.8,63,+/-70,100.0%,+/-35.6,32,+/-31,42.1%,+/-33.8
Bachelor's degree or higher,41,+/-39,29.5%,+/-24.3,16,+/-26,25.4%,+/-42.2,25,+/-28,32.9%,+/-30.7
Two or more races,470,+/-172,(X),(X),189,+/-98,(X),(X),281,+/-127,(X),(X)
High school graduate or higher,422,+/-166,89.8%,+/-11.0,167,+/-92,88.4%,+/-20.3,255,+/-129,90.7%,+/-14.4
Bachelor's degree or higher,189,+/-98,40.2%,+/-17.7,114,+/-73,60.3%,+/-25.5,75,+/-56,26.7%,+/-19.3
Hispanic or Latino Origin,975,+/-60,(X),(X),527,+/-54,(X),(X),448,+/-57,(X),(X)
High school graduate or higher,781,+/-114,80.1%,+/-10.5,427,+/-87,81.0%,+/-15.3,354,+/-66,79.0%,+/-12.2
Bachelor's degree or higher,334,+/-143,34.3%,+/-14.3,216,+/-97,41.0%,+/-17.1,118,+/-78,26.3%,+/-17.5
