RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"38,552",+/-114,(X),(X),"18,632",+/-84,(X),(X),"19,920",+/-95,(X),(X)
High school graduate or higher,"35,997",+/-381,93.4%,+/-1.0,"17,258",+/-272,92.6%,+/-1.4,"18,739",+/-261,94.1%,+/-1.2
Bachelor's degree or higher,"16,948",+/-682,44.0%,+/-1.8,"8,390",+/-427,45.0%,+/-2.3,"8,558",+/-404,43.0%,+/-2.0
"White alone, not Hispanic or Latino","37,844",+/-39,(X),(X),"18,179",+/-27,(X),(X),"19,665",+/-25,(X),(X)
High school graduate or higher,"35,450",+/-349,93.7%,+/-0.9,"16,934",+/-250,93.2%,+/-1.4,"18,516",+/-239,94.2%,+/-1.2
Bachelor's degree or higher,"16,620",+/-657,43.9%,+/-1.7,"8,159",+/-416,44.9%,+/-2.3,"8,461",+/-397,43.0%,+/-2.0
Black alone,484,+/-131,(X),(X),224,+/-100,(X),(X),260,+/-68,(X),(X)
High school graduate or higher,463,+/-130,95.7%,+/-6.4,220,+/-100,98.2%,+/-3.5,243,+/-65,93.5%,+/-9.9
Bachelor's degree or higher,179,+/-108,37.0%,+/-21.8,101,+/-67,45.1%,+/-23.5,78,+/-59,30.0%,+/-25.8
American Indian or Alaska Native alone,106,+/-87,(X),(X),43,+/-58,(X),(X),63,+/-68,(X),(X)
High school graduate or higher,106,+/-87,100.0%,+/-24.3,43,+/-58,100.0%,+/-43.5,63,+/-68,100.0%,+/-35.6
Bachelor's degree or higher,45,+/-58,42.5%,+/-45.6,30,+/-51,69.8%,+/-53.4,15,+/-25,23.8%,+/-52.2
Asian alone,992,+/-58,(X),(X),413,+/-55,(X),(X),579,+/-45,(X),(X)
High school graduate or higher,883,+/-88,89.0%,+/-8.1,387,+/-52,93.7%,+/-7.6,496,+/-69,85.7%,+/-10.5
Bachelor's degree or higher,756,+/-129,76.2%,+/-12.0,322,+/-73,78.0%,+/-15.0,434,+/-75,75.0%,+/-12.5
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,120,+/-80,(X),(X),57,+/-65,(X),(X),63,+/-50,(X),(X)
High school graduate or higher,96,+/-75,80.0%,+/-26.0,57,+/-65,100.0%,+/-37.7,39,+/-36,61.9%,+/-38.1
Bachelor's degree or higher,45,+/-43,37.5%,+/-30.3,14,+/-22,24.6%,+/-39.0,31,+/-35,49.2%,+/-38.8
Two or more races,481,+/-137,(X),(X),199,+/-75,(X),(X),282,+/-116,(X),(X)
High school graduate or higher,405,+/-132,84.2%,+/-13.7,157,+/-76,78.9%,+/-23.5,248,+/-117,87.9%,+/-16.6
Bachelor's degree or higher,160,+/-78,33.3%,+/-15.7,106,+/-66,53.3%,+/-25.6,54,+/-43,19.1%,+/-16.1
Hispanic or Latino Origin,935,+/-36,(X),(X),513,+/-36,(X),(X),422,+/-52,(X),(X)
High school graduate or higher,728,+/-108,77.9%,+/-11.1,384,+/-92,74.9%,+/-17.5,344,+/-61,81.5%,+/-15.4
Bachelor's degree or higher,352,+/-119,37.6%,+/-12.4,238,+/-93,46.4%,+/-18.3,114,+/-74,27.0%,+/-17.3
