Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"4,411",+/-69,(X),(X),"2,315",+/-57,(X),(X),"2,096",+/-36,(X),(X)
Less than high school graduate,725,+/-196,16.4%,+/-4.4,557,+/-179,24.1%,+/-7.7,168,+/-86,8.0%,+/-4.1
High school graduate (includes equivalency),"1,439",+/-218,32.6%,+/-4.9,941,+/-171,40.6%,+/-7.4,498,+/-176,23.8%,+/-8.4
Some college or associate's degree,"1,683",+/-219,38.2%,+/-4.9,666,+/-140,28.8%,+/-6.0,"1,017",+/-192,48.5%,+/-8.9
Bachelor's degree or higher,564,+/-148,12.8%,+/-3.4,151,+/-65,6.5%,+/-2.8,413,+/-124,19.7%,+/-5.9
Population 25 years and over,"40,735",+/-117,(X),(X),"19,568",+/-104,(X),(X),"21,167",+/-104,(X),(X)
Less than 9th grade,875,+/-234,2.1%,+/-0.6,495,+/-163,2.5%,+/-0.8,380,+/-129,1.8%,+/-0.6
"9th to 12th grade, no diploma","1,910",+/-322,4.7%,+/-0.8,951,+/-230,4.9%,+/-1.2,959,+/-225,4.5%,+/-1.1
High school graduate (includes equivalency),"10,340",+/-650,25.4%,+/-1.6,"4,919",+/-427,25.1%,+/-2.2,"5,421",+/-434,25.6%,+/-2.1
"Some college, no degree","6,452",+/-520,15.8%,+/-1.3,"3,074",+/-361,15.7%,+/-1.8,"3,378",+/-337,16.0%,+/-1.6
Associate's degree,"3,025",+/-368,7.4%,+/-0.9,"1,166",+/-238,6.0%,+/-1.2,"1,859",+/-255,8.8%,+/-1.2
Bachelor's degree,"10,613",+/-640,26.1%,+/-1.6,"5,152",+/-446,26.3%,+/-2.3,"5,461",+/-359,25.8%,+/-1.7
Graduate or professional degree,"7,520",+/-593,18.5%,+/-1.4,"3,811",+/-345,19.5%,+/-1.7,"3,709",+/-410,17.5%,+/-1.9
Percent high school graduate or higher,(X),(X),93.2%,+/-1.0,(X),(X),92.6%,+/-1.4,(X),(X),93.7%,+/-1.2
Percent bachelor's degree or higher,(X),(X),44.5%,+/-1.8,(X),(X),45.8%,+/-2.3,(X),(X),43.3%,+/-2.0
Population 25 to 34 years,"6,957",+/-178,(X),(X),"3,372",+/-107,(X),(X),"3,585",+/-130,(X),(X)
High school graduate or higher,"6,432",+/-241,92.5%,+/-2.7,"3,007",+/-140,89.2%,+/-4.1,"3,425",+/-170,95.5%,+/-3.2
Bachelor's degree or higher,"3,544",+/-330,50.9%,+/-4.8,"1,658",+/-192,49.2%,+/-5.6,"1,886",+/-203,52.6%,+/-5.7
Population 35 to 44 years,"8,567",+/-173,(X),(X),"4,154",+/-106,(X),(X),"4,413",+/-131,(X),(X)
High school graduate or higher,"8,192",+/-240,95.6%,+/-1.9,"3,896",+/-163,93.8%,+/-3.1,"4,296",+/-155,97.3%,+/-1.9
Bachelor's degree or higher,"4,356",+/-355,50.8%,+/-4.0,"1,941",+/-209,46.7%,+/-5.0,"2,415",+/-231,54.7%,+/-4.9
Population 45 to 64 years,"17,380",+/-185,(X),(X),"8,604",+/-143,(X),(X),"8,776",+/-142,(X),(X)
High school graduate or higher,"16,521",+/-274,95.1%,+/-1.2,"8,187",+/-182,95.2%,+/-1.5,"8,334",+/-219,95.0%,+/-1.7
Bachelor's degree or higher,"7,907",+/-441,45.5%,+/-2.5,"4,053",+/-290,47.1%,+/-3.3,"3,854",+/-257,43.9%,+/-2.9
Population 65 years and over,"7,831",+/-109,(X),(X),"3,438",+/-66,(X),(X),"4,393",+/-77,(X),(X)
High school graduate or higher,"6,805",+/-258,86.9%,+/-2.8,"3,032",+/-154,88.2%,+/-3.7,"3,773",+/-182,85.9%,+/-3.7
Bachelor's degree or higher,"2,326",+/-248,29.7%,+/-3.1,"1,311",+/-150,38.1%,+/-4.4,"1,015",+/-164,23.1%,+/-3.7
