RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"15,986",+/-61,(X),(X),"7,732",+/-34,(X),(X),"8,254",+/-39,(X),(X)
High school graduate or higher,"13,314",+/-373,83.3%,+/-2.3,"6,449",+/-195,83.4%,+/-2.5,"6,865",+/-248,83.2%,+/-3.0
Bachelor's degree or higher,"1,951",+/-309,12.2%,+/-1.9,895,+/-197,11.6%,+/-2.6,"1,056",+/-217,12.8%,+/-2.6
"White alone, not Hispanic or Latino","15,886",+/-21,(X),(X),"7,701",+/-21,(X),(X),"8,185",+/-21,(X),(X)
High school graduate or higher,"13,273",+/-366,83.6%,+/-2.3,"6,431",+/-194,83.5%,+/-2.5,"6,842",+/-243,83.6%,+/-3.0
Bachelor's degree or higher,"1,944",+/-310,12.2%,+/-2.0,888,+/-198,11.5%,+/-2.6,"1,056",+/-217,12.9%,+/-2.6
Black alone,19,+/-17,(X),(X),16,+/-18,(X),(X),3,+/-6,(X),(X)
High school graduate or higher,13,+/-17,68.4%,+/-55.1,10,+/-16,62.5%,+/-62.5,3,+/-6,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-65.4,0,+/-21,0.0%,+/-71.2,0,+/-21,0.0%,+/-100.0
American Indian or Alaska Native alone,14,+/-23,(X),(X),0,+/-21,(X),(X),14,+/-23,(X),(X)
High school graduate or higher,14,+/-23,100.0%,+/-76.1,0,+/-21,-,**,14,+/-23,100.0%,+/-76.1
Bachelor's degree or higher,0,+/-21,0.0%,+/-76.1,0,+/-21,-,**,0,+/-21,0.0%,+/-76.1
Asian alone,87,+/-65,(X),(X),0,+/-21,(X),(X),87,+/-65,(X),(X)
High school graduate or higher,37,+/-32,42.5%,+/-52.3,0,+/-21,-,**,37,+/-32,42.5%,+/-52.3
Bachelor's degree or higher,15,+/-26,17.2%,+/-34.4,0,+/-21,-,**,15,+/-26,17.2%,+/-34.4
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,68,+/-45,(X),(X),50,+/-39,(X),(X),18,+/-28,(X),(X)
High school graduate or higher,45,+/-32,66.2%,+/-28.7,35,+/-29,70.0%,+/-39.5,10,+/-17,55.6%,+/-16.7
Bachelor's degree or higher,0,+/-21,0.0%,+/-33.9,0,+/-21,0.0%,+/-40.3,0,+/-21,0.0%,+/-67.2
Two or more races,80,+/-59,(X),(X),52,+/-47,(X),(X),28,+/-31,(X),(X)
High school graduate or higher,67,+/-54,83.8%,+/-23.8,52,+/-47,100.0%,+/-39.5,15,+/-20,53.6%,+/-47.0
Bachelor's degree or higher,9,+/-15,11.3%,+/-18.8,0,+/-21,0.0%,+/-39.5,9,+/-15,32.1%,+/-50.9
Hispanic or Latino Origin,181,+/-32,(X),(X),81,+/-28,(X),(X),100,+/-36,(X),(X)
High school graduate or higher,86,+/-38,47.5%,+/-14.8,53,+/-15,65.4%,+/-21.6,33,+/-33,33.0%,+/-25.4
Bachelor's degree or higher,7,+/-14,3.9%,+/-7.7,7,+/-14,8.6%,+/-18.5,0,+/-21,0.0%,+/-25.5
