Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,989",+/-48,(X),(X),"1,053",+/-55,(X),(X),936,+/-35,(X),(X)
Less than high school graduate,493,+/-147,24.8%,+/-7.3,385,+/-122,36.6%,+/-11.7,108,+/-68,11.5%,+/-7.0
High school graduate (includes equivalency),828,+/-169,41.6%,+/-8.4,383,+/-118,36.4%,+/-10.7,445,+/-110,47.5%,+/-12.2
Some college or associate's degree,635,+/-142,31.9%,+/-7.3,265,+/-106,25.2%,+/-10.0,370,+/-112,39.5%,+/-11.8
Bachelor's degree or higher,33,+/-38,1.7%,+/-1.9,20,+/-32,1.9%,+/-3.0,13,+/-22,1.4%,+/-2.4
Population 25 years and over,"16,254",+/-88,(X),(X),"7,850",+/-58,(X),(X),"8,404",+/-80,(X),(X)
Less than 9th grade,"1,209",+/-248,7.4%,+/-1.5,593,+/-132,7.6%,+/-1.7,616,+/-183,7.3%,+/-2.2
"9th to 12th grade, no diploma","1,555",+/-245,9.6%,+/-1.5,711,+/-150,9.1%,+/-1.9,844,+/-174,10.0%,+/-2.1
High school graduate (includes equivalency),"6,928",+/-454,42.6%,+/-2.8,"3,630",+/-300,46.2%,+/-3.8,"3,298",+/-315,39.2%,+/-3.8
"Some college, no degree","3,175",+/-349,19.5%,+/-2.1,"1,372",+/-223,17.5%,+/-2.8,"1,803",+/-264,21.5%,+/-3.1
Associate's degree,"1,412",+/-270,8.7%,+/-1.7,649,+/-183,8.3%,+/-2.3,763,+/-160,9.1%,+/-1.9
Bachelor's degree,"1,341",+/-275,8.3%,+/-1.7,676,+/-194,8.6%,+/-2.5,665,+/-166,7.9%,+/-2.0
Graduate or professional degree,634,+/-179,3.9%,+/-1.1,219,+/-91,2.8%,+/-1.2,415,+/-138,4.9%,+/-1.6
Percent high school graduate or higher,(X),(X),83.0%,+/-2.3,(X),(X),83.4%,+/-2.5,(X),(X),82.6%,+/-3.0
Percent bachelor's degree or higher,(X),(X),12.2%,+/-1.9,(X),(X),11.4%,+/-2.5,(X),(X),12.9%,+/-2.6
Population 25 to 34 years,"2,721",+/-37,(X),(X),"1,351",+/-29,(X),(X),"1,370",+/-38,(X),(X)
High school graduate or higher,"2,346",+/-138,86.2%,+/-4.7,"1,233",+/-85,91.3%,+/-5.6,"1,113",+/-105,81.2%,+/-7.1
Bachelor's degree or higher,424,+/-146,15.6%,+/-5.4,180,+/-99,13.3%,+/-7.3,244,+/-89,17.8%,+/-6.4
Population 35 to 44 years,"3,103",+/-78,(X),(X),"1,521",+/-36,(X),(X),"1,582",+/-67,(X),(X)
High school graduate or higher,"2,700",+/-133,87.0%,+/-4.5,"1,280",+/-89,84.2%,+/-5.3,"1,420",+/-83,89.8%,+/-6.4
Bachelor's degree or higher,384,+/-161,12.4%,+/-5.1,176,+/-91,11.6%,+/-6.0,208,+/-100,13.1%,+/-6.2
Population 45 to 64 years,"6,760",+/-56,(X),(X),"3,336",+/-27,(X),(X),"3,424",+/-47,(X),(X)
High school graduate or higher,"5,898",+/-193,87.2%,+/-2.7,"2,897",+/-118,86.8%,+/-3.4,"3,001",+/-132,87.6%,+/-3.6
Bachelor's degree or higher,712,+/-183,10.5%,+/-2.7,351,+/-144,10.5%,+/-4.3,361,+/-113,10.5%,+/-3.3
Population 65 years and over,"3,670",+/-49,(X),(X),"1,642",+/-49,(X),(X),"2,028",+/-28,(X),(X)
High school graduate or higher,"2,546",+/-198,69.4%,+/-5.3,"1,136",+/-117,69.2%,+/-6.4,"1,410",+/-137,69.5%,+/-6.9
Bachelor's degree or higher,455,+/-151,12.4%,+/-4.1,188,+/-86,11.4%,+/-5.3,267,+/-120,13.2%,+/-6.0
