RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"80,300",+/-202,(X),(X),"38,882",+/-127,(X),(X),"41,418",+/-96,(X),(X)
High school graduate or higher,"70,862",+/-560,88.2%,+/-0.7,"34,118",+/-344,87.7%,+/-0.9,"36,744",+/-404,88.7%,+/-1.0
Bachelor's degree or higher,"14,355",+/-766,17.9%,+/-1.0,"6,552",+/-469,16.9%,+/-1.2,"7,803",+/-434,18.8%,+/-1.0
"White alone, not Hispanic or Latino","78,931",+/-41,(X),(X),"38,154",+/-21,(X),(X),"40,777",+/-28,(X),(X)
High school graduate or higher,"69,900",+/-541,88.6%,+/-0.7,"33,640",+/-338,88.2%,+/-0.9,"36,260",+/-388,88.9%,+/-1.0
Bachelor's degree or higher,"14,187",+/-750,18.0%,+/-0.9,"6,460",+/-463,16.9%,+/-1.2,"7,727",+/-432,18.9%,+/-1.1
Black alone,"6,806",+/-143,(X),(X),"3,754",+/-114,(X),(X),"3,052",+/-107,(X),(X)
High school graduate or higher,"5,595",+/-229,82.2%,+/-3.1,"2,984",+/-184,79.5%,+/-4.1,"2,611",+/-150,85.6%,+/-4.7
Bachelor's degree or higher,808,+/-140,11.9%,+/-2.1,497,+/-108,13.2%,+/-2.8,311,+/-87,10.2%,+/-2.9
American Indian or Alaska Native alone,151,+/-63,(X),(X),94,+/-43,(X),(X),57,+/-33,(X),(X)
High school graduate or higher,114,+/-55,75.5%,+/-15.3,77,+/-41,81.9%,+/-19.0,37,+/-28,64.9%,+/-29.8
Bachelor's degree or higher,16,+/-18,10.6%,+/-11.0,16,+/-18,17.0%,+/-18.0,0,+/-27,0.0%,+/-37.7
Asian alone,393,+/-126,(X),(X),147,+/-67,(X),(X),246,+/-87,(X),(X)
High school graduate or higher,333,+/-130,84.7%,+/-14.4,139,+/-67,94.6%,+/-8.1,194,+/-84,78.9%,+/-19.8
Bachelor's degree or higher,121,+/-89,30.8%,+/-24.4,59,+/-63,40.1%,+/-40.1,62,+/-46,25.2%,+/-19.8
Native Hawaiian and Other Pacific Islander alone,35,+/-41,(X),(X),35,+/-41,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,35,+/-41,100.0%,+/-48.2,35,+/-41,100.0%,+/-48.2,0,+/-27,-,**
Bachelor's degree or higher,35,+/-41,100.0%,+/-48.2,35,+/-41,100.0%,+/-48.2,0,+/-27,-,**
Some other race alone,771,+/-192,(X),(X),501,+/-127,(X),(X),270,+/-84,(X),(X)
High school graduate or higher,416,+/-145,54.0%,+/-12.4,261,+/-103,52.1%,+/-14.3,155,+/-65,57.4%,+/-17.0
Bachelor's degree or higher,33,+/-29,4.3%,+/-3.9,25,+/-27,5.0%,+/-5.6,8,+/-11,3.0%,+/-3.9
Two or more races,"1,249",+/-196,(X),(X),766,+/-143,(X),(X),483,+/-145,(X),(X)
High school graduate or higher,"1,110",+/-194,88.9%,+/-5.4,646,+/-132,84.3%,+/-8.4,464,+/-143,96.1%,+/-4.6
Bachelor's degree or higher,234,+/-83,18.7%,+/-6.6,134,+/-65,17.5%,+/-8.0,100,+/-50,20.7%,+/-10.1
Hispanic or Latino Origin,"2,285",*****,(X),(X),"1,318",*****,(X),(X),967,*****,(X),(X)
High school graduate or higher,"1,489",+/-164,65.2%,+/-7.1,799,+/-110,60.6%,+/-8.4,690,+/-90,71.4%,+/-9.2
Bachelor's degree or higher,204,+/-76,8.9%,+/-3.3,117,+/-61,8.9%,+/-4.6,87,+/-45,9.0%,+/-4.7
