Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"11,234",+/-44,(X),(X),"5,768",+/-19,(X),(X),"5,466",+/-43,(X),(X)
Less than high school graduate,"2,316",+/-295,20.6%,+/-2.6,"1,382",+/-226,24.0%,+/-3.9,934,+/-174,17.1%,+/-3.2
High school graduate (includes equivalency),"3,901",+/-355,34.7%,+/-3.2,"2,158",+/-279,37.4%,+/-4.8,"1,743",+/-212,31.9%,+/-3.9
Some college or associate's degree,"4,526",+/-330,40.3%,+/-2.9,"2,031",+/-262,35.2%,+/-4.5,"2,495",+/-217,45.6%,+/-4.0
Bachelor's degree or higher,491,+/-125,4.4%,+/-1.1,197,+/-87,3.4%,+/-1.5,294,+/-100,5.4%,+/-1.8
Population 25 years and over,"89,800",+/-46,(X),(X),"44,190",+/-53,(X),(X),"45,610",+/-64,(X),(X)
Less than 9th grade,"2,428",+/-280,2.7%,+/-0.3,"1,345",+/-200,3.0%,+/-0.5,"1,083",+/-198,2.4%,+/-0.4
"9th to 12th grade, no diploma","8,658",+/-563,9.6%,+/-0.6,"4,612",+/-408,10.4%,+/-0.9,"4,046",+/-321,8.9%,+/-0.7
High school graduate (includes equivalency),"34,995","+/-1,069",39.0%,+/-1.2,"17,882",+/-706,40.5%,+/-1.6,"17,113",+/-601,37.5%,+/-1.3
"Some college, no degree","19,994",+/-764,22.3%,+/-0.9,"9,896",+/-511,22.4%,+/-1.2,"10,098",+/-560,22.1%,+/-1.2
Associate's degree,"7,966",+/-471,8.9%,+/-0.5,"3,211",+/-217,7.3%,+/-0.5,"4,755",+/-426,10.4%,+/-0.9
Bachelor's degree,"10,584",+/-558,11.8%,+/-0.6,"4,956",+/-366,11.2%,+/-0.8,"5,628",+/-370,12.3%,+/-0.8
Graduate or professional degree,"5,175",+/-431,5.8%,+/-0.5,"2,288",+/-247,5.2%,+/-0.6,"2,887",+/-279,6.3%,+/-0.6
Percent high school graduate or higher,(X),(X),87.7%,+/-0.7,(X),(X),86.5%,+/-1.1,(X),(X),88.8%,+/-0.8
Percent bachelor's degree or higher,(X),(X),17.5%,+/-0.7,(X),(X),16.4%,+/-0.9,(X),(X),18.7%,+/-0.9
Population 25 to 34 years,"16,127",+/-57,(X),(X),"8,434",+/-45,(X),(X),"7,693",+/-33,(X),(X)
High school graduate or higher,"13,947",+/-322,86.5%,+/-2.0,"7,120",+/-233,84.4%,+/-2.7,"6,827",+/-190,88.7%,+/-2.5
Bachelor's degree or higher,"2,893",+/-342,17.9%,+/-2.1,"1,192",+/-216,14.1%,+/-2.5,"1,701",+/-203,22.1%,+/-2.6
Population 35 to 44 years,"16,459",+/-124,(X),(X),"8,595",+/-96,(X),(X),"7,864",+/-71,(X),(X)
High school graduate or higher,"14,848",+/-262,90.2%,+/-1.5,"7,668",+/-212,89.2%,+/-2.3,"7,180",+/-162,91.3%,+/-2.0
Bachelor's degree or higher,"3,634",+/-345,22.1%,+/-2.1,"1,473",+/-220,17.1%,+/-2.5,"2,161",+/-220,27.5%,+/-2.8
Population 45 to 64 years,"34,847",+/-150,(X),(X),"17,387",+/-99,(X),(X),"17,460",+/-86,(X),(X)
High school graduate or higher,"31,183",+/-344,89.5%,+/-1.0,"15,178",+/-257,87.3%,+/-1.4,"16,005",+/-216,91.7%,+/-1.2
Bachelor's degree or higher,"5,658",+/-371,16.2%,+/-1.1,"2,784",+/-242,16.0%,+/-1.4,"2,874",+/-243,16.5%,+/-1.4
Population 65 years and over,"22,367",+/-72,(X),(X),"9,774",+/-60,(X),(X),"12,593",+/-66,(X),(X)
High school graduate or higher,"18,736",+/-299,83.8%,+/-1.4,"8,267",+/-199,84.6%,+/-2.0,"10,469",+/-225,83.1%,+/-1.9
Bachelor's degree or higher,"3,574",+/-296,16.0%,+/-1.3,"1,795",+/-192,18.4%,+/-2.0,"1,779",+/-185,14.1%,+/-1.5
