Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"11,394",+/-38,(X),(X),"5,851",+/-25,(X),(X),"5,543",+/-27,(X),(X)
Less than high school graduate,"2,375",+/-298,20.8%,+/-2.6,"1,426",+/-225,24.4%,+/-3.9,949,+/-171,17.1%,+/-3.1
High school graduate (includes equivalency),"3,965",+/-374,34.8%,+/-3.3,"2,163",+/-262,37.0%,+/-4.5,"1,802",+/-220,32.5%,+/-4.0
Some college or associate's degree,"4,612",+/-376,40.5%,+/-3.3,"2,097",+/-258,35.8%,+/-4.4,"2,515",+/-269,45.4%,+/-4.8
Bachelor's degree or higher,442,+/-121,3.9%,+/-1.1,165,+/-80,2.8%,+/-1.4,277,+/-94,5.0%,+/-1.7
Population 25 years and over,"89,705",+/-38,(X),(X),"44,179",+/-59,(X),(X),"45,526",+/-55,(X),(X)
Less than 9th grade,"2,630",+/-249,2.9%,+/-0.3,"1,485",+/-197,3.4%,+/-0.4,"1,145",+/-183,2.5%,+/-0.4
"9th to 12th grade, no diploma","8,610",+/-542,9.6%,+/-0.6,"4,434",+/-395,10.0%,+/-0.9,"4,176",+/-351,9.2%,+/-0.8
High school graduate (includes equivalency),"35,173",+/-956,39.2%,+/-1.1,"18,136",+/-640,41.1%,+/-1.5,"17,037",+/-609,37.4%,+/-1.3
"Some college, no degree","19,822",+/-691,22.1%,+/-0.8,"9,633",+/-538,21.8%,+/-1.2,"10,189",+/-422,22.4%,+/-0.9
Associate's degree,"7,868",+/-456,8.8%,+/-0.5,"3,173",+/-258,7.2%,+/-0.6,"4,695",+/-390,10.3%,+/-0.9
Bachelor's degree,"10,451",+/-650,11.7%,+/-0.7,"5,012",+/-398,11.3%,+/-0.9,"5,439",+/-386,11.9%,+/-0.8
Graduate or professional degree,"5,151",+/-411,5.7%,+/-0.5,"2,306",+/-269,5.2%,+/-0.6,"2,845",+/-270,6.2%,+/-0.6
Percent high school graduate or higher,(X),(X),87.5%,+/-0.6,(X),(X),86.6%,+/-0.9,(X),(X),88.3%,+/-0.9
Percent bachelor's degree or higher,(X),(X),17.4%,+/-0.9,(X),(X),16.6%,+/-1.1,(X),(X),18.2%,+/-1.0
Population 25 to 34 years,"16,231",+/-80,(X),(X),"8,482",+/-50,(X),(X),"7,749",+/-91,(X),(X)
High school graduate or higher,"13,978",+/-329,86.1%,+/-2.0,"7,165",+/-227,84.5%,+/-2.7,"6,813",+/-199,87.9%,+/-2.4
Bachelor's degree or higher,"2,897",+/-347,17.8%,+/-2.1,"1,236",+/-210,14.6%,+/-2.5,"1,661",+/-194,21.4%,+/-2.5
Population 35 to 44 years,"16,515",+/-132,(X),(X),"8,672",+/-101,(X),(X),"7,843",+/-82,(X),(X)
High school graduate or higher,"14,827",+/-273,89.8%,+/-1.6,"7,752",+/-187,89.4%,+/-2.0,"7,075",+/-176,90.2%,+/-2.1
Bachelor's degree or higher,"3,497",+/-350,21.2%,+/-2.1,"1,488",+/-225,17.2%,+/-2.6,"2,009",+/-218,25.6%,+/-2.8
Population 45 to 64 years,"34,993",+/-141,(X),(X),"17,452",+/-97,(X),(X),"17,541",+/-79,(X),(X)
High school graduate or higher,"31,532",+/-334,90.1%,+/-0.9,"15,401",+/-251,88.2%,+/-1.4,"16,131",+/-204,92.0%,+/-1.1
Bachelor's degree or higher,"6,103",+/-412,17.4%,+/-1.2,"3,008",+/-262,17.2%,+/-1.5,"3,095",+/-264,17.6%,+/-1.5
Population 65 years and over,"21,966",+/-91,(X),(X),"9,573",+/-52,(X),(X),"12,393",+/-68,(X),(X)
High school graduate or higher,"18,128",+/-269,82.5%,+/-1.2,"7,942",+/-163,83.0%,+/-1.7,"10,186",+/-210,82.2%,+/-1.6
Bachelor's degree or higher,"3,105",+/-291,14.1%,+/-1.3,"1,586",+/-204,16.6%,+/-2.1,"1,519",+/-178,12.3%,+/-1.4
