Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,288",+/-145,(X),(X),"3,152",+/-106,(X),(X),"3,136",+/-108,(X),(X)
Less than high school graduate,"1,196",+/-210,19.0%,+/-3.3,604,+/-153,19.2%,+/-4.7,592,+/-136,18.9%,+/-4.3
High school graduate (includes equivalency),"1,858",+/-255,29.5%,+/-4.0,"1,047",+/-178,33.2%,+/-5.7,811,+/-164,25.9%,+/-5.2
Some college or associate's degree,"3,056",+/-317,48.6%,+/-5.0,"1,454",+/-214,46.1%,+/-6.5,"1,602",+/-213,51.1%,+/-6.7
Bachelor's degree or higher,178,+/-73,2.8%,+/-1.2,47,+/-30,1.5%,+/-1.0,131,+/-65,4.2%,+/-2.0
Population 25 years and over,"46,353",+/-147,(X),(X),"21,868",+/-118,(X),(X),"24,485",+/-100,(X),(X)
Less than 9th grade,"1,979",+/-285,4.3%,+/-0.6,999,+/-189,4.6%,+/-0.9,980,+/-196,4.0%,+/-0.8
"9th to 12th grade, no diploma","5,425",+/-459,11.7%,+/-1.0,"2,664",+/-326,12.2%,+/-1.5,"2,761",+/-287,11.3%,+/-1.2
High school graduate (includes equivalency),"17,901",+/-666,38.6%,+/-1.4,"8,445",+/-462,38.6%,+/-2.1,"9,456",+/-444,38.6%,+/-1.8
"Some college, no degree","9,321",+/-557,20.1%,+/-1.2,"4,471",+/-352,20.4%,+/-1.6,"4,850",+/-403,19.8%,+/-1.6
Associate's degree,"3,660",+/-366,7.9%,+/-0.8,"1,762",+/-258,8.1%,+/-1.2,"1,898",+/-216,7.8%,+/-0.9
Bachelor's degree,"4,711",+/-436,10.2%,+/-1.0,"2,187",+/-286,10.0%,+/-1.3,"2,524",+/-276,10.3%,+/-1.1
Graduate or professional degree,"3,356",+/-303,7.2%,+/-0.7,"1,340",+/-172,6.1%,+/-0.8,"2,016",+/-249,8.2%,+/-1.0
Percent high school graduate or higher,(X),(X),84.0%,+/-1.1,(X),(X),83.2%,+/-1.6,(X),(X),84.7%,+/-1.5
Percent bachelor's degree or higher,(X),(X),17.4%,+/-1.2,(X),(X),16.1%,+/-1.5,(X),(X),18.5%,+/-1.3
Population 25 to 34 years,"7,591",+/-172,(X),(X),"3,802",+/-134,(X),(X),"3,789",+/-116,(X),(X)
High school graduate or higher,"6,469",+/-273,85.2%,+/-3.3,"3,305",+/-153,86.9%,+/-3.7,"3,164",+/-192,83.5%,+/-4.5
Bachelor's degree or higher,"1,298",+/-228,17.1%,+/-3.0,504,+/-119,13.3%,+/-3.1,794,+/-163,21.0%,+/-4.2
Population 35 to 44 years,"8,194",+/-173,(X),(X),"4,018",+/-110,(X),(X),"4,176",+/-118,(X),(X)
High school graduate or higher,"7,120",+/-268,86.9%,+/-2.9,"3,483",+/-203,86.7%,+/-4.5,"3,637",+/-174,87.1%,+/-3.5
Bachelor's degree or higher,"1,615",+/-253,19.7%,+/-3.0,594,+/-136,14.8%,+/-3.3,"1,021",+/-184,24.4%,+/-4.1
Population 45 to 64 years,"18,683",+/-179,(X),(X),"9,083",+/-117,(X),(X),"9,600",+/-124,(X),(X)
High school graduate or higher,"16,179",+/-310,86.6%,+/-1.5,"7,695",+/-224,84.7%,+/-2.1,"8,484",+/-208,88.4%,+/-2.1
Bachelor's degree or higher,"3,369",+/-295,18.0%,+/-1.6,"1,511",+/-221,16.6%,+/-2.4,"1,858",+/-196,19.4%,+/-2.0
Population 65 years and over,"11,885",+/-98,(X),(X),"4,965",+/-28,(X),(X),"6,920",+/-85,(X),(X)
High school graduate or higher,"9,181",+/-259,77.2%,+/-2.0,"3,722",+/-163,75.0%,+/-3.3,"5,459",+/-195,78.9%,+/-2.4
Bachelor's degree or higher,"1,785",+/-260,15.0%,+/-2.2,918,+/-177,18.5%,+/-3.6,867,+/-161,12.5%,+/-2.3
