RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"42,828",+/-150,(X),(X),"20,119",+/-86,(X),(X),"22,709",+/-102,(X),(X)
High school graduate or higher,"36,132",+/-532,84.4%,+/-1.2,"16,885",+/-325,83.9%,+/-1.6,"19,247",+/-373,84.8%,+/-1.6
Bachelor's degree or higher,"7,347",+/-488,17.2%,+/-1.1,"3,248",+/-300,16.1%,+/-1.5,"4,099",+/-291,18.1%,+/-1.3
"White alone, not Hispanic or Latino","42,503",+/-38,(X),(X),"19,973",+/-25,(X),(X),"22,530",+/-28,(X),(X)
High school graduate or higher,"35,869",+/-506,84.4%,+/-1.2,"16,760",+/-307,83.9%,+/-1.6,"19,109",+/-358,84.8%,+/-1.6
Bachelor's degree or higher,"7,234",+/-469,17.0%,+/-1.1,"3,199",+/-288,16.0%,+/-1.4,"4,035",+/-286,17.9%,+/-1.3
Black alone,"2,043",+/-124,(X),(X),997,+/-97,(X),(X),"1,046",+/-60,(X),(X)
High school graduate or higher,"1,808",+/-145,88.5%,+/-4.7,822,+/-120,82.4%,+/-8.2,986,+/-68,94.3%,+/-3.8
Bachelor's degree or higher,421,+/-154,20.6%,+/-7.3,151,+/-90,15.1%,+/-8.9,270,+/-105,25.8%,+/-10.0
American Indian or Alaska Native alone,64,+/-38,(X),(X),59,+/-39,(X),(X),5,+/-8,(X),(X)
High school graduate or higher,46,+/-30,71.9%,+/-40.7,41,+/-32,69.5%,+/-44.1,5,+/-8,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-27,0.0%,+/-35.3,0,+/-27,0.0%,+/-37.0,0,+/-27,0.0%,+/-100.0
Asian alone,313,+/-86,(X),(X),140,+/-51,(X),(X),173,+/-63,(X),(X)
High school graduate or higher,299,+/-82,95.5%,+/-5.1,129,+/-49,92.1%,+/-10.9,170,+/-62,98.3%,+/-3.1
Bachelor's degree or higher,197,+/-91,62.9%,+/-21.4,100,+/-47,71.4%,+/-22.6,97,+/-61,56.1%,+/-29.0
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,482,+/-184,(X),(X),250,+/-98,(X),(X),232,+/-111,(X),(X)
High school graduate or higher,184,+/-85,38.2%,+/-18.4,137,+/-83,54.8%,+/-28.5,47,+/-47,20.3%,+/-24.7
Bachelor's degree or higher,6,+/-13,1.2%,+/-2.9,6,+/-13,2.4%,+/-5.6,0,+/-27,0.0%,+/-12.1
Two or more races,623,+/-161,(X),(X),303,+/-118,(X),(X),320,+/-102,(X),(X)
High school graduate or higher,480,+/-151,77.0%,+/-11.9,191,+/-110,63.0%,+/-22.7,289,+/-103,90.3%,+/-9.2
Bachelor's degree or higher,96,+/-76,15.4%,+/-11.0,22,+/-29,7.3%,+/-9.9,74,+/-66,23.1%,+/-16.7
Hispanic or Latino Origin,827,+/-99,(X),(X),413,+/-75,(X),(X),414,+/-65,(X),(X)
High school graduate or higher,427,+/-129,51.6%,+/-16.4,245,+/-89,59.3%,+/-21.3,182,+/-101,44.0%,+/-24.4
Bachelor's degree or higher,119,+/-90,14.4%,+/-11.0,55,+/-67,13.3%,+/-15.8,64,+/-59,15.5%,+/-13.7
