Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"6,214",+/-149,(X),(X),"3,265",+/-99,(X),(X),"2,949",+/-120,(X),(X)
Less than high school graduate,"1,010",+/-179,16.3%,+/-2.9,543,+/-117,16.6%,+/-3.5,467,+/-127,15.8%,+/-4.2
High school graduate (includes equivalency),"2,003",+/-252,32.2%,+/-3.9,"1,128",+/-187,34.5%,+/-5.9,875,+/-156,29.7%,+/-5.1
Some college or associate's degree,"3,000",+/-289,48.3%,+/-4.6,"1,506",+/-221,46.1%,+/-6.5,"1,494",+/-184,50.7%,+/-6.0
Bachelor's degree or higher,201,+/-68,3.2%,+/-1.1,88,+/-40,2.7%,+/-1.2,113,+/-58,3.8%,+/-2.0
Population 25 years and over,"45,907",+/-150,(X),(X),"21,578",+/-142,(X),(X),"24,329",+/-110,(X),(X)
Less than 9th grade,"1,879",+/-295,4.1%,+/-0.6,913,+/-171,4.2%,+/-0.8,966,+/-212,4.0%,+/-0.9
"9th to 12th grade, no diploma","4,784",+/-465,10.4%,+/-1.0,"2,330",+/-314,10.8%,+/-1.5,"2,454",+/-312,10.1%,+/-1.3
High school graduate (includes equivalency),"17,326",+/-644,37.7%,+/-1.4,"8,296",+/-472,38.4%,+/-2.1,"9,030",+/-382,37.1%,+/-1.6
"Some college, no degree","9,642",+/-527,21.0%,+/-1.1,"4,698",+/-404,21.8%,+/-1.9,"4,944",+/-373,20.3%,+/-1.5
Associate's degree,"3,939",+/-362,8.6%,+/-0.8,"1,605",+/-224,7.4%,+/-1.0,"2,334",+/-242,9.6%,+/-1.0
Bachelor's degree,"4,901",+/-444,10.7%,+/-1.0,"2,344",+/-311,10.9%,+/-1.5,"2,557",+/-303,10.5%,+/-1.2
Graduate or professional degree,"3,436",+/-372,7.5%,+/-0.8,"1,392",+/-211,6.5%,+/-1.0,"2,044",+/-252,8.4%,+/-1.0
Percent high school graduate or higher,(X),(X),85.5%,+/-1.2,(X),(X),85.0%,+/-1.6,(X),(X),85.9%,+/-1.5
Percent bachelor's degree or higher,(X),(X),18.2%,+/-1.1,(X),(X),17.3%,+/-1.6,(X),(X),18.9%,+/-1.5
Population 25 to 34 years,"7,599",+/-210,(X),(X),"3,736",+/-141,(X),(X),"3,863",+/-143,(X),(X)
High school graduate or higher,"6,650",+/-266,87.5%,+/-2.8,"3,212",+/-160,86.0%,+/-3.9,"3,438",+/-187,89.0%,+/-3.0
Bachelor's degree or higher,"1,277",+/-220,16.8%,+/-2.9,465,+/-138,12.4%,+/-3.8,812,+/-155,21.0%,+/-4.0
Population 35 to 44 years,"7,802",+/-199,(X),(X),"3,880",+/-123,(X),(X),"3,922",+/-125,(X),(X)
High school graduate or higher,"6,887",+/-268,88.3%,+/-2.9,"3,348",+/-194,86.3%,+/-4.0,"3,539",+/-173,90.2%,+/-3.9
Bachelor's degree or higher,"1,647",+/-260,21.1%,+/-3.3,616,+/-158,15.9%,+/-4.1,"1,031",+/-196,26.3%,+/-4.8
Population 45 to 64 years,"18,343",+/-184,(X),(X),"8,901",+/-120,(X),(X),"9,442",+/-130,(X),(X)
High school graduate or higher,"16,224",+/-378,88.4%,+/-1.8,"7,814",+/-263,87.8%,+/-2.6,"8,410",+/-225,89.1%,+/-1.9
Bachelor's degree or higher,"3,632",+/-310,19.8%,+/-1.7,"1,622",+/-208,18.2%,+/-2.4,"2,010",+/-226,21.3%,+/-2.4
Population 65 years and over,"12,163",+/-50,(X),(X),"5,061",+/-18,(X),(X),"7,102",+/-51,(X),(X)
High school graduate or higher,"9,483",+/-319,78.0%,+/-2.7,"3,961",+/-176,78.3%,+/-3.4,"5,522",+/-234,77.8%,+/-3.4
Bachelor's degree or higher,"1,781",+/-227,14.6%,+/-1.9,"1,033",+/-160,20.4%,+/-3.2,748,+/-163,10.5%,+/-2.3
