Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"34,197",+/-65,(X),(X),"17,017",+/-52,(X),(X),"17,180",+/-35,(X),(X)
Less than high school graduate,"5,926",+/-458,17.3%,+/-1.3,"3,323",+/-325,19.5%,+/-1.9,"2,603",+/-293,15.2%,+/-1.7
High school graduate (includes equivalency),"10,209",+/-496,29.9%,+/-1.4,"5,544",+/-363,32.6%,+/-2.1,"4,665",+/-408,27.2%,+/-2.4
Some college or associate's degree,"14,785",+/-557,43.2%,+/-1.6,"7,083",+/-400,41.6%,+/-2.3,"7,702",+/-465,44.8%,+/-2.7
Bachelor's degree or higher,"3,277",+/-370,9.6%,+/-1.1,"1,067",+/-164,6.3%,+/-1.0,"2,210",+/-306,12.9%,+/-1.8
Population 25 years and over,"233,222",+/-66,(X),(X),"111,501",+/-31,(X),(X),"121,721",+/-54,(X),(X)
Less than 9th grade,"8,983",+/-682,3.9%,+/-0.3,"4,586",+/-442,4.1%,+/-0.4,"4,397",+/-410,3.6%,+/-0.3
"9th to 12th grade, no diploma","15,953",+/-789,6.8%,+/-0.3,"8,352",+/-533,7.5%,+/-0.5,"7,601",+/-454,6.2%,+/-0.4
High school graduate (includes equivalency),"68,616","+/-1,377",29.4%,+/-0.6,"32,003",+/-839,28.7%,+/-0.8,"36,613",+/-988,30.1%,+/-0.8
"Some college, no degree","53,799","+/-1,320",23.1%,+/-0.6,"25,884",+/-796,23.2%,+/-0.7,"27,915",+/-957,22.9%,+/-0.8
Associate's degree,"22,867",+/-960,9.8%,+/-0.4,"9,707",+/-581,8.7%,+/-0.5,"13,160",+/-737,10.8%,+/-0.6
Bachelor's degree,"40,881","+/-1,114",17.5%,+/-0.5,"19,497",+/-819,17.5%,+/-0.7,"21,384",+/-691,17.6%,+/-0.6
Graduate or professional degree,"22,123","+/-1,082",9.5%,+/-0.5,"11,472",+/-669,10.3%,+/-0.6,"10,651",+/-664,8.8%,+/-0.5
Percent high school graduate or higher,(X),(X),89.3%,+/-0.4,(X),(X),88.4%,+/-0.5,(X),(X),90.1%,+/-0.5
Percent bachelor's degree or higher,(X),(X),27.0%,+/-0.6,(X),(X),27.8%,+/-0.8,(X),(X),26.3%,+/-0.7
Population 25 to 34 years,"48,384",+/-69,(X),(X),"23,759",+/-57,(X),(X),"24,625",+/-42,(X),(X)
High school graduate or higher,"43,280",+/-415,89.5%,+/-0.9,"20,892",+/-333,87.9%,+/-1.4,"22,388",+/-234,90.9%,+/-0.9
Bachelor's degree or higher,"14,666",+/-654,30.3%,+/-1.4,"6,495",+/-411,27.3%,+/-1.7,"8,171",+/-471,33.2%,+/-1.9
Population 35 to 44 years,"46,007",+/-62,(X),(X),"22,760",+/-62,(X),(X),"23,247",+/-4,(X),(X)
High school graduate or higher,"41,140",+/-442,89.4%,+/-1.0,"20,053",+/-310,88.1%,+/-1.4,"21,087",+/-244,90.7%,+/-1.0
Bachelor's degree or higher,"13,430",+/-637,29.2%,+/-1.4,"6,259",+/-473,27.5%,+/-2.1,"7,171",+/-392,30.8%,+/-1.7
Population 45 to 64 years,"92,476",+/-64,(X),(X),"45,185",+/-61,(X),(X),"47,291",+/-8,(X),(X)
High school graduate or higher,"84,197",+/-514,91.0%,+/-0.6,"40,862",+/-324,90.4%,+/-0.7,"43,335",+/-344,91.6%,+/-0.7
Bachelor's degree or higher,"25,065",+/-844,27.1%,+/-0.9,"12,706",+/-543,28.1%,+/-1.2,"12,359",+/-532,26.1%,+/-1.1
Population 65 years and over,"46,355",+/-60,(X),(X),"19,797",+/-49,(X),(X),"26,558",+/-33,(X),(X)
High school graduate or higher,"39,669",+/-382,85.6%,+/-0.8,"16,756",+/-271,84.6%,+/-1.4,"22,913",+/-259,86.3%,+/-1.0
Bachelor's degree or higher,"9,843",+/-583,21.2%,+/-1.3,"5,509",+/-354,27.8%,+/-1.8,"4,334",+/-377,16.3%,+/-1.4
