Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"34,196",+/-55,(X),(X),"17,169",+/-43,(X),(X),"17,027",+/-33,(X),(X)
Less than high school graduate,"5,775",+/-517,16.9%,+/-1.5,"3,309",+/-345,19.3%,+/-2.0,"2,466",+/-298,14.5%,+/-1.7
High school graduate (includes equivalency),"10,490",+/-672,30.7%,+/-2.0,"5,719",+/-465,33.3%,+/-2.7,"4,771",+/-448,28.0%,+/-2.6
Some college or associate's degree,"14,923",+/-670,43.6%,+/-2.0,"7,105",+/-516,41.4%,+/-3.0,"7,818",+/-461,45.9%,+/-2.7
Bachelor's degree or higher,"3,008",+/-384,8.8%,+/-1.1,"1,036",+/-182,6.0%,+/-1.1,"1,972",+/-321,11.6%,+/-1.9
Population 25 years and over,"237,509",+/-56,(X),(X),"113,472",+/-34,(X),(X),"124,037",+/-49,(X),(X)
Less than 9th grade,"9,534",+/-677,4.0%,+/-0.3,"4,754",+/-456,4.2%,+/-0.4,"4,780",+/-413,3.9%,+/-0.3
"9th to 12th grade, no diploma","15,697",+/-744,6.6%,+/-0.3,"8,400",+/-541,7.4%,+/-0.5,"7,297",+/-567,5.9%,+/-0.5
High school graduate (includes equivalency),"69,290","+/-1,699",29.2%,+/-0.7,"32,840","+/-1,024",28.9%,+/-0.9,"36,450","+/-1,131",29.4%,+/-0.9
"Some college, no degree","53,392","+/-1,263",22.5%,+/-0.5,"25,762",+/-900,22.7%,+/-0.8,"27,630","+/-1,007",22.3%,+/-0.8
Associate's degree,"24,393",+/-985,10.3%,+/-0.4,"10,308",+/-623,9.1%,+/-0.5,"14,085",+/-712,11.4%,+/-0.6
Bachelor's degree,"42,678","+/-1,508",18.0%,+/-0.6,"20,098",+/-873,17.7%,+/-0.8,"22,580",+/-976,18.2%,+/-0.8
Graduate or professional degree,"22,525",+/-783,9.5%,+/-0.3,"11,310",+/-560,10.0%,+/-0.5,"11,215",+/-573,9.0%,+/-0.5
Percent high school graduate or higher,(X),(X),89.4%,+/-0.4,(X),(X),88.4%,+/-0.6,(X),(X),90.3%,+/-0.6
Percent bachelor's degree or higher,(X),(X),27.5%,+/-0.6,(X),(X),27.7%,+/-0.7,(X),(X),27.2%,+/-0.8
Population 25 to 34 years,"49,580",+/-82,(X),(X),"24,321",+/-57,(X),(X),"25,259",+/-49,(X),(X)
High school graduate or higher,"44,555",+/-505,89.9%,+/-1.0,"21,457",+/-374,88.2%,+/-1.5,"23,098",+/-343,91.4%,+/-1.3
Bachelor's degree or higher,"15,555",+/-812,31.4%,+/-1.6,"6,861",+/-474,28.2%,+/-1.9,"8,694",+/-594,34.4%,+/-2.4
Population 35 to 44 years,"45,810",+/-62,(X),(X),"22,573",+/-51,(X),(X),"23,237",+/-37,(X),(X)
High school graduate or higher,"40,876",+/-554,89.2%,+/-1.2,"19,745",+/-390,87.5%,+/-1.7,"21,131",+/-255,90.9%,+/-1.1
Bachelor's degree or higher,"13,435",+/-757,29.3%,+/-1.7,"5,993",+/-453,26.5%,+/-2.0,"7,442",+/-462,32.0%,+/-2.0
Population 45 to 64 years,"92,490",+/-65,(X),(X),"45,148",+/-61,(X),(X),"47,342",+/-13,(X),(X)
High school graduate or higher,"83,619",+/-589,90.4%,+/-0.6,"40,600",+/-429,89.9%,+/-0.9,"43,019",+/-361,90.9%,+/-0.8
Bachelor's degree or higher,"25,031",+/-805,27.1%,+/-0.9,"12,456",+/-498,27.6%,+/-1.1,"12,575",+/-560,26.6%,+/-1.2
Population 65 years and over,"49,629",+/-60,(X),(X),"21,430",+/-58,(X),(X),"28,199",+/-14,(X),(X)
High school graduate or higher,"43,228",+/-453,87.1%,+/-0.9,"18,516",+/-245,86.4%,+/-1.2,"24,712",+/-326,87.6%,+/-1.2
Bachelor's degree or higher,"11,182",+/-610,22.5%,+/-1.2,"6,098",+/-372,28.5%,+/-1.7,"5,084",+/-376,18.0%,+/-1.3
