RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"195,150",+/-467,(X),(X),"93,798",+/-285,(X),(X),"101,352",+/-273,(X),(X)
High school graduate or higher,"178,437",+/-855,91.4%,+/-0.5,"85,004",+/-552,90.6%,+/-0.6,"93,433",+/-515,92.2%,+/-0.5
Bachelor's degree or higher,"56,043","+/-1,298",28.7%,+/-0.7,"27,671",+/-865,29.5%,+/-0.9,"28,372",+/-854,28.0%,+/-0.8
"White alone, not Hispanic or Latino","187,316",+/-157,(X),(X),"89,673",+/-79,(X),(X),"97,643",+/-79,(X),(X)
High school graduate or higher,"173,594",+/-783,92.7%,+/-0.4,"82,502",+/-504,92.0%,+/-0.6,"91,092",+/-454,93.3%,+/-0.5
Bachelor's degree or higher,"55,033","+/-1,265",29.4%,+/-0.7,"27,183",+/-850,30.3%,+/-0.9,"27,850",+/-828,28.5%,+/-0.8
Black alone,"24,024",+/-371,(X),(X),"10,873",+/-186,(X),(X),"13,151",+/-261,(X),(X)
High school graduate or higher,"20,015",+/-484,83.3%,+/-1.8,"8,844",+/-324,81.3%,+/-2.5,"11,171",+/-310,84.9%,+/-2.1
Bachelor's degree or higher,"3,313",+/-495,13.8%,+/-2.0,"1,540",+/-281,14.2%,+/-2.5,"1,773",+/-309,13.5%,+/-2.3
American Indian or Alaska Native alone,622,+/-134,(X),(X),331,+/-91,(X),(X),291,+/-89,(X),(X)
High school graduate or higher,446,+/-110,71.7%,+/-12.5,235,+/-70,71.0%,+/-16.9,211,+/-77,72.5%,+/-14.4
Bachelor's degree or higher,135,+/-69,21.7%,+/-10.5,72,+/-46,21.8%,+/-13.8,63,+/-41,21.6%,+/-12.8
Asian alone,"6,466",+/-148,(X),(X),"3,109",+/-92,(X),(X),"3,357",+/-104,(X),(X)
High school graduate or higher,"4,530",+/-330,70.1%,+/-5.0,"2,181",+/-186,70.2%,+/-5.6,"2,349",+/-221,70.0%,+/-6.1
Bachelor's degree or higher,"2,412",+/-297,37.3%,+/-4.5,"1,211",+/-167,39.0%,+/-5.1,"1,201",+/-210,35.8%,+/-6.2
Native Hawaiian and Other Pacific Islander alone,119,+/-75,(X),(X),61,+/-38,(X),(X),58,+/-46,(X),(X)
High school graduate or higher,67,+/-36,56.3%,+/-32.4,26,+/-23,42.6%,+/-40.8,41,+/-38,70.7%,+/-39.9
Bachelor's degree or higher,13,+/-22,10.9%,+/-17.7,0,+/-27,0.0%,+/-36.3,13,+/-22,22.4%,+/-31.9
Some other race alone,"3,475",+/-439,(X),(X),"1,697",+/-278,(X),(X),"1,778",+/-236,(X),(X)
High school graduate or higher,"1,786",+/-296,51.4%,+/-6.6,874,+/-198,51.5%,+/-9.0,912,+/-167,51.3%,+/-7.1
Bachelor's degree or higher,315,+/-111,9.1%,+/-2.9,123,+/-73,7.2%,+/-4.2,192,+/-77,10.8%,+/-4.1
Two or more races,"3,366",+/-420,(X),(X),"1,632",+/-231,(X),(X),"1,734",+/-297,(X),(X)
High school graduate or higher,"3,005",+/-385,89.3%,+/-3.7,"1,399",+/-191,85.7%,+/-5.2,"1,606",+/-294,92.6%,+/-3.6
Bachelor's degree or higher,773,+/-233,23.0%,+/-5.9,352,+/-123,21.6%,+/-7.0,421,+/-160,24.3%,+/-7.3
Hispanic or Latino Origin,"11,977",*****,(X),(X),"6,168",*****,(X),(X),"5,809",*****,(X),(X)
High school graduate or higher,"7,015",+/-405,58.6%,+/-3.4,"3,533",+/-260,57.3%,+/-4.2,"3,482",+/-259,59.9%,+/-4.5
Bachelor's degree or higher,"1,374",+/-238,11.5%,+/-2.0,599,+/-150,9.7%,+/-2.4,775,+/-172,13.3%,+/-3.0
