RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,740",+/-256,(X),(X),"13,598",+/-196,(X),(X),"14,142",+/-97,(X),(X)
High school graduate or higher,"24,674",+/-340,88.9%,+/-1.4,"11,977",+/-235,88.1%,+/-2.0,"12,697",+/-218,89.8%,+/-1.6
Bachelor's degree or higher,"5,553",+/-520,20.0%,+/-1.9,"2,633",+/-310,19.4%,+/-2.3,"2,920",+/-358,20.6%,+/-2.5
"White alone, not Hispanic or Latino","26,924",+/-25,(X),(X),"13,113",+/-25,(X),(X),"13,811",+/-24,(X),(X)
High school graduate or higher,"24,301",+/-319,90.3%,+/-1.2,"11,774",+/-207,89.8%,+/-1.5,"12,527",+/-213,90.7%,+/-1.5
Bachelor's degree or higher,"5,529",+/-519,20.5%,+/-1.9,"2,612",+/-312,19.9%,+/-2.4,"2,917",+/-358,21.1%,+/-2.6
Black alone,47,+/-38,(X),(X),28,+/-32,(X),(X),19,+/-23,(X),(X)
High school graduate or higher,27,+/-28,57.4%,+/-48.2,8,+/-15,28.6%,+/-58.9,19,+/-23,100.0%,+/-65.4
Bachelor's degree or higher,9,+/-15,19.1%,+/-33.9,0,+/-24,0.0%,+/-53.8,9,+/-15,47.4%,+/-52.6
American Indian or Alaska Native alone,24,+/-43,(X),(X),24,+/-43,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,24,+/-43,100.0%,+/-58.2,24,+/-43,100.0%,+/-58.2,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-58.2,0,+/-24,0.0%,+/-58.2,0,+/-24,-,**
Asian alone,192,+/-92,(X),(X),96,+/-102,(X),(X),96,+/-84,(X),(X)
High school graduate or higher,145,+/-99,75.5%,+/-33.5,96,+/-102,100.0%,+/-26.3,49,+/-60,51.0%,+/-51.0
Bachelor's degree or higher,45,+/-62,23.4%,+/-32.3,35,+/-60,36.5%,+/-58.5,10,+/-15,10.4%,+/-19.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,460,+/-214,(X),(X),249,+/-126,(X),(X),211,+/-107,(X),(X)
High school graduate or higher,184,+/-120,40.0%,+/-20.2,121,+/-104,48.6%,+/-31.1,63,+/-66,29.9%,+/-29.4
Bachelor's degree or higher,11,+/-17,2.4%,+/-3.7,0,+/-24,0.0%,+/-11.3,11,+/-17,5.2%,+/-8.4
Two or more races,99,+/-76,(X),(X),46,+/-43,(X),(X),53,+/-53,(X),(X)
High school graduate or higher,74,+/-59,74.7%,+/-24.0,21,+/-27,45.7%,+/-48.5,53,+/-53,100.0%,+/-39.1
Bachelor's degree or higher,17,+/-25,17.2%,+/-26.3,17,+/-25,37.0%,+/-47.4,0,+/-24,0.0%,+/-39.1
Hispanic or Latino Origin,"1,288",+/-201,(X),(X),736,+/-152,(X),(X),552,+/-117,(X),(X)
High school graduate or higher,569,+/-164,44.2%,+/-10.9,326,+/-142,44.3%,+/-18.5,243,+/-88,44.0%,+/-14.8
Bachelor's degree or higher,45,+/-40,3.5%,+/-3.3,21,+/-31,2.9%,+/-4.3,24,+/-23,4.3%,+/-4.4
