RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"27,467",+/-297,(X),(X),"13,462",+/-189,(X),(X),"14,005",+/-139,(X),(X)
High school graduate or higher,"24,654",+/-388,89.8%,+/-1.5,"11,975",+/-263,89.0%,+/-2.4,"12,679",+/-236,90.5%,+/-1.5
Bachelor's degree or higher,"6,036",+/-577,22.0%,+/-2.1,"2,788",+/-320,20.7%,+/-2.4,"3,248",+/-366,23.2%,+/-2.6
"White alone, not Hispanic or Latino","26,810",+/-24,(X),(X),"13,080",+/-24,(X),(X),"13,730",+/-24,(X),(X)
High school graduate or higher,"24,350",+/-355,90.8%,+/-1.3,"11,848",+/-253,90.6%,+/-1.9,"12,502",+/-203,91.1%,+/-1.5
Bachelor's degree or higher,"6,020",+/-576,22.5%,+/-2.1,"2,774",+/-318,21.2%,+/-2.4,"3,246",+/-366,23.6%,+/-2.7
Black alone,138,+/-99,(X),(X),127,+/-99,(X),(X),11,+/-18,(X),(X)
High school graduate or higher,29,+/-29,21.0%,+/-25.5,18,+/-24,14.2%,+/-22.0,11,+/-18,100.0%,+/-85.9
Bachelor's degree or higher,9,+/-17,6.5%,+/-13.7,0,+/-24,0.0%,+/-20.9,9,+/-17,81.8%,+/-64.0
American Indian or Alaska Native alone,103,+/-115,(X),(X),103,+/-115,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,103,+/-115,100.0%,+/-24.9,103,+/-115,100.0%,+/-24.9,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-24.9,0,+/-24,0.0%,+/-24.9,0,+/-24,-,**
Asian alone,184,+/-89,(X),(X),128,+/-118,(X),(X),56,+/-47,(X),(X)
High school graduate or higher,153,+/-125,83.2%,+/-28.8,128,+/-118,100.0%,+/-20.7,25,+/-44,44.6%,+/-55.4
Bachelor's degree or higher,33,+/-49,17.9%,+/-24.5,33,+/-49,25.8%,+/-44.0,0,+/-24,0.0%,+/-38.1
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,496,+/-265,(X),(X),231,+/-157,(X),(X),265,+/-132,(X),(X)
High school graduate or higher,172,+/-107,34.7%,+/-22.6,50,+/-54,21.6%,+/-28.5,122,+/-95,46.0%,+/-31.0
Bachelor's degree or higher,13,+/-19,2.6%,+/-4.5,0,+/-24,0.0%,+/-12.2,13,+/-19,4.9%,+/-8.2
Two or more races,70,+/-73,(X),(X),11,+/-17,(X),(X),59,+/-73,(X),(X)
High school graduate or higher,61,+/-73,87.1%,+/-26.7,2,+/-7,18.2%,+/-79.4,59,+/-73,100.0%,+/-37.0
Bachelor's degree or higher,0,+/-24,0.0%,+/-33.3,0,+/-24,0.0%,+/-85.9,0,+/-24,0.0%,+/-37.0
Hispanic or Latino Origin,"1,260",+/-176,(X),(X),687,+/-131,(X),(X),573,+/-105,(X),(X)
High school graduate or higher,583,+/-155,46.3%,+/-11.8,251,+/-114,36.5%,+/-15.2,332,+/-108,57.9%,+/-19.6
Bachelor's degree or higher,29,+/-27,2.3%,+/-2.1,14,+/-21,2.0%,+/-2.9,15,+/-19,2.6%,+/-3.3
