Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,407",+/-203,(X),(X),"1,729",+/-148,(X),(X),"1,678",+/-89,(X),(X)
Less than high school graduate,489,+/-146,14.4%,+/-4.0,300,+/-109,17.4%,+/-5.7,189,+/-95,11.3%,+/-5.7
High school graduate (includes equivalency),"1,119",+/-228,32.8%,+/-6.0,769,+/-148,44.5%,+/-7.7,350,+/-141,20.9%,+/-8.0
Some college or associate's degree,"1,449",+/-194,42.5%,+/-5.7,556,+/-108,32.2%,+/-6.4,893,+/-177,53.2%,+/-10.5
Bachelor's degree or higher,350,+/-138,10.3%,+/-4.1,104,+/-54,6.0%,+/-3.1,246,+/-127,14.7%,+/-7.6
Population 25 years and over,"28,562",+/-203,(X),(X),"14,041",+/-184,(X),(X),"14,521",+/-158,(X),(X)
Less than 9th grade,"1,413",+/-235,4.9%,+/-0.8,626,+/-198,4.5%,+/-1.4,787,+/-165,5.4%,+/-1.1
"9th to 12th grade, no diploma","2,021",+/-354,7.1%,+/-1.2,"1,168",+/-233,8.3%,+/-1.6,853,+/-197,5.9%,+/-1.3
High school graduate (includes equivalency),"11,519",+/-557,40.3%,+/-2.0,"5,796",+/-407,41.3%,+/-3.0,"5,723",+/-366,39.4%,+/-2.5
"Some college, no degree","4,499",+/-438,15.8%,+/-1.5,"2,318",+/-329,16.5%,+/-2.3,"2,181",+/-292,15.0%,+/-2.0
Associate's degree,"3,475",+/-326,12.2%,+/-1.1,"1,448",+/-219,10.3%,+/-1.6,"2,027",+/-258,14.0%,+/-1.8
Bachelor's degree,"4,004",+/-440,14.0%,+/-1.5,"1,920",+/-265,13.7%,+/-1.9,"2,084",+/-280,14.4%,+/-1.9
Graduate or professional degree,"1,631",+/-279,5.7%,+/-1.0,765,+/-162,5.4%,+/-1.1,866,+/-220,6.0%,+/-1.5
Percent high school graduate or higher,(X),(X),88.0%,+/-1.3,(X),(X),87.2%,+/-2.0,(X),(X),88.7%,+/-1.7
Percent bachelor's degree or higher,(X),(X),19.7%,+/-1.8,(X),(X),19.1%,+/-2.3,(X),(X),20.3%,+/-2.5
Population 25 to 34 years,"4,682",+/-222,(X),(X),"2,402",+/-155,(X),(X),"2,280",+/-109,(X),(X)
High school graduate or higher,"3,966",+/-180,84.7%,+/-5.0,"2,020",+/-132,84.1%,+/-6.5,"1,946",+/-128,85.4%,+/-5.6
Bachelor's degree or higher,"1,311",+/-230,28.0%,+/-4.7,559,+/-155,23.3%,+/-6.1,752,+/-155,33.0%,+/-7.0
Population 35 to 44 years,"5,022",+/-158,(X),(X),"2,512",+/-135,(X),(X),"2,510",+/-126,(X),(X)
High school graduate or higher,"4,550",+/-167,90.6%,+/-3.1,"2,283",+/-135,90.9%,+/-4.1,"2,267",+/-109,90.3%,+/-4.7
Bachelor's degree or higher,"1,228",+/-218,24.5%,+/-4.5,525,+/-132,20.9%,+/-5.3,703,+/-140,28.0%,+/-6.0
Population 45 to 64 years,"12,100",+/-133,(X),(X),"6,254",+/-105,(X),(X),"5,846",+/-74,(X),(X)
High school graduate or higher,"11,259",+/-198,93.0%,+/-1.5,"5,662",+/-156,90.5%,+/-2.4,"5,597",+/-123,95.7%,+/-1.8
Bachelor's degree or higher,"2,234",+/-286,18.5%,+/-2.4,"1,081",+/-182,17.3%,+/-3.0,"1,153",+/-191,19.7%,+/-3.3
Population 65 years and over,"6,758",+/-70,(X),(X),"2,873",+/-60,(X),(X),"3,885",+/-36,(X),(X)
High school graduate or higher,"5,353",+/-211,79.2%,+/-3.1,"2,282",+/-103,79.4%,+/-4.1,"3,071",+/-165,79.0%,+/-4.2
Bachelor's degree or higher,862,+/-219,12.8%,+/-3.2,520,+/-131,18.1%,+/-4.6,342,+/-157,8.8%,+/-4.0
