Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"3,254",+/-131,(X),(X),"1,711",+/-126,(X),(X),"1,543",+/-64,(X),(X)
Less than high school graduate,483,+/-138,14.8%,+/-4.1,285,+/-107,16.7%,+/-5.7,198,+/-93,12.8%,+/-5.9
High school graduate (includes equivalency),"1,064",+/-267,32.7%,+/-7.7,685,+/-162,40.0%,+/-8.4,379,+/-146,24.6%,+/-9.5
Some college or associate's degree,"1,329",+/-199,40.8%,+/-6.6,636,+/-128,37.2%,+/-8.3,693,+/-156,44.9%,+/-10.0
Bachelor's degree or higher,378,+/-133,11.6%,+/-4.1,105,+/-65,6.1%,+/-3.9,273,+/-120,17.7%,+/-7.8
Population 25 years and over,"28,503",+/-152,(X),(X),"13,989",+/-153,(X),(X),"14,514",+/-115,(X),(X)
Less than 9th grade,"1,701",+/-276,6.0%,+/-1.0,756,+/-192,5.4%,+/-1.4,945,+/-188,6.5%,+/-1.3
"9th to 12th grade, no diploma","1,746",+/-287,6.1%,+/-1.0,944,+/-204,6.7%,+/-1.5,802,+/-161,5.5%,+/-1.1
High school graduate (includes equivalency),"11,938",+/-577,41.9%,+/-2.0,"5,991",+/-357,42.8%,+/-2.6,"5,947",+/-372,41.0%,+/-2.5
"Some college, no degree","4,365",+/-457,15.3%,+/-1.6,"2,372",+/-301,17.0%,+/-2.1,"1,993",+/-321,13.7%,+/-2.2
Associate's degree,"3,424",+/-364,12.0%,+/-1.3,"1,403",+/-232,10.0%,+/-1.7,"2,021",+/-276,13.9%,+/-1.9
Bachelor's degree,"3,682",+/-380,12.9%,+/-1.3,"1,727",+/-259,12.3%,+/-1.8,"1,955",+/-253,13.5%,+/-1.7
Graduate or professional degree,"1,647",+/-262,5.8%,+/-0.9,796,+/-169,5.7%,+/-1.2,851,+/-167,5.9%,+/-1.2
Percent high school graduate or higher,(X),(X),87.9%,+/-1.3,(X),(X),87.8%,+/-1.9,(X),(X),88.0%,+/-1.5
Percent bachelor's degree or higher,(X),(X),18.7%,+/-1.7,(X),(X),18.0%,+/-2.1,(X),(X),19.3%,+/-2.1
Population 25 to 34 years,"4,588",+/-190,(X),(X),"2,384",+/-141,(X),(X),"2,204",+/-93,(X),(X)
High school graduate or higher,"4,022",+/-202,87.7%,+/-4.0,"2,090",+/-149,87.7%,+/-5.4,"1,932",+/-107,87.7%,+/-4.6
Bachelor's degree or higher,"1,233",+/-219,26.9%,+/-4.8,490,+/-129,20.6%,+/-5.2,743,+/-148,33.7%,+/-6.9
Population 35 to 44 years,"5,135",+/-211,(X),(X),"2,561",+/-123,(X),(X),"2,574",+/-140,(X),(X)
High school graduate or higher,"4,537",+/-140,88.4%,+/-3.6,"2,299",+/-118,89.8%,+/-4.3,"2,238",+/-94,86.9%,+/-4.7
Bachelor's degree or higher,"1,236",+/-258,24.1%,+/-5.2,531,+/-159,20.7%,+/-6.4,705,+/-143,27.4%,+/-5.8
Population 45 to 64 years,"12,175",+/-170,(X),(X),"6,240",+/-124,(X),(X),"5,935",+/-76,(X),(X)
High school graduate or higher,"11,224",+/-254,92.2%,+/-2.0,"5,663",+/-179,90.8%,+/-2.8,"5,561",+/-128,93.7%,+/-2.0
Bachelor's degree or higher,"2,052",+/-298,16.9%,+/-2.4,"1,038",+/-186,16.6%,+/-2.9,"1,014",+/-195,17.1%,+/-3.2
Population 65 years and over,"6,605",+/-86,(X),(X),"2,804",+/-82,(X),(X),"3,801",+/-35,(X),(X)
High school graduate or higher,"5,273",+/-176,79.8%,+/-2.6,"2,237",+/-98,79.8%,+/-3.9,"3,036",+/-147,79.9%,+/-3.8
Bachelor's degree or higher,808,+/-177,12.2%,+/-2.7,464,+/-132,16.5%,+/-4.7,344,+/-114,9.1%,+/-3.0
