RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,563",+/-70,(X),(X),"6,559",+/-40,(X),(X),"7,004",+/-40,(X),(X)
High school graduate or higher,"11,243",+/-265,82.9%,+/-2.1,"5,437",+/-165,82.9%,+/-2.5,"5,806",+/-169,82.9%,+/-2.5
Bachelor's degree or higher,"1,364",+/-207,10.1%,+/-1.5,596,+/-134,9.1%,+/-2.0,768,+/-126,11.0%,+/-1.8
"White alone, not Hispanic or Latino","13,358",+/-21,(X),(X),"6,465",+/-21,(X),(X),"6,893",+/-21,(X),(X)
High school graduate or higher,"11,144",+/-255,83.4%,+/-1.9,"5,395",+/-159,83.4%,+/-2.5,"5,749",+/-161,83.4%,+/-2.3
Bachelor's degree or higher,"1,364",+/-207,10.2%,+/-1.5,596,+/-134,9.2%,+/-2.1,768,+/-126,11.1%,+/-1.8
Black alone,53,+/-32,(X),(X),16,+/-21,(X),(X),37,+/-31,(X),(X)
High school graduate or higher,39,+/-32,73.6%,+/-38.1,2,+/-3,12.5%,+/-39.5,37,+/-31,100.0%,+/-46.8
Bachelor's degree or higher,0,+/-21,0.0%,+/-39.1,0,+/-21,0.0%,+/-71.2,0,+/-21,0.0%,+/-46.8
American Indian or Alaska Native alone,29,+/-25,(X),(X),18,+/-27,(X),(X),11,+/-19,(X),(X)
High school graduate or higher,11,+/-19,37.9%,+/-62.1,0,+/-21,0.0%,+/-67.2,11,+/-19,100.0%,+/-85.9
Bachelor's degree or higher,0,+/-21,0.0%,+/-52.9,0,+/-21,0.0%,+/-67.2,0,+/-21,0.0%,+/-85.9
Asian alone,99,+/-54,(X),(X),31,+/-29,(X),(X),68,+/-39,(X),(X)
High school graduate or higher,88,+/-58,88.9%,+/-19.1,31,+/-29,100.0%,+/-51.2,57,+/-40,83.8%,+/-25.3
Bachelor's degree or higher,78,+/-65,78.8%,+/-32.5,26,+/-32,83.9%,+/-45.7,52,+/-42,76.5%,+/-32.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,25,+/-24,(X),(X),3,+/-7,(X),(X),22,+/-23,(X),(X)
High school graduate or higher,25,+/-24,100.0%,+/-57.0,3,+/-7,100.0%,+/-100.0,22,+/-23,100.0%,+/-60.7
Bachelor's degree or higher,8,+/-13,32.0%,+/-47.7,0,+/-21,0.0%,+/-100.0,8,+/-13,36.4%,+/-57.6
Two or more races,102,+/-56,(X),(X),21,+/-29,(X),(X),81,+/-63,(X),(X)
High school graduate or higher,84,+/-65,82.4%,+/-32.0,3,+/-6,14.3%,+/-40.4,81,+/-63,100.0%,+/-30.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-25.1,0,+/-21,0.0%,+/-62.2,0,+/-21,0.0%,+/-30.0
Hispanic or Latino Origin,230,+/-63,(X),(X),97,+/-42,(X),(X),133,+/-37,(X),(X)
High school graduate or higher,124,+/-75,53.9%,+/-39.1,45,+/-47,46.4%,+/-47.0,79,+/-46,59.4%,+/-38.3
Bachelor's degree or higher,8,+/-13,3.5%,+/-5.9,0,+/-21,0.0%,+/-26.1,8,+/-13,6.0%,+/-10.3
