Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,783",+/-58,(X),(X),906,+/-28,(X),(X),877,+/-41,(X),(X)
Less than high school graduate,305,+/-77,17.1%,+/-4.4,181,+/-59,20.0%,+/-6.6,124,+/-50,14.1%,+/-5.7
High school graduate (includes equivalency),824,+/-119,46.2%,+/-5.9,484,+/-75,53.4%,+/-7.6,340,+/-69,38.8%,+/-7.5
Some college or associate's degree,605,+/-105,33.9%,+/-6.0,232,+/-61,25.6%,+/-6.9,373,+/-76,42.5%,+/-8.9
Bachelor's degree or higher,49,+/-37,2.7%,+/-2.1,9,+/-13,1.0%,+/-1.4,40,+/-36,4.6%,+/-4.0
Population 25 years and over,"13,920",+/-63,(X),(X),"6,691",+/-49,(X),(X),"7,229",+/-62,(X),(X)
Less than 9th grade,661,+/-166,4.7%,+/-1.2,328,+/-89,4.9%,+/-1.3,333,+/-103,4.6%,+/-1.4
"9th to 12th grade, no diploma","1,551",+/-161,11.1%,+/-1.2,727,+/-121,10.9%,+/-1.8,824,+/-138,11.4%,+/-1.9
High school graduate (includes equivalency),"6,759",+/-311,48.6%,+/-2.2,"3,452",+/-216,51.6%,+/-3.1,"3,307",+/-197,45.7%,+/-2.7
"Some college, no degree","2,455",+/-181,17.6%,+/-1.3,"1,157",+/-146,17.3%,+/-2.2,"1,298",+/-146,18.0%,+/-2.1
Associate's degree,"1,086",+/-168,7.8%,+/-1.2,459,+/-104,6.9%,+/-1.6,627,+/-118,8.7%,+/-1.6
Bachelor's degree,923,+/-152,6.6%,+/-1.1,380,+/-111,5.7%,+/-1.7,543,+/-105,7.5%,+/-1.5
Graduate or professional degree,485,+/-93,3.5%,+/-0.7,188,+/-60,2.8%,+/-0.9,297,+/-67,4.1%,+/-0.9
Percent high school graduate or higher,(X),(X),84.1%,+/-1.7,(X),(X),84.2%,+/-2.4,(X),(X),84.0%,+/-2.3
Percent bachelor's degree or higher,(X),(X),10.1%,+/-1.4,(X),(X),8.5%,+/-1.9,(X),(X),11.6%,+/-1.7
Population 25 to 34 years,"2,372",+/-74,(X),(X),"1,204",+/-45,(X),(X),"1,168",+/-44,(X),(X)
High school graduate or higher,"2,004",+/-151,84.5%,+/-5.6,974,+/-96,80.9%,+/-6.8,"1,030",+/-79,88.2%,+/-6.1
Bachelor's degree or higher,279,+/-79,11.8%,+/-3.4,46,+/-32,3.8%,+/-2.7,233,+/-71,19.9%,+/-6.1
Population 35 to 44 years,"2,473",+/-44,(X),(X),"1,229",+/-24,(X),(X),"1,244",+/-28,(X),(X)
High school graduate or higher,"2,108",+/-76,85.2%,+/-3.4,"1,008",+/-70,82.0%,+/-5.9,"1,100",+/-48,88.4%,+/-4.4
Bachelor's degree or higher,234,+/-71,9.5%,+/-2.9,81,+/-37,6.6%,+/-3.0,153,+/-56,12.3%,+/-4.5
Population 45 to 64 years,"5,583",+/-45,(X),(X),"2,752",+/-30,(X),(X),"2,831",+/-24,(X),(X)
High school graduate or higher,"4,908",+/-145,87.9%,+/-2.5,"2,464",+/-74,89.5%,+/-2.4,"2,444",+/-124,86.3%,+/-4.2
Bachelor's degree or higher,542,+/-127,9.7%,+/-2.3,231,+/-92,8.4%,+/-3.4,311,+/-82,11.0%,+/-2.9
Population 65 years and over,"3,492",+/-50,(X),(X),"1,506",+/-23,(X),(X),"1,986",+/-46,(X),(X)
High school graduate or higher,"2,688",+/-132,77.0%,+/-3.4,"1,190",+/-72,79.0%,+/-4.6,"1,498",+/-101,75.4%,+/-4.7
Bachelor's degree or higher,353,+/-90,10.1%,+/-2.6,210,+/-64,13.9%,+/-4.2,143,+/-45,7.2%,+/-2.3
