RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,699",+/-53,(X),(X),"6,603",+/-30,(X),(X),"7,096",+/-34,(X),(X)
High school graduate or higher,"11,517",+/-247,84.1%,+/-1.7,"5,575",+/-158,84.4%,+/-2.3,"5,942",+/-174,83.7%,+/-2.4
Bachelor's degree or higher,"1,352",+/-186,9.9%,+/-1.4,556,+/-126,8.4%,+/-1.9,796,+/-116,11.2%,+/-1.6
"White alone, not Hispanic or Latino","13,457",+/-21,(X),(X),"6,488",+/-21,(X),(X),"6,969",+/-21,(X),(X)
High school graduate or higher,"11,344",+/-223,84.3%,+/-1.7,"5,492",+/-151,84.6%,+/-2.3,"5,852",+/-166,84.0%,+/-2.4
Bachelor's degree or higher,"1,352",+/-186,10.0%,+/-1.4,556,+/-126,8.6%,+/-1.9,796,+/-116,11.4%,+/-1.7
Black alone,83,+/-47,(X),(X),39,+/-30,(X),(X),44,+/-48,(X),(X)
High school graduate or higher,68,+/-48,81.9%,+/-24.7,24,+/-23,61.5%,+/-43.9,44,+/-48,100.0%,+/-43.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-29.5,0,+/-21,0.0%,+/-45.6,0,+/-21,0.0%,+/-43.0
American Indian or Alaska Native alone,36,+/-18,(X),(X),12,+/-12,(X),(X),24,+/-14,(X),(X)
High school graduate or higher,26,+/-17,72.2%,+/-35.9,5,+/-8,41.7%,+/-50.3,21,+/-15,87.5%,+/-29.5
Bachelor's degree or higher,4,+/-8,11.1%,+/-20.9,0,+/-21,0.0%,+/-82.3,4,+/-8,16.7%,+/-38.1
Asian alone,44,+/-35,(X),(X),14,+/-17,(X),(X),30,+/-22,(X),(X)
High school graduate or higher,44,+/-35,100.0%,+/-43.0,14,+/-17,100.0%,+/-76.1,30,+/-22,100.0%,+/-52.0
Bachelor's degree or higher,34,+/-34,77.3%,+/-31.2,12,+/-16,85.7%,+/-43.6,22,+/-21,73.3%,+/-33.0
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,5,+/-7,(X),(X),3,+/-7,(X),(X),2,+/-3,(X),(X)
High school graduate or higher,5,+/-7,100.0%,+/-100.0,3,+/-7,100.0%,+/-100.0,2,+/-3,100.0%,+/-100.0
Bachelor's degree or higher,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0,0,+/-21,0.0%,+/-100.0
Two or more races,53,+/-27,(X),(X),20,+/-20,(X),(X),33,+/-18,(X),(X)
High school graduate or higher,48,+/-25,90.6%,+/-13.1,15,+/-19,75.0%,+/-36.0,33,+/-18,100.0%,+/-49.6
Bachelor's degree or higher,18,+/-21,34.0%,+/-39.3,0,+/-21,0.0%,+/-63.7,18,+/-21,54.5%,+/-50.1
Hispanic or Latino Origin,247,+/-52,(X),(X),118,+/-30,(X),(X),129,+/-34,(X),(X)
High school graduate or higher,178,+/-89,72.1%,+/-30.7,86,+/-54,72.9%,+/-33.0,92,+/-40,71.3%,+/-29.5
Bachelor's degree or higher,0,+/-21,0.0%,+/-11.4,0,+/-21,0.0%,+/-22.2,0,+/-21,0.0%,+/-20.6
