Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,790",+/-62,(X),(X),925,+/-38,(X),(X),865,+/-38,(X),(X)
Less than high school graduate,370,+/-86,20.7%,+/-4.7,263,+/-65,28.4%,+/-6.8,107,+/-49,12.4%,+/-5.5
High school graduate (includes equivalency),877,+/-122,49.0%,+/-6.7,478,+/-60,51.7%,+/-6.6,399,+/-87,46.1%,+/-10.0
Some college or associate's degree,445,+/-101,24.9%,+/-5.6,144,+/-53,15.6%,+/-5.7,301,+/-76,34.8%,+/-8.9
Bachelor's degree or higher,98,+/-56,5.5%,+/-3.1,40,+/-30,4.3%,+/-3.2,58,+/-38,6.7%,+/-4.3
Population 25 years and over,"13,871",+/-81,(X),(X),"6,648",+/-66,(X),(X),"7,223",+/-82,(X),(X)
Less than 9th grade,768,+/-198,5.5%,+/-1.4,421,+/-121,6.3%,+/-1.8,347,+/-101,4.8%,+/-1.4
"9th to 12th grade, no diploma","1,613",+/-194,11.6%,+/-1.4,751,+/-135,11.3%,+/-2.0,862,+/-146,11.9%,+/-2.0
High school graduate (includes equivalency),"6,637",+/-299,47.8%,+/-2.1,"3,255",+/-185,49.0%,+/-2.8,"3,382",+/-202,46.8%,+/-2.7
"Some college, no degree","2,338",+/-209,16.9%,+/-1.5,"1,138",+/-126,17.1%,+/-1.9,"1,200",+/-155,16.6%,+/-2.2
Associate's degree,"1,065",+/-167,7.7%,+/-1.2,461,+/-109,6.9%,+/-1.6,604,+/-114,8.4%,+/-1.6
Bachelor's degree,916,+/-170,6.6%,+/-1.2,370,+/-98,5.6%,+/-1.5,546,+/-115,7.6%,+/-1.6
Graduate or professional degree,534,+/-125,3.8%,+/-0.9,252,+/-82,3.8%,+/-1.2,282,+/-71,3.9%,+/-1.0
Percent high school graduate or higher,(X),(X),82.8%,+/-2.0,(X),(X),82.4%,+/-2.5,(X),(X),83.3%,+/-2.4
Percent bachelor's degree or higher,(X),(X),10.5%,+/-1.6,(X),(X),9.4%,+/-2.0,(X),(X),11.5%,+/-1.8
Population 25 to 34 years,"2,284",+/-51,(X),(X),"1,166",+/-39,(X),(X),"1,118",+/-30,(X),(X)
High school graduate or higher,"1,890",+/-153,82.7%,+/-6.8,945,+/-98,81.0%,+/-8.4,945,+/-77,84.5%,+/-7.0
Bachelor's degree or higher,284,+/-91,12.4%,+/-4.0,81,+/-49,6.9%,+/-4.2,203,+/-78,18.2%,+/-7.1
Population 35 to 44 years,"2,418",+/-74,(X),(X),"1,181",+/-29,(X),(X),"1,237",+/-61,(X),(X)
High school graduate or higher,"2,066",+/-95,85.4%,+/-3.9,929,+/-70,78.7%,+/-6.6,"1,137",+/-74,91.9%,+/-4.2
Bachelor's degree or higher,280,+/-96,11.6%,+/-3.9,87,+/-46,7.4%,+/-3.9,193,+/-67,15.6%,+/-5.3
Population 45 to 64 years,"5,555",+/-71,(X),(X),"2,733",+/-30,(X),(X),"2,822",+/-52,(X),(X)
High school graduate or higher,"4,795",+/-158,86.3%,+/-2.7,"2,372",+/-85,86.8%,+/-3.1,"2,423",+/-121,85.9%,+/-4.1
Bachelor's degree or higher,490,+/-103,8.8%,+/-1.9,227,+/-75,8.3%,+/-2.8,263,+/-70,9.3%,+/-2.5
Population 65 years and over,"3,614",+/-71,(X),(X),"1,568",+/-41,(X),(X),"2,046",+/-58,(X),(X)
High school graduate or higher,"2,739",+/-147,75.8%,+/-3.7,"1,230",+/-72,78.4%,+/-4.3,"1,509",+/-114,73.8%,+/-5.2
Bachelor's degree or higher,396,+/-102,11.0%,+/-2.8,227,+/-67,14.5%,+/-4.2,169,+/-53,8.3%,+/-2.6
