Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,882",+/-41,(X),(X),"1,475",+/-34,(X),(X),"1,407",+/-23,(X),(X)
Less than high school graduate,977,+/-167,33.9%,+/-5.7,426,+/-119,28.9%,+/-8.1,551,+/-123,39.2%,+/-8.5
High school graduate (includes equivalency),"1,015",+/-206,35.2%,+/-7.2,589,+/-142,39.9%,+/-9.6,426,+/-101,30.3%,+/-7.3
Some college or associate's degree,726,+/-158,25.2%,+/-5.4,387,+/-108,26.2%,+/-7.3,339,+/-88,24.1%,+/-6.3
Bachelor's degree or higher,164,+/-101,5.7%,+/-3.5,73,+/-59,4.9%,+/-4.0,91,+/-57,6.5%,+/-4.1
Population 25 years and over,"20,912",+/-71,(X),(X),"10,066",+/-71,(X),(X),"10,846",+/-73,(X),(X)
Less than 9th grade,"1,551",+/-265,7.4%,+/-1.3,765,+/-135,7.6%,+/-1.3,786,+/-169,7.2%,+/-1.6
"9th to 12th grade, no diploma","1,548",+/-207,7.4%,+/-1.0,810,+/-174,8.0%,+/-1.7,738,+/-163,6.8%,+/-1.5
High school graduate (includes equivalency),"9,221",+/-406,44.1%,+/-1.9,"4,580",+/-303,45.5%,+/-3.0,"4,641",+/-277,42.8%,+/-2.6
"Some college, no degree","3,890",+/-351,18.6%,+/-1.7,"1,568",+/-247,15.6%,+/-2.4,"2,322",+/-262,21.4%,+/-2.4
Associate's degree,"1,567",+/-202,7.5%,+/-1.0,648,+/-139,6.4%,+/-1.4,919,+/-132,8.5%,+/-1.2
Bachelor's degree,"2,061",+/-242,9.9%,+/-1.2,"1,186",+/-180,11.8%,+/-1.8,875,+/-175,8.1%,+/-1.6
Graduate or professional degree,"1,074",+/-176,5.1%,+/-0.8,509,+/-111,5.1%,+/-1.1,565,+/-132,5.2%,+/-1.2
Percent high school graduate or higher,(X),(X),85.2%,+/-1.6,(X),(X),84.4%,+/-2.1,(X),(X),85.9%,+/-2.2
Percent bachelor's degree or higher,(X),(X),15.0%,+/-1.6,(X),(X),16.8%,+/-2.0,(X),(X),13.3%,+/-2.0
Population 25 to 34 years,"3,931",+/-81,(X),(X),"2,027",+/-71,(X),(X),"1,904",+/-39,(X),(X)
High school graduate or higher,"3,107",+/-216,79.0%,+/-5.1,"1,635",+/-123,80.7%,+/-5.2,"1,472",+/-129,77.3%,+/-6.6
Bachelor's degree or higher,619,+/-162,15.7%,+/-4.0,284,+/-107,14.0%,+/-5.1,335,+/-101,17.6%,+/-5.4
Population 35 to 44 years,"3,890",+/-71,(X),(X),"1,941",+/-61,(X),(X),"1,949",+/-49,(X),(X)
High school graduate or higher,"3,217",+/-209,82.7%,+/-5.0,"1,551",+/-140,79.9%,+/-6.4,"1,666",+/-108,85.5%,+/-5.4
Bachelor's degree or higher,837,+/-176,21.5%,+/-4.5,389,+/-110,20.0%,+/-5.7,448,+/-110,23.0%,+/-5.6
Population 45 to 64 years,"8,141",+/-93,(X),(X),"4,029",+/-68,(X),(X),"4,112",+/-66,(X),(X)
High school graduate or higher,"7,335",+/-169,90.1%,+/-1.9,"3,582",+/-116,88.9%,+/-2.5,"3,753",+/-119,91.3%,+/-2.6
Bachelor's degree or higher,"1,109",+/-213,13.6%,+/-2.6,630,+/-131,15.6%,+/-3.2,479,+/-123,11.6%,+/-3.0
Population 65 years and over,"4,950",+/-66,(X),(X),"2,069",+/-33,(X),(X),"2,881",+/-59,(X),(X)
High school graduate or higher,"4,154",+/-129,83.9%,+/-2.4,"1,723",+/-93,83.3%,+/-4.5,"2,431",+/-120,84.4%,+/-3.5
Bachelor's degree or higher,570,+/-132,11.5%,+/-2.7,392,+/-96,18.9%,+/-4.6,178,+/-75,6.2%,+/-2.6
