RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"20,420",+/-88,(X),(X),"9,856",+/-85,(X),(X),"10,564",+/-50,(X),(X)
High school graduate or higher,"17,326",+/-384,84.8%,+/-1.8,"8,305",+/-222,84.3%,+/-2.2,"9,021",+/-248,85.4%,+/-2.3
Bachelor's degree or higher,"3,197",+/-386,15.7%,+/-1.9,"1,630",+/-268,16.5%,+/-2.7,"1,567",+/-203,14.8%,+/-1.9
"White alone, not Hispanic or Latino","19,853",+/-57,(X),(X),"9,552",+/-57,(X),(X),"10,301",+/-24,(X),(X)
High school graduate or higher,"16,873",+/-363,85.0%,+/-1.8,"8,076",+/-210,84.5%,+/-2.1,"8,797",+/-242,85.4%,+/-2.3
Bachelor's degree or higher,"3,077",+/-378,15.5%,+/-1.9,"1,534",+/-249,16.1%,+/-2.6,"1,543",+/-204,15.0%,+/-2.0
Black alone,51,+/-32,(X),(X),21,+/-22,(X),(X),30,+/-23,(X),(X)
High school graduate or higher,10,+/-14,19.6%,+/-28.3,9,+/-14,42.9%,+/-57.1,1,+/-3,3.3%,+/-10.1
Bachelor's degree or higher,1,+/-3,2.0%,+/-5.9,0,+/-24,0.0%,+/-62.2,1,+/-3,3.3%,+/-10.1
American Indian or Alaska Native alone,16,+/-17,(X),(X),16,+/-17,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,16,+/-17,100.0%,+/-71.2,16,+/-17,100.0%,+/-71.2,0,+/-24,-,**
Bachelor's degree or higher,15,+/-17,93.8%,+/-19.8,15,+/-17,93.8%,+/-19.8,0,+/-24,-,**
Asian alone,82,+/-30,(X),(X),14,+/-16,(X),(X),68,+/-25,(X),(X)
High school graduate or higher,79,+/-30,96.3%,+/-7.2,11,+/-16,78.6%,+/-52.8,68,+/-25,100.0%,+/-33.9
Bachelor's degree or higher,32,+/-23,39.0%,+/-30.8,0,+/-24,0.0%,+/-76.1,32,+/-23,47.1%,+/-33.6
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,285,+/-81,(X),(X),169,+/-73,(X),(X),116,+/-49,(X),(X)
High school graduate or higher,142,+/-66,49.8%,+/-19.4,69,+/-49,40.8%,+/-26.0,73,+/-40,62.9%,+/-27.6
Bachelor's degree or higher,24,+/-32,8.4%,+/-10.4,0,+/-24,0.0%,+/-16.2,24,+/-32,20.7%,+/-21.3
Two or more races,88,+/-68,(X),(X),32,+/-33,(X),(X),56,+/-50,(X),(X)
High school graduate or higher,69,+/-53,78.4%,+/-24.1,32,+/-33,100.0%,+/-50.4,37,+/-44,66.1%,+/-42.5
Bachelor's degree or higher,0,+/-24,0.0%,+/-28.2,0,+/-24,0.0%,+/-50.4,0,+/-24,0.0%,+/-38.1
Hispanic or Latino Origin,806,+/-47,(X),(X),427,+/-41,(X),(X),379,+/-22,(X),(X)
High school graduate or higher,596,+/-88,73.9%,+/-10.1,299,+/-69,70.0%,+/-13.2,297,+/-51,78.4%,+/-12.5
Bachelor's degree or higher,144,+/-87,17.9%,+/-10.8,96,+/-79,22.5%,+/-18.2,48,+/-39,12.7%,+/-10.4
