RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"20,484",+/-78,(X),(X),"9,845",+/-62,(X),(X),"10,639",+/-48,(X),(X)
High school graduate or higher,"17,198",+/-367,84.0%,+/-1.7,"8,194",+/-216,83.2%,+/-2.0,"9,004",+/-235,84.6%,+/-2.2
Bachelor's degree or higher,"3,101",+/-366,15.1%,+/-1.8,"1,616",+/-243,16.4%,+/-2.5,"1,485",+/-202,14.0%,+/-1.9
"White alone, not Hispanic or Latino","19,980",+/-22,(X),(X),"9,635",+/-22,(X),(X),"10,345",+/-24,(X),(X)
High school graduate or higher,"16,782",+/-351,84.0%,+/-1.7,"8,034",+/-198,83.4%,+/-2.0,"8,748",+/-225,84.6%,+/-2.2
Bachelor's degree or higher,"3,024",+/-369,15.1%,+/-1.8,"1,563",+/-245,16.2%,+/-2.5,"1,461",+/-200,14.1%,+/-1.9
Black alone,109,+/-69,(X),(X),44,+/-40,(X),(X),65,+/-83,(X),(X)
High school graduate or higher,42,+/-40,38.5%,+/-51.5,41,+/-40,93.2%,+/-20.8,1,+/-3,1.5%,+/-5.3
Bachelor's degree or higher,1,+/-3,0.9%,+/-2.6,0,+/-24,0.0%,+/-43.0,1,+/-3,1.5%,+/-5.3
American Indian or Alaska Native alone,16,+/-26,(X),(X),16,+/-26,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,16,+/-26,100.0%,+/-71.2,16,+/-26,100.0%,+/-71.2,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,0.0%,+/-71.2,0,+/-24,0.0%,+/-71.2,0,+/-24,-,**
Asian alone,93,+/-43,(X),(X),29,+/-29,(X),(X),64,+/-28,(X),(X)
High school graduate or higher,90,+/-45,96.8%,+/-8.0,26,+/-30,89.7%,+/-31.7,64,+/-28,100.0%,+/-35.3
Bachelor's degree or higher,21,+/-31,22.6%,+/-38.8,0,+/-24,0.0%,+/-52.9,21,+/-31,32.8%,+/-45.4
Native Hawaiian and Other Pacific Islander alone,0,+/-24,(X),(X),0,+/-24,(X),(X),0,+/-24,(X),(X)
High school graduate or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Bachelor's degree or higher,0,+/-24,-,**,0,+/-24,-,**,0,+/-24,-,**
Some other race alone,262,+/-82,(X),(X),147,+/-72,(X),(X),115,+/-44,(X),(X)
High school graduate or higher,183,+/-72,69.8%,+/-14.8,98,+/-62,66.7%,+/-22.3,85,+/-38,73.9%,+/-20.7
Bachelor's degree or higher,6,+/-10,2.3%,+/-4.1,0,+/-24,0.0%,+/-18.4,6,+/-10,5.2%,+/-9.7
Two or more races,88,+/-68,(X),(X),22,+/-29,(X),(X),66,+/-48,(X),(X)
High school graduate or higher,73,+/-51,83.0%,+/-20.4,22,+/-29,100.0%,+/-60.7,51,+/-40,77.3%,+/-31.1
Bachelor's degree or higher,0,+/-24,0.0%,+/-28.2,0,+/-24,0.0%,+/-60.7,0,+/-24,0.0%,+/-34.6
Hispanic or Latino Origin,774,+/-53,(X),(X),358,+/-64,(X),(X),416,+/-61,(X),(X)
High school graduate or higher,622,+/-82,80.4%,+/-9.1,274,+/-75,76.5%,+/-13.9,348,+/-70,83.7%,+/-12.2
Bachelor's degree or higher,83,+/-56,10.7%,+/-7.2,53,+/-53,14.8%,+/-14.4,30,+/-20,7.2%,+/-5.2
