RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"13,134",+/-44,(X),(X),"6,846",+/-34,(X),(X),"6,288",+/-33,(X),(X)
High school graduate or higher,"11,243",+/-188,85.6%,+/-1.4,"5,842",+/-113,85.3%,+/-1.5,"5,401",+/-121,85.9%,+/-1.9
Bachelor's degree or higher,"1,515",+/-201,11.5%,+/-1.5,736,+/-112,10.8%,+/-1.6,779,+/-133,12.4%,+/-2.1
"White alone, not Hispanic or Latino","13,064",+/-18,(X),(X),"6,805",+/-18,(X),(X),"6,259",+/-18,(X),(X)
High school graduate or higher,"11,191",+/-187,85.7%,+/-1.4,"5,813",+/-105,85.4%,+/-1.5,"5,378",+/-119,85.9%,+/-1.9
Bachelor's degree or higher,"1,515",+/-201,11.6%,+/-1.5,736,+/-112,10.8%,+/-1.6,779,+/-133,12.4%,+/-2.1
Black alone,354,+/-107,(X),(X),296,+/-108,(X),(X),58,+/-60,(X),(X)
High school graduate or higher,299,+/-91,84.5%,+/-13.5,241,+/-88,81.4%,+/-15.3,58,+/-60,100.0%,+/-37.4
Bachelor's degree or higher,48,+/-50,13.6%,+/-14.4,40,+/-48,13.5%,+/-14.8,8,+/-14,13.8%,+/-38.2
American Indian or Alaska Native alone,15,+/-27,(X),(X),15,+/-27,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,15,+/-27,100.0%,+/-73.6,15,+/-27,100.0%,+/-73.6,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-73.6,0,+/-18,0.0%,+/-73.6,0,+/-18,-,**
Asian alone,33,+/-27,(X),(X),20,+/-19,(X),(X),13,+/-22,(X),(X)
High school graduate or higher,26,+/-23,78.8%,+/-36.8,20,+/-19,100.0%,+/-63.7,6,+/-13,46.2%,+/-53.8
Bachelor's degree or higher,1,+/-2,3.0%,+/-7.0,1,+/-2,5.0%,+/-11.9,0,+/-18,0.0%,+/-79.0
Native Hawaiian and Other Pacific Islander alone,0,+/-18,(X),(X),0,+/-18,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,-,**,0,+/-18,-,**,0,+/-18,-,**
Some other race alone,44,+/-52,(X),(X),44,+/-52,(X),(X),0,+/-18,(X),(X)
High school graduate or higher,44,+/-52,100.0%,+/-43.0,44,+/-52,100.0%,+/-43.0,0,+/-18,-,**
Bachelor's degree or higher,0,+/-18,0.0%,+/-43.0,0,+/-18,0.0%,+/-43.0,0,+/-18,-,**
Two or more races,77,+/-71,(X),(X),25,+/-25,(X),(X),52,+/-59,(X),(X)
High school graduate or higher,77,+/-71,100.0%,+/-31.1,25,+/-25,100.0%,+/-57.0,52,+/-59,100.0%,+/-39.5
Bachelor's degree or higher,0,+/-18,0.0%,+/-31.1,0,+/-18,0.0%,+/-57.0,0,+/-18,0.0%,+/-39.5
Hispanic or Latino Origin,122,+/-52,(X),(X),93,+/-50,(X),(X),29,+/-33,(X),(X)
High school graduate or higher,104,+/-49,85.2%,+/-19.3,81,+/-47,87.1%,+/-17.2,23,+/-32,79.3%,+/-44.2
Bachelor's degree or higher,0,+/-18,0.0%,+/-21.6,0,+/-18,0.0%,+/-27.0,0,+/-18,0.0%,+/-52.9
