Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"1,508",+/-72,(X),(X),908,+/-72,(X),(X),600,+/-18,(X),(X)
Less than high school graduate,417,+/-123,27.7%,+/-7.5,290,+/-109,31.9%,+/-10.6,127,+/-60,21.2%,+/-10.1
High school graduate (includes equivalency),579,+/-102,38.4%,+/-7.2,332,+/-87,36.6%,+/-9.9,247,+/-58,41.2%,+/-9.7
Some college or associate's degree,448,+/-116,29.7%,+/-7.7,280,+/-90,30.8%,+/-10.3,168,+/-60,28.0%,+/-10.0
Bachelor's degree or higher,64,+/-37,4.2%,+/-2.5,6,+/-11,0.7%,+/-1.2,58,+/-36,9.7%,+/-5.9
Population 25 years and over,"13,635",+/-125,(X),(X),"7,293",+/-118,(X),(X),"6,342",+/-85,(X),(X)
Less than 9th grade,542,+/-128,4.0%,+/-0.9,324,+/-96,4.4%,+/-1.3,218,+/-67,3.4%,+/-1.1
"9th to 12th grade, no diploma","1,108",+/-167,8.1%,+/-1.2,643,+/-119,8.8%,+/-1.6,465,+/-103,7.3%,+/-1.6
High school graduate (includes equivalency),"6,623",+/-360,48.6%,+/-2.6,"3,902",+/-245,53.5%,+/-3.2,"2,721",+/-214,42.9%,+/-3.4
"Some college, no degree","2,126",+/-255,15.6%,+/-1.8,972,+/-159,13.3%,+/-2.1,"1,154",+/-166,18.2%,+/-2.6
Associate's degree,"1,286",+/-201,9.4%,+/-1.5,520,+/-128,7.1%,+/-1.8,766,+/-154,12.1%,+/-2.4
Bachelor's degree,"1,002",+/-172,7.3%,+/-1.3,523,+/-126,7.2%,+/-1.7,479,+/-116,7.6%,+/-1.8
Graduate or professional degree,948,+/-191,7.0%,+/-1.4,409,+/-112,5.6%,+/-1.5,539,+/-120,8.5%,+/-1.9
Percent high school graduate or higher,(X),(X),87.9%,+/-1.4,(X),(X),86.7%,+/-1.9,(X),(X),89.2%,+/-1.8
Percent bachelor's degree or higher,(X),(X),14.3%,+/-1.9,(X),(X),12.8%,+/-2.3,(X),(X),16.1%,+/-2.4
Population 25 to 34 years,"2,476",+/-85,(X),(X),"1,503",+/-81,(X),(X),973,+/-39,(X),(X)
High school graduate or higher,"2,242",+/-104,90.5%,+/-3.2,"1,341",+/-83,89.2%,+/-3.6,901,+/-66,92.6%,+/-5.6
Bachelor's degree or higher,468,+/-128,18.9%,+/-5.2,234,+/-90,15.6%,+/-5.9,234,+/-71,24.0%,+/-7.3
Population 35 to 44 years,"2,440",+/-91,(X),(X),"1,401",+/-67,(X),(X),"1,039",+/-57,(X),(X)
High school graduate or higher,"2,259",+/-102,92.6%,+/-2.8,"1,236",+/-75,88.2%,+/-4.2,"1,023",+/-60,98.5%,+/-1.8
Bachelor's degree or higher,393,+/-123,16.1%,+/-4.9,142,+/-76,10.1%,+/-5.3,251,+/-73,24.2%,+/-7.0
Population 45 to 64 years,"5,382",+/-100,(X),(X),"2,853",+/-86,(X),(X),"2,529",+/-58,(X),(X)
High school graduate or higher,"4,921",+/-151,91.4%,+/-2.1,"2,586",+/-121,90.6%,+/-3.0,"2,335",+/-79,92.3%,+/-2.5
Bachelor's degree or higher,657,+/-141,12.2%,+/-2.7,315,+/-90,11.0%,+/-3.2,342,+/-99,13.5%,+/-4.0
Population 65 years and over,"3,337",+/-83,(X),(X),"1,536",+/-45,(X),(X),"1,801",+/-40,(X),(X)
High school graduate or higher,"2,563",+/-145,76.8%,+/-3.6,"1,163",+/-96,75.7%,+/-5.4,"1,400",+/-90,77.7%,+/-4.6
Bachelor's degree or higher,432,+/-105,12.9%,+/-3.2,241,+/-62,15.7%,+/-4.1,191,+/-66,10.6%,+/-3.7
