Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"7,439",+/-164,(X),(X),"3,651",+/-134,(X),(X),"3,788",+/-82,(X),(X)
Less than high school graduate,"1,464",+/-281,19.7%,+/-3.7,918,+/-205,25.1%,+/-5.4,546,+/-175,14.4%,+/-4.6
High school graduate (includes equivalency),"2,559",+/-294,34.4%,+/-3.8,"1,299",+/-188,35.6%,+/-4.9,"1,260",+/-202,33.3%,+/-5.5
Some college or associate's degree,"2,726",+/-266,36.6%,+/-3.7,"1,215",+/-198,33.3%,+/-5.4,"1,511",+/-192,39.9%,+/-4.9
Bachelor's degree or higher,690,+/-177,9.3%,+/-2.4,219,+/-101,6.0%,+/-2.8,471,+/-132,12.4%,+/-3.4
Population 25 years and over,"52,041",+/-165,(X),(X),"25,766",+/-148,(X),(X),"26,275",+/-81,(X),(X)
Less than 9th grade,"2,917",+/-281,5.6%,+/-0.5,"1,586",+/-220,6.2%,+/-0.8,"1,331",+/-159,5.1%,+/-0.6
"9th to 12th grade, no diploma","5,001",+/-445,9.6%,+/-0.9,"2,353",+/-311,9.1%,+/-1.2,"2,648",+/-283,10.1%,+/-1.1
High school graduate (includes equivalency),"18,374",+/-647,35.3%,+/-1.2,"9,213",+/-433,35.8%,+/-1.7,"9,161",+/-408,34.9%,+/-1.5
"Some college, no degree","10,211",+/-497,19.6%,+/-1.0,"5,089",+/-383,19.8%,+/-1.5,"5,122",+/-319,19.5%,+/-1.2
Associate's degree,"3,956",+/-379,7.6%,+/-0.7,"1,771",+/-259,6.9%,+/-1.0,"2,185",+/-294,8.3%,+/-1.1
Bachelor's degree,"7,526",+/-560,14.5%,+/-1.1,"3,596",+/-357,14.0%,+/-1.4,"3,930",+/-370,15.0%,+/-1.4
Graduate or professional degree,"4,056",+/-339,7.8%,+/-0.6,"2,158",+/-230,8.4%,+/-0.9,"1,898",+/-230,7.2%,+/-0.9
Percent high school graduate or higher,(X),(X),84.8%,+/-1.0,(X),(X),84.7%,+/-1.4,(X),(X),84.9%,+/-1.2
Percent bachelor's degree or higher,(X),(X),22.3%,+/-1.2,(X),(X),22.3%,+/-1.6,(X),(X),22.2%,+/-1.3
Population 25 to 34 years,"9,968",+/-227,(X),(X),"5,223",+/-165,(X),(X),"4,745",+/-100,(X),(X)
High school graduate or higher,"8,341",+/-322,83.7%,+/-2.7,"4,395",+/-223,84.1%,+/-3.6,"3,946",+/-203,83.2%,+/-3.8
Bachelor's degree or higher,"2,714",+/-351,27.2%,+/-3.4,"1,317",+/-213,25.2%,+/-4.0,"1,397",+/-210,29.4%,+/-4.3
Population 35 to 44 years,"9,130",+/-121,(X),(X),"4,645",+/-85,(X),(X),"4,485",+/-79,(X),(X)
High school graduate or higher,"7,846",+/-220,85.9%,+/-2.2,"4,033",+/-155,86.8%,+/-2.9,"3,813",+/-128,85.0%,+/-2.8
Bachelor's degree or higher,"2,120",+/-296,23.2%,+/-3.2,896,+/-174,19.3%,+/-3.7,"1,224",+/-182,27.3%,+/-4.1
Population 45 to 64 years,"20,878",+/-123,(X),(X),"10,391",+/-93,(X),(X),"10,487",+/-65,(X),(X)
High school graduate or higher,"17,949",+/-323,86.0%,+/-1.4,"8,795",+/-232,84.6%,+/-2.1,"9,154",+/-188,87.3%,+/-1.6
Bachelor's degree or higher,"4,398",+/-399,21.1%,+/-1.9,"2,251",+/-267,21.7%,+/-2.6,"2,147",+/-226,20.5%,+/-2.1
Population 65 years and over,"12,065",+/-91,(X),(X),"5,507",+/-84,(X),(X),"6,558",+/-25,(X),(X)
High school graduate or higher,"9,987",+/-245,82.8%,+/-1.9,"4,604",+/-144,83.6%,+/-2.5,"5,383",+/-173,82.1%,+/-2.6
Bachelor's degree or higher,"2,350",+/-249,19.5%,+/-2.1,"1,290",+/-155,23.4%,+/-2.8,"1,060",+/-145,16.2%,+/-2.2
