Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"7,553",+/-170,(X),(X),"3,648",+/-145,(X),(X),"3,905",+/-102,(X),(X)
Less than high school graduate,"1,403",+/-292,18.6%,+/-3.8,863,+/-196,23.7%,+/-5.2,540,+/-151,13.8%,+/-3.9
High school graduate (includes equivalency),"2,589",+/-314,34.3%,+/-4.1,"1,294",+/-202,35.5%,+/-5.2,"1,295",+/-194,33.2%,+/-5.2
Some college or associate's degree,"2,880",+/-303,38.1%,+/-3.9,"1,375",+/-223,37.7%,+/-6.2,"1,505",+/-231,38.5%,+/-5.6
Bachelor's degree or higher,681,+/-182,9.0%,+/-2.4,116,+/-64,3.2%,+/-1.7,565,+/-163,14.5%,+/-4.0
Population 25 years and over,"51,671",+/-159,(X),(X),"25,488",+/-162,(X),(X),"26,183",+/-72,(X),(X)
Less than 9th grade,"2,823",+/-325,5.5%,+/-0.6,"1,519",+/-245,6.0%,+/-1.0,"1,304",+/-169,5.0%,+/-0.6
"9th to 12th grade, no diploma","5,047",+/-437,9.8%,+/-0.8,"2,219",+/-266,8.7%,+/-1.0,"2,828",+/-289,10.8%,+/-1.1
High school graduate (includes equivalency),"19,110",+/-630,37.0%,+/-1.2,"9,702",+/-434,38.1%,+/-1.7,"9,408",+/-424,35.9%,+/-1.6
"Some college, no degree","10,057",+/-534,19.5%,+/-1.0,"5,088",+/-365,20.0%,+/-1.4,"4,969",+/-388,19.0%,+/-1.5
Associate's degree,"3,667",+/-320,7.1%,+/-0.6,"1,514",+/-208,5.9%,+/-0.8,"2,153",+/-240,8.2%,+/-0.9
Bachelor's degree,"7,043",+/-469,13.6%,+/-0.9,"3,344",+/-354,13.1%,+/-1.4,"3,699",+/-307,14.1%,+/-1.2
Graduate or professional degree,"3,924",+/-338,7.6%,+/-0.7,"2,102",+/-225,8.2%,+/-0.9,"1,822",+/-229,7.0%,+/-0.9
Percent high school graduate or higher,(X),(X),84.8%,+/-1.1,(X),(X),85.3%,+/-1.3,(X),(X),84.2%,+/-1.2
Percent bachelor's degree or higher,(X),(X),21.2%,+/-1.2,(X),(X),21.4%,+/-1.5,(X),(X),21.1%,+/-1.4
Population 25 to 34 years,"9,913",+/-184,(X),(X),"5,122",+/-133,(X),(X),"4,791",+/-93,(X),(X)
High school graduate or higher,"8,245",+/-334,83.2%,+/-2.7,"4,258",+/-223,83.1%,+/-3.5,"3,987",+/-178,83.2%,+/-3.1
Bachelor's degree or higher,"2,590",+/-306,26.1%,+/-2.9,"1,201",+/-220,23.4%,+/-4.1,"1,389",+/-185,29.0%,+/-3.7
Population 35 to 44 years,"9,135",+/-116,(X),(X),"4,650",+/-83,(X),(X),"4,485",+/-56,(X),(X)
High school graduate or higher,"7,945",+/-222,87.0%,+/-2.1,"4,117",+/-141,88.5%,+/-2.6,"3,828",+/-130,85.4%,+/-2.6
Bachelor's degree or higher,"2,026",+/-293,22.2%,+/-3.1,935,+/-171,20.1%,+/-3.6,"1,091",+/-182,24.3%,+/-3.9
Population 45 to 64 years,"20,921",+/-123,(X),(X),"10,394",+/-90,(X),(X),"10,527",+/-75,(X),(X)
High school graduate or higher,"18,082",+/-310,86.4%,+/-1.4,"8,932",+/-203,85.9%,+/-1.9,"9,150",+/-211,86.9%,+/-1.9
Bachelor's degree or higher,"4,217",+/-364,20.2%,+/-1.8,"2,142",+/-207,20.6%,+/-2.0,"2,075",+/-238,19.7%,+/-2.3
Population 65 years and over,"11,702",+/-82,(X),(X),"5,322",+/-68,(X),(X),"6,380",+/-27,(X),(X)
High school graduate or higher,"9,529",+/-264,81.4%,+/-2.2,"4,443",+/-135,83.5%,+/-2.6,"5,086",+/-177,79.7%,+/-2.7
Bachelor's degree or higher,"2,134",+/-233,18.2%,+/-2.0,"1,168",+/-142,21.9%,+/-2.6,966,+/-147,15.1%,+/-2.3
