RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"48,824",+/-223,(X),(X),"23,822",+/-153,(X),(X),"25,002",+/-116,(X),(X)
High school graduate or higher,"42,031",+/-476,86.1%,+/-1.0,"20,497",+/-335,86.0%,+/-1.3,"21,534",+/-309,86.1%,+/-1.3
Bachelor's degree or higher,"10,211",+/-655,20.9%,+/-1.3,"5,120",+/-419,21.5%,+/-1.8,"5,091",+/-382,20.4%,+/-1.5
"White alone, not Hispanic or Latino","47,328",+/-13,(X),(X),"23,086",+/-13,(X),(X),"24,242",+/-27,(X),(X)
High school graduate or higher,"41,113",+/-438,86.9%,+/-0.9,"20,030",+/-295,86.8%,+/-1.3,"21,083",+/-299,87.0%,+/-1.2
Bachelor's degree or higher,"10,115",+/-653,21.4%,+/-1.4,"5,067",+/-417,21.9%,+/-1.8,"5,048",+/-378,20.8%,+/-1.6
Black alone,311,+/-108,(X),(X),214,+/-92,(X),(X),97,+/-82,(X),(X)
High school graduate or higher,257,+/-92,82.6%,+/-14.0,160,+/-74,74.8%,+/-18.9,97,+/-82,100.0%,+/-26.1
Bachelor's degree or higher,23,+/-22,7.4%,+/-7.9,16,+/-19,7.5%,+/-9.6,7,+/-9,7.2%,+/-15.5
American Indian or Alaska Native alone,119,+/-47,(X),(X),68,+/-33,(X),(X),51,+/-29,(X),(X)
High school graduate or higher,89,+/-38,74.8%,+/-18.8,57,+/-30,83.8%,+/-23.5,32,+/-28,62.7%,+/-40.0
Bachelor's degree or higher,9,+/-14,7.6%,+/-12.8,0,+/-27,0.0%,+/-33.9,9,+/-14,17.6%,+/-30.7
Asian alone,528,+/-67,(X),(X),258,+/-53,(X),(X),270,+/-72,(X),(X)
High school graduate or higher,476,+/-68,90.2%,+/-8.8,258,+/-53,100.0%,+/-11.0,218,+/-70,80.7%,+/-16.4
Bachelor's degree or higher,243,+/-74,46.0%,+/-12.4,83,+/-78,32.2%,+/-25.3,160,+/-76,59.3%,+/-20.1
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,"1,223",+/-232,(X),(X),781,+/-169,(X),(X),442,+/-108,(X),(X)
High school graduate or higher,700,+/-168,57.2%,+/-10.1,480,+/-138,61.5%,+/-11.7,220,+/-91,49.8%,+/-15.5
Bachelor's degree or higher,80,+/-78,6.5%,+/-6.0,61,+/-81,7.8%,+/-9.6,19,+/-24,4.3%,+/-5.2
Two or more races,311,+/-83,(X),(X),193,+/-74,(X),(X),118,+/-51,(X),(X)
High school graduate or higher,255,+/-78,82.0%,+/-11.3,167,+/-74,86.5%,+/-15.2,88,+/-45,74.6%,+/-19.4
Bachelor's degree or higher,59,+/-42,19.0%,+/-11.1,51,+/-40,26.4%,+/-16.9,8,+/-11,6.8%,+/-9.4
Hispanic or Latino Origin,"2,814",+/-101,(X),(X),"1,541",+/-101,(X),(X),"1,273",*****,(X),(X)
High school graduate or higher,"1,675",+/-221,59.5%,+/-6.9,971,+/-165,63.0%,+/-8.6,704,+/-112,55.3%,+/-8.8
Bachelor's degree or higher,184,+/-104,6.5%,+/-3.6,122,+/-92,7.9%,+/-5.8,62,+/-36,4.9%,+/-2.8
