RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"49,447",+/-269,(X),(X),"24,186",+/-183,(X),(X),"25,261",+/-119,(X),(X)
High school graduate or higher,"42,215",+/-560,85.4%,+/-1.1,"20,788",+/-353,86.0%,+/-1.4,"21,427",+/-318,84.8%,+/-1.3
Bachelor's degree or higher,"10,394",+/-572,21.0%,+/-1.2,"5,158",+/-349,21.3%,+/-1.5,"5,236",+/-374,20.7%,+/-1.5
"White alone, not Hispanic or Latino","47,500",+/-11,(X),(X),"23,167",+/-11,(X),(X),"24,333",+/-27,(X),(X)
High school graduate or higher,"41,158",+/-505,86.6%,+/-1.1,"20,175",+/-318,87.1%,+/-1.4,"20,983",+/-308,86.2%,+/-1.3
Bachelor's degree or higher,"10,301",+/-566,21.7%,+/-1.2,"5,095",+/-347,22.0%,+/-1.5,"5,206",+/-373,21.4%,+/-1.5
Black alone,325,+/-96,(X),(X),253,+/-86,(X),(X),72,+/-63,(X),(X)
High school graduate or higher,283,+/-95,87.1%,+/-13.4,211,+/-77,83.4%,+/-16.0,72,+/-63,100.0%,+/-32.7
Bachelor's degree or higher,95,+/-65,29.2%,+/-18.4,39,+/-37,15.4%,+/-14.3,56,+/-54,77.8%,+/-27.5
American Indian or Alaska Native alone,132,+/-46,(X),(X),61,+/-33,(X),(X),71,+/-32,(X),(X)
High school graduate or higher,99,+/-45,75.0%,+/-18.3,52,+/-30,85.2%,+/-21.3,47,+/-33,66.2%,+/-29.4
Bachelor's degree or higher,11,+/-17,8.3%,+/-13.2,0,+/-27,0.0%,+/-36.3,11,+/-17,15.5%,+/-23.9
Asian alone,531,+/-78,(X),(X),203,+/-73,(X),(X),328,+/-42,(X),(X)
High school graduate or higher,464,+/-100,87.4%,+/-12.7,203,+/-73,100.0%,+/-13.7,261,+/-71,79.6%,+/-20.0
Bachelor's degree or higher,294,+/-113,55.4%,+/-20.6,118,+/-70,58.1%,+/-30.6,176,+/-78,53.7%,+/-23.7
Native Hawaiian and Other Pacific Islander alone,0,+/-27,(X),(X),0,+/-27,(X),(X),0,+/-27,(X),(X)
High school graduate or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Bachelor's degree or higher,0,+/-27,-,**,0,+/-27,-,**,0,+/-27,-,**
Some other race alone,875,+/-266,(X),(X),578,+/-179,(X),(X),297,+/-114,(X),(X)
High school graduate or higher,447,+/-164,51.1%,+/-14.1,319,+/-136,55.2%,+/-17.2,128,+/-73,43.1%,+/-18.3
Bachelor's degree or higher,109,+/-105,12.5%,+/-11.0,83,+/-99,14.4%,+/-15.9,26,+/-38,8.8%,+/-12.7
Two or more races,361,+/-98,(X),(X),207,+/-71,(X),(X),154,+/-63,(X),(X)
High school graduate or higher,293,+/-91,81.2%,+/-11.8,177,+/-67,85.5%,+/-15.1,116,+/-56,75.3%,+/-18.1
Bachelor's degree or higher,64,+/-45,17.7%,+/-11.6,48,+/-38,23.2%,+/-17.3,16,+/-22,10.4%,+/-13.0
Hispanic or Latino Origin,"2,897",+/-97,(X),(X),"1,615",+/-97,(X),(X),"1,282",*****,(X),(X)
High school graduate or higher,"1,552",+/-215,53.6%,+/-6.5,950,+/-162,58.8%,+/-7.9,602,+/-110,47.0%,+/-8.6
Bachelor's degree or higher,202,+/-120,7.0%,+/-4.1,146,+/-109,9.0%,+/-6.6,56,+/-52,4.4%,+/-4.0
