RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,081",+/-63,(X),(X),"8,297",+/-45,(X),(X),"8,784",+/-52,(X),(X)
High school graduate or higher,"15,202",+/-237,89.0%,+/-1.4,"7,290",+/-165,87.9%,+/-2.0,"7,912",+/-169,90.1%,+/-1.8
Bachelor's degree or higher,"2,985",+/-346,17.5%,+/-2.0,"1,392",+/-203,16.8%,+/-2.4,"1,593",+/-243,18.1%,+/-2.7
"White alone, not Hispanic or Latino","16,944",+/-48,(X),(X),"8,212",+/-21,(X),(X),"8,732",+/-48,(X),(X)
High school graduate or higher,"15,097",+/-238,89.1%,+/-1.4,"7,216",+/-168,87.9%,+/-2.0,"7,881",+/-167,90.3%,+/-1.8
Bachelor's degree or higher,"2,985",+/-346,17.6%,+/-2.0,"1,392",+/-203,17.0%,+/-2.5,"1,593",+/-243,18.2%,+/-2.7
Black alone,103,+/-11,(X),(X),69,+/-38,(X),(X),34,+/-42,(X),(X)
High school graduate or higher,66,+/-37,64.1%,+/-34.4,32,+/-29,46.4%,+/-39.1,34,+/-42,100.0%,+/-48.9
Bachelor's degree or higher,28,+/-32,27.2%,+/-32.0,22,+/-25,31.9%,+/-33.5,6,+/-11,17.6%,+/-47.7
American Indian or Alaska Native alone,66,+/-73,(X),(X),17,+/-22,(X),(X),49,+/-52,(X),(X)
High school graduate or higher,49,+/-52,74.2%,+/-11.6,0,+/-21,0.0%,+/-69.1,49,+/-52,100.0%,+/-40.7
Bachelor's degree or higher,12,+/-17,18.2%,+/-37.0,0,+/-21,0.0%,+/-69.1,12,+/-17,24.5%,+/-43.6
Asian alone,298,+/-18,(X),(X),151,+/-47,(X),(X),147,+/-42,(X),(X)
High school graduate or higher,298,+/-18,100.0%,+/-9.6,151,+/-47,100.0%,+/-17.9,147,+/-42,100.0%,+/-18.4
Bachelor's degree or higher,168,+/-38,56.4%,+/-12.7,104,+/-63,68.9%,+/-36.5,64,+/-70,43.5%,+/-38.5
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,19,+/-26,(X),(X),19,+/-26,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,19,+/-26,100.0%,+/-65.4,19,+/-26,100.0%,+/-65.4,0,+/-21,-,**
Bachelor's degree or higher,16,+/-26,84.2%,+/-38.6,16,+/-26,84.2%,+/-38.6,0,+/-21,-,**
Two or more races,124,+/-63,(X),(X),31,+/-25,(X),(X),93,+/-59,(X),(X)
High school graduate or higher,123,+/-63,99.2%,+/-2.9,31,+/-25,100.0%,+/-51.2,92,+/-60,98.9%,+/-4.2
Bachelor's degree or higher,7,+/-8,5.6%,+/-8.2,4,+/-8,12.9%,+/-29.6,3,+/-5,3.2%,+/-5.7
Hispanic or Latino Origin,222,+/-12,(X),(X),133,+/-36,(X),(X),89,+/-40,(X),(X)
High school graduate or higher,173,+/-25,77.9%,+/-10.4,105,+/-52,78.9%,+/-20.8,68,+/-47,76.4%,+/-31.3
Bachelor's degree or higher,16,+/-26,7.2%,+/-11.6,16,+/-26,12.0%,+/-18.5,0,+/-21,0.0%,+/-27.9
