RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"17,061",+/-72,(X),(X),"8,291",+/-47,(X),(X),"8,770",+/-72,(X),(X)
High school graduate or higher,"15,105",+/-244,88.5%,+/-1.4,"7,188",+/-198,86.7%,+/-2.4,"7,917",+/-162,90.3%,+/-1.6
Bachelor's degree or higher,"2,668",+/-340,15.6%,+/-2.0,"1,262",+/-182,15.2%,+/-2.2,"1,406",+/-228,16.0%,+/-2.6
"White alone, not Hispanic or Latino","16,878",+/-57,(X),(X),"8,175",+/-21,(X),(X),"8,703",+/-57,(X),(X)
High school graduate or higher,"14,962",+/-245,88.6%,+/-1.4,"7,072",+/-198,86.5%,+/-2.4,"7,890",+/-157,90.7%,+/-1.6
Bachelor's degree or higher,"2,637",+/-327,15.6%,+/-1.9,"1,256",+/-183,15.4%,+/-2.2,"1,381",+/-217,15.9%,+/-2.5
Black alone,126,+/-35,(X),(X),93,+/-50,(X),(X),33,+/-39,(X),(X)
High school graduate or higher,71,+/-27,56.3%,+/-25.7,38,+/-30,40.9%,+/-28.4,33,+/-39,100.0%,+/-49.6
Bachelor's degree or higher,23,+/-25,18.3%,+/-21.4,18,+/-19,19.4%,+/-18.5,5,+/-9,15.2%,+/-53.7
American Indian or Alaska Native alone,11,+/-16,(X),(X),0,+/-21,(X),(X),11,+/-16,(X),(X)
High school graduate or higher,11,+/-16,100.0%,+/-85.9,0,+/-21,-,**,11,+/-16,100.0%,+/-85.9
Bachelor's degree or higher,11,+/-16,100.0%,+/-85.9,0,+/-21,-,**,11,+/-16,100.0%,+/-85.9
Asian alone,287,+/-39,(X),(X),187,+/-68,(X),(X),100,+/-60,(X),(X)
High school graduate or higher,287,+/-39,100.0%,+/-9.9,187,+/-68,100.0%,+/-14.8,100,+/-60,100.0%,+/-25.5
Bachelor's degree or higher,138,+/-69,48.1%,+/-25.2,107,+/-72,57.2%,+/-44.3,31,+/-61,31.0%,+/-45.6
Native Hawaiian and Other Pacific Islander alone,0,+/-21,(X),(X),0,+/-21,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Bachelor's degree or higher,0,+/-21,-,**,0,+/-21,-,**,0,+/-21,-,**
Some other race alone,39,+/-44,(X),(X),39,+/-44,(X),(X),0,+/-21,(X),(X)
High school graduate or higher,39,+/-44,100.0%,+/-45.6,39,+/-44,100.0%,+/-45.6,0,+/-21,-,**
Bachelor's degree or higher,18,+/-30,46.2%,+/-53.8,18,+/-30,46.2%,+/-53.8,0,+/-21,-,**
Two or more races,110,+/-63,(X),(X),21,+/-17,(X),(X),89,+/-64,(X),(X)
High school graduate or higher,109,+/-63,99.1%,+/-3.4,21,+/-17,100.0%,+/-62.2,88,+/-64,98.9%,+/-4.6
Bachelor's degree or higher,7,+/-9,6.4%,+/-9.9,7,+/-9,33.3%,+/-41.9,0,+/-21,0.0%,+/-27.9
Hispanic or Latino Origin,246,+/-34,(X),(X),179,+/-54,(X),(X),67,+/-43,(X),(X)
High school graduate or higher,182,+/-35,74.0%,+/-16.9,155,+/-42,86.6%,+/-16.7,27,+/-33,40.3%,+/-41.2
Bachelor's degree or higher,49,+/-38,19.9%,+/-15.4,24,+/-32,13.4%,+/-17.5,25,+/-32,37.3%,+/-41.1
