Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"2,079",+/-33,(X),(X),"1,057",+/-24,(X),(X),"1,022",+/-21,(X),(X)
Less than high school graduate,480,+/-107,23.1%,+/-5.1,234,+/-63,22.1%,+/-5.9,246,+/-90,24.1%,+/-8.7
High school graduate (includes equivalency),743,+/-148,35.7%,+/-7.0,485,+/-100,45.9%,+/-9.4,258,+/-97,25.2%,+/-9.5
Some college or associate's degree,654,+/-143,31.5%,+/-6.9,277,+/-99,26.2%,+/-9.4,377,+/-87,36.9%,+/-8.6
Bachelor's degree or higher,202,+/-101,9.7%,+/-4.9,61,+/-54,5.8%,+/-5.1,141,+/-84,13.8%,+/-8.2
Population 25 years and over,"17,691",+/-35,(X),(X),"8,584",+/-69,(X),(X),"9,107",+/-73,(X),(X)
Less than 9th grade,584,+/-122,3.3%,+/-0.7,316,+/-102,3.7%,+/-1.2,268,+/-98,2.9%,+/-1.1
"9th to 12th grade, no diploma","1,350",+/-182,7.6%,+/-1.0,745,+/-147,8.7%,+/-1.7,605,+/-138,6.6%,+/-1.5
High school graduate (includes equivalency),"7,703",+/-470,43.5%,+/-2.7,"3,812",+/-302,44.4%,+/-3.6,"3,891",+/-320,42.7%,+/-3.5
"Some college, no degree","3,250",+/-328,18.4%,+/-1.9,"1,512",+/-226,17.6%,+/-2.6,"1,738",+/-228,19.1%,+/-2.5
Associate's degree,"1,588",+/-228,9.0%,+/-1.3,661,+/-150,7.7%,+/-1.8,927,+/-179,10.2%,+/-2.0
Bachelor's degree,"2,106",+/-312,11.9%,+/-1.8,"1,079",+/-213,12.6%,+/-2.4,"1,027",+/-204,11.3%,+/-2.2
Graduate or professional degree,"1,110",+/-246,6.3%,+/-1.4,459,+/-123,5.3%,+/-1.4,651,+/-169,7.1%,+/-1.9
Percent high school graduate or higher,(X),(X),89.1%,+/-1.3,(X),(X),87.6%,+/-1.9,(X),(X),90.4%,+/-1.7
Percent bachelor's degree or higher,(X),(X),18.2%,+/-2.0,(X),(X),17.9%,+/-2.6,(X),(X),18.4%,+/-2.8
Population 25 to 34 years,"3,136",+/-89,(X),(X),"1,569",+/-27,(X),(X),"1,567",+/-88,(X),(X)
High school graduate or higher,"2,953",+/-102,94.2%,+/-2.2,"1,464",+/-47,93.3%,+/-2.8,"1,489",+/-91,95.0%,+/-3.4
Bachelor's degree or higher,731,+/-151,23.3%,+/-4.6,326,+/-85,20.8%,+/-5.4,405,+/-120,25.8%,+/-7.0
Population 35 to 44 years,"3,199",+/-56,(X),(X),"1,641",+/-55,(X),(X),"1,558",+/-9,(X),(X)
High school graduate or higher,"3,011",+/-75,94.1%,+/-2.0,"1,542",+/-61,94.0%,+/-2.8,"1,469",+/-42,94.3%,+/-2.6
Bachelor's degree or higher,716,+/-169,22.4%,+/-5.3,373,+/-102,22.7%,+/-6.2,343,+/-109,22.0%,+/-7.0
Population 45 to 64 years,"7,217",+/-94,(X),(X),"3,549",+/-68,(X),(X),"3,668",+/-69,(X),(X)
High school graduate or higher,"6,328",+/-201,87.7%,+/-2.6,"2,999",+/-161,84.5%,+/-4.1,"3,329",+/-116,90.8%,+/-3.0
Bachelor's degree or higher,"1,202",+/-257,16.7%,+/-3.5,520,+/-137,14.7%,+/-3.8,682,+/-168,18.6%,+/-4.6
Population 65 years and over,"4,139",+/-77,(X),(X),"1,825",+/-60,(X),(X),"2,314",+/-39,(X),(X)
High school graduate or higher,"3,465",+/-140,83.7%,+/-3.3,"1,518",+/-111,83.2%,+/-5.6,"1,947",+/-95,84.1%,+/-4.1
Bachelor's degree or higher,567,+/-162,13.7%,+/-3.9,319,+/-111,17.5%,+/-5.9,248,+/-90,10.7%,+/-3.9
