Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"91,070",+/-105,(X),(X),"44,447",+/-45,(X),(X),"46,623",+/-101,(X),(X)
Less than high school graduate,"16,519",+/-982,18.1%,+/-1.1,"9,197",+/-741,20.7%,+/-1.7,"7,322",+/-666,15.7%,+/-1.4
High school graduate (includes equivalency),"28,274","+/-1,243",31.0%,+/-1.4,"14,847",+/-895,33.4%,+/-2.0,"13,427",+/-743,28.8%,+/-1.6
Some college or associate's degree,"35,598","+/-1,221",39.1%,+/-1.3,"15,989",+/-913,36.0%,+/-2.1,"19,609",+/-982,42.1%,+/-2.1
Bachelor's degree or higher,"10,679",+/-763,11.7%,+/-0.8,"4,414",+/-472,9.9%,+/-1.1,"6,265",+/-563,13.4%,+/-1.2
Population 25 years and over,"615,756",+/-104,(X),(X),"289,234",+/-39,(X),(X),"326,522",+/-111,(X),(X)
Less than 9th grade,"30,159","+/-1,429",4.9%,+/-0.2,"15,801",+/-907,5.5%,+/-0.3,"14,358",+/-932,4.4%,+/-0.3
"9th to 12th grade, no diploma","58,265","+/-1,854",9.5%,+/-0.3,"29,320","+/-1,245",10.1%,+/-0.4,"28,945","+/-1,235",8.9%,+/-0.4
High school graduate (includes equivalency),"172,295","+/-2,752",28.0%,+/-0.4,"82,650","+/-1,972",28.6%,+/-0.7,"89,645","+/-1,665",27.5%,+/-0.5
"Some college, no degree","127,895","+/-2,705",20.8%,+/-0.4,"58,066","+/-1,443",20.1%,+/-0.5,"69,829","+/-1,986",21.4%,+/-0.6
Associate's degree,"44,118","+/-1,582",7.2%,+/-0.3,"19,044","+/-1,077",6.6%,+/-0.4,"25,074","+/-1,096",7.7%,+/-0.3
Bachelor's degree,"118,164","+/-2,265",19.2%,+/-0.4,"54,954","+/-1,360",19.0%,+/-0.5,"63,210","+/-1,733",19.4%,+/-0.5
Graduate or professional degree,"64,860","+/-1,688",10.5%,+/-0.3,"29,399",+/-968,10.2%,+/-0.3,"35,461","+/-1,208",10.9%,+/-0.4
Percent high school graduate or higher,(X),(X),85.6%,+/-0.3,(X),(X),84.4%,+/-0.5,(X),(X),86.7%,+/-0.4
Percent bachelor's degree or higher,(X),(X),29.7%,+/-0.4,(X),(X),29.2%,+/-0.5,(X),(X),30.2%,+/-0.6
Population 25 to 34 years,"155,413",+/-150,(X),(X),"74,869",+/-84,(X),(X),"80,544",+/-139,(X),(X)
High school graduate or higher,"134,582","+/-1,324",86.6%,+/-0.8,"63,862",+/-855,85.3%,+/-1.1,"70,720",+/-825,87.8%,+/-1.0
Bachelor's degree or higher,"55,370","+/-1,522",35.6%,+/-1.0,"24,659",+/-849,32.9%,+/-1.1,"30,711","+/-1,110",38.1%,+/-1.4
Population 35 to 44 years,"120,538",+/-120,(X),(X),"58,908",+/-75,(X),(X),"61,630",+/-92,(X),(X)
High school graduate or higher,"101,438","+/-1,008",84.2%,+/-0.8,"48,416",+/-717,82.2%,+/-1.2,"53,022",+/-680,86.0%,+/-1.1
Bachelor's degree or higher,"36,421","+/-1,142",30.2%,+/-0.9,"16,605",+/-796,28.2%,+/-1.4,"19,816",+/-798,32.2%,+/-1.3
Population 45 to 64 years,"229,658",+/-47,(X),(X),"109,726",+/-14,(X),(X),"119,932",+/-49,(X),(X)
High school graduate or higher,"200,891","+/-1,090",87.5%,+/-0.5,"94,411",+/-760,86.0%,+/-0.7,"106,480",+/-800,88.8%,+/-0.7
Bachelor's degree or higher,"65,271","+/-1,713",28.4%,+/-0.7,"29,768",+/-936,27.1%,+/-0.9,"35,503","+/-1,178",29.6%,+/-1.0
Population 65 years and over,"110,147",+/-13,(X),(X),"45,731",+/-2,(X),(X),"64,416",+/-12,(X),(X)
High school graduate or higher,"90,421",+/-808,82.1%,+/-0.7,"37,424",+/-530,81.8%,+/-1.2,"52,997",+/-601,82.3%,+/-0.9
Bachelor's degree or higher,"25,962","+/-1,033",23.6%,+/-0.9,"13,321",+/-640,29.1%,+/-1.4,"12,641",+/-659,19.6%,+/-1.0
