RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
White alone,"415,101","+/-1,109",(X),(X),"199,660",+/-653,(X),(X),"215,441",+/-606,(X),(X)
High school graduate or higher,"363,610","+/-1,719",87.6%,+/-0.4,"172,514","+/-1,191",86.4%,+/-0.6,"191,096","+/-1,137",88.7%,+/-0.5
Bachelor's degree or higher,"142,653","+/-2,239",34.4%,+/-0.5,"67,497","+/-1,290",33.8%,+/-0.7,"75,156","+/-1,516",34.9%,+/-0.7
"White alone, not Hispanic or Latino","387,500",+/-212,(X),(X),"184,803",+/-156,(X),(X),"202,697",+/-104,(X),(X)
High school graduate or higher,"348,220","+/-1,398",89.9%,+/-0.4,"164,500","+/-1,005",89.0%,+/-0.5,"183,720",+/-911,90.6%,+/-0.5
Bachelor's degree or higher,"139,047","+/-2,254",35.9%,+/-0.6,"65,474","+/-1,253",35.4%,+/-0.7,"73,573","+/-1,551",36.3%,+/-0.8
Black alone,"155,766",+/-694,(X),(X),"67,242",+/-446,(X),(X),"88,524",+/-453,(X),(X)
High school graduate or higher,"131,901","+/-1,286",84.7%,+/-0.8,"56,008",+/-814,83.3%,+/-1.1,"75,893",+/-924,85.7%,+/-1.0
Bachelor's degree or higher,"27,527","+/-1,306",17.7%,+/-0.9,"10,687",+/-727,15.9%,+/-1.1,"16,840",+/-973,19.0%,+/-1.1
American Indian or Alaska Native alone,"1,484",+/-245,(X),(X),786,+/-166,(X),(X),698,+/-160,(X),(X)
High school graduate or higher,"1,233",+/-230,83.1%,+/-8.3,669,+/-150,85.1%,+/-8.0,564,+/-144,80.8%,+/-11.0
Bachelor's degree or higher,343,+/-114,23.1%,+/-7.2,208,+/-83,26.5%,+/-9.7,135,+/-68,19.3%,+/-9.6
Asian alone,"17,035",+/-272,(X),(X),"8,120",+/-193,(X),(X),"8,915",+/-180,(X),(X)
High school graduate or higher,"13,166",+/-597,77.3%,+/-3.3,"6,360",+/-307,78.3%,+/-3.6,"6,806",+/-382,76.3%,+/-3.8
Bachelor's degree or higher,"7,985",+/-616,46.9%,+/-3.7,"4,139",+/-345,51.0%,+/-4.5,"3,846",+/-386,43.1%,+/-4.1
Native Hawaiian and Other Pacific Islander alone,177,+/-144,(X),(X),70,+/-74,(X),(X),107,+/-77,(X),(X)
High school graduate or higher,127,+/-80,71.8%,+/-23.3,20,+/-23,28.6%,+/-46.5,107,+/-77,100.0%,+/-24.1
Bachelor's degree or higher,15,+/-18,8.5%,+/-14.0,9,+/-14,12.9%,+/-27.8,6,+/-12,5.6%,+/-11.5
Some other race alone,"16,548","+/-1,244",(X),(X),"9,098",+/-718,(X),(X),"7,450",+/-686,(X),(X)
High school graduate or higher,"8,900",+/-892,53.8%,+/-3.6,"4,890",+/-637,53.7%,+/-5.0,"4,010",+/-436,53.8%,+/-4.7
Bachelor's degree or higher,"1,536",+/-334,9.3%,+/-1.8,741,+/-196,8.1%,+/-2.1,795,+/-214,10.7%,+/-2.7
Two or more races,"9,645",+/-759,(X),(X),"4,258",+/-442,(X),(X),"5,387",+/-523,(X),(X)
High school graduate or higher,"8,395",+/-751,87.0%,+/-2.7,"3,652",+/-442,85.8%,+/-4.1,"4,743",+/-498,88.0%,+/-3.3
Bachelor's degree or higher,"2,965",+/-449,30.7%,+/-3.9,"1,072",+/-251,25.2%,+/-5.4,"1,893",+/-305,35.1%,+/-4.2
Hispanic or Latino Origin,"45,592",*****,(X),(X),"24,514",*****,(X),(X),"21,078",*****,(X),(X)
High school graduate or higher,"25,075","+/-1,010",55.0%,+/-2.2,"13,139",+/-731,53.6%,+/-3.0,"11,936",+/-690,56.6%,+/-3.3
Bachelor's degree or higher,"5,008",+/-517,11.0%,+/-1.1,"2,668",+/-378,10.9%,+/-1.5,"2,340",+/-321,11.1%,+/-1.5
