Subject,Total Estimate,Total MoE,Percent Estimate,Percent MoE,Male Estimate,Male MoE,Percent Male Estimate,Percent Male MoE,Female Estimate,Female MoE,Percent Female Estimate,Percent Female MoE
Population 18 to 24 years,"91,718",+/-127,(X),(X),"44,587",+/-94,(X),(X),"47,131",+/-95,(X),(X)
Less than high school graduate,"17,840",+/-983,19.5%,+/-1.1,"10,098",+/-765,22.6%,+/-1.7,"7,742",+/-611,16.4%,+/-1.3
High school graduate (includes equivalency),"25,931","+/-1,137",28.3%,+/-1.2,"13,610",+/-849,30.5%,+/-1.9,"12,321",+/-736,26.1%,+/-1.6
Some college or associate's degree,"37,311","+/-1,323",40.7%,+/-1.4,"16,310",+/-849,36.6%,+/-1.9,"21,001","+/-1,026",44.6%,+/-2.2
Bachelor's degree or higher,"10,636",+/-791,11.6%,+/-0.9,"4,569",+/-537,10.2%,+/-1.2,"6,067",+/-597,12.9%,+/-1.3
Population 25 years and over,"608,059",+/-127,(X),(X),"285,954",+/-108,(X),(X),"322,105",+/-112,(X),(X)
Less than 9th grade,"29,626","+/-1,378",4.9%,+/-0.2,"15,144",+/-954,5.3%,+/-0.3,"14,482",+/-826,4.5%,+/-0.3
"9th to 12th grade, no diploma","57,594","+/-1,783",9.5%,+/-0.3,"28,545","+/-1,185",10.0%,+/-0.4,"29,049","+/-1,115",9.0%,+/-0.3
High school graduate (includes equivalency),"171,007","+/-2,987",28.1%,+/-0.5,"82,334","+/-1,745",28.8%,+/-0.6,"88,673","+/-1,816",27.5%,+/-0.6
"Some college, no degree","128,831","+/-2,522",21.2%,+/-0.4,"58,095","+/-1,689",20.3%,+/-0.6,"70,736","+/-1,702",22.0%,+/-0.5
Associate's degree,"44,536","+/-1,480",7.3%,+/-0.2,"19,174",+/-946,6.7%,+/-0.3,"25,362","+/-1,081",7.9%,+/-0.3
Bachelor's degree,"115,366","+/-2,482",19.0%,+/-0.4,"54,797","+/-1,467",19.2%,+/-0.5,"60,569","+/-1,672",18.8%,+/-0.5
Graduate or professional degree,"61,099","+/-1,713",10.0%,+/-0.3,"27,865","+/-1,069",9.7%,+/-0.4,"33,234","+/-1,091",10.3%,+/-0.3
Percent high school graduate or higher,(X),(X),85.7%,+/-0.3,(X),(X),84.7%,+/-0.5,(X),(X),86.5%,+/-0.4
Percent bachelor's degree or higher,(X),(X),29.0%,+/-0.5,(X),(X),28.9%,+/-0.6,(X),(X),29.1%,+/-0.5
Population 25 to 34 years,"153,754",+/-158,(X),(X),"74,311",+/-102,(X),(X),"79,443",+/-116,(X),(X)
High school graduate or higher,"132,894",+/-991,86.4%,+/-0.6,"63,377",+/-760,85.3%,+/-1.0,"69,517",+/-711,87.5%,+/-0.9
Bachelor's degree or higher,"52,845","+/-1,586",34.4%,+/-1.0,"23,665",+/-998,31.8%,+/-1.3,"29,180","+/-1,008",36.7%,+/-1.3
Population 35 to 44 years,"119,668",+/-109,(X),(X),"58,590",+/-19,(X),(X),"61,078",+/-114,(X),(X)
High school graduate or higher,"101,688",+/-997,85.0%,+/-0.8,"48,889",+/-685,83.4%,+/-1.2,"52,799",+/-639,86.4%,+/-1.0
Bachelor's degree or higher,"35,885","+/-1,306",30.0%,+/-1.1,"16,782",+/-851,28.6%,+/-1.5,"19,103",+/-811,31.3%,+/-1.3
Population 45 to 64 years,"229,243",+/-35,(X),(X),"109,503",+/-17,(X),(X),"119,740",+/-32,(X),(X)
High school graduate or higher,"200,454","+/-1,223",87.4%,+/-0.5,"94,384",+/-848,86.2%,+/-0.8,"106,070",+/-808,88.6%,+/-0.7
Bachelor's degree or higher,"63,489","+/-1,472",27.7%,+/-0.6,"29,700",+/-966,27.1%,+/-0.9,"33,789",+/-913,28.2%,+/-0.8
Population 65 years and over,"105,394",+/-20,(X),(X),"43,550",+/-5,(X),(X),"61,844",+/-20,(X),(X)
High school graduate or higher,"85,803",+/-808,81.4%,+/-0.8,"35,615",+/-471,81.8%,+/-1.1,"50,188",+/-574,81.2%,+/-0.9
Bachelor's degree or higher,"24,246",+/-949,23.0%,+/-0.9,"12,515",+/-612,28.7%,+/-1.4,"11,731",+/-586,19.0%,+/-0.9
